PARTY,INT SEATS,INT VOTES
CON, 125640, 6
LAB, 77824, 1
LIB, 70757, 0
BRX, 258, 0
GRN, 29940, 0
IND, 6470, 0
LOC, 7437, 0
UKP, 4055, 0
