Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Unknown (LAB gain from CON);12;Hampshire;72617;13277;14305;4970;6296;2230;0;0;423;0.413;0.561;0.008;0.018;0.000;0.000;0.000;0.000
Aldridge-Brownhills;Wendy Morton;7;Black Country;60138;13939;10512;2515;5524;1306;0;0;0;0.753;0.237;0.001;0.009;0.000;0.000;0.000;0.000
Altrincham and Sale West;Unknown (LAB gain from CON);4;Central Manchester;73107;12163;20046;4185;8519;3959;0;0;0;0.115;0.863;0.000;0.020;0.001;0.000;0.000;0.000
Amber Valley;Unknown (LAB gain from CON);8;Derbyshire;69976;11343;16324;1799;6914;2522;0;0;0;0.191;0.796;0.000;0.013;0.000;0.000;0.000;0.000
Arundel and South Downs;Andrew Griffith;12;West Sussex;81726;16946;11881;11735;9626;4873;0;0;339;0.601;0.184;0.144;0.069;0.001;0.000;0.000;0.000
Ashfield;Unknown (MIN gain from CON);8;Nottinghamshire;78204;4184;11664;1771;9493;1626;0;12020;0;0.025;0.322;0.001;0.482;0.002;0.000;0.168;0.000
Ashford;Damian Green;12;Kent;89553;16363;15600;5111;8794;3813;0;0;685;0.514;0.445;0.002;0.038;0.000;0.000;0.000;0.000
Ashton under Lyne;Angela Rayner;4;Eastern Manchester;67978;4613;19318;1028;5818;1785;0;0;0;0.001;0.995;0.000;0.004;0.000;0.000;0.000;0.000
Aylesbury;Unknown (LAB gain from CON);12;Buckinghamshire;86665;15433;17346;8848;8031;2844;0;0;434;0.383;0.555;0.035;0.027;0.000;0.000;0.000;0.000
Banbury;Unknown (LAB gain from CON);12;Oxfordshire;90116;15055;20579;7091;8527;3525;0;0;494;0.237;0.738;0.009;0.015;0.000;0.000;0.000;0.000
Barking;Margaret Hodge;11;Barking and Dagenham;77953;2581;22887;830;4934;1622;0;0;422;0.000;0.999;0.000;0.001;0.000;0.000;0.000;0.000
Barnsley Central;Dan Jarvis;5;South Yorkshire;65277;3302;17890;1336;7864;1840;0;0;895;0.000;0.976;0.000;0.024;0.000;0.000;0.000;0.000
Barnsley East;Stephanie Peacock;5;South Yorkshire;69504;3833;17505;1359;8131;1825;0;0;816;0.002;0.972;0.000;0.026;0.000;0.000;0.000;0.000
Barrow and Furness;Unknown (LAB gain from CON);4;Cumbria;70158;8811;19639;1905;6819;1989;0;0;479;0.031;0.961;0.000;0.007;0.000;0.000;0.000;0.000
Basildon and Billericay;John Baron;9;Essex;69906;14579;13020;2733;5998;2075;0;0;416;0.605;0.383;0.000;0.012;0.000;0.000;0.000;0.000
Basildon South and East Thurrock;Unknown (LAB gain from CON);9;Essex;74441;12350;13862;2590;6986;1633;0;0;839;0.381;0.581;0.000;0.038;0.000;0.000;0.000;0.000
Basingstoke;Unknown (LAB gain from CON);12;Hampshire;82928;12914;18743;5197;7519;3004;0;0;626;0.196;0.783;0.006;0.014;0.000;0.000;0.000;0.000
Bassetlaw;Unknown (LAB gain from CON);8;Nottinghamshire;80024;10894;19554;2032;8902;1968;0;0;0;0.080;0.891;0.000;0.029;0.000;0.000;0.000;0.000
Bath;Wera Hobhouse;10;Bristol area;67805;6636;8964;24106;6627;2646;0;0;368;0.005;0.012;0.975;0.008;0.000;0.000;0.000;0.000
Batley and Spen;Tracy Brabin;5;West Yorkshire;79558;9903;17035;1465;5426;844;0;4420;1226;0.100;0.872;0.000;0.028;0.000;0.000;0.000;0.000
Battersea;Marsha De Cordova;11;Wandsworth;79350;8221;28882;4118;7401;3965;0;0;471;0.004;0.991;0.000;0.005;0.000;0.000;0.000;0.000
Beaconsfield;Joy Morrissey;12;Buckinghamshire;77720;17440;8697;12140;8449;2977;0;0;629;0.714;0.062;0.183;0.040;0.000;0.000;0.000;0.000
Beckenham;Unknown (LAB gain from CON);11;Bromley;68662;14176;16198;5181;7131;2985;0;0;443;0.367;0.617;0.004;0.011;0.000;0.000;0.000;0.000
Bedford;Mohammad Yasin;9;Bedfordshire;71581;7122;19388;3043;6140;2425;0;0;493;0.017;0.974;0.001;0.007;0.000;0.000;0.000;0.000
Bedfordshire Mid;Unknown (LAB gain from CON);9;Bedfordshire;87795;16349;17272;9661;8521;2232;0;0;654;0.404;0.506;0.049;0.041;0.000;0.000;0.000;0.000
Bedfordshire North East;Unknown (LAB gain from CON);9;Bedfordshire;90678;16151;18673;7433;9365;3162;0;0;693;0.347;0.600;0.013;0.039;0.000;0.000;0.000;0.000
Bedfordshire South West;Unknown (LAB gain from CON);9;Bedfordshire;79926;12957;17349;5255;7948;2982;0;0;670;0.236;0.733;0.006;0.025;0.000;0.000;0.000;0.000
Bermondsey and Old Southwark;Neil Coyle;11;Southwark;93248;2858;28743;9127;6847;3450;0;0;447;0.000;0.993;0.006;0.001;0.000;0.000;0.000;0.000
Berwick-upon-Tweed;Unknown (LAB gain from CON);3;Northumberland;59939;10178;10464;6155;6275;1815;0;0;180;0.415;0.491;0.039;0.054;0.000;0.000;0.000;0.000
Bethnal Green and Bow;Rushanara Ali;11;Tower Hamlets;88262;1426;35143;1839;5480;3081;0;0;770;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Beverley and Holderness;Unknown (LAB gain from CON);5;Humber area;79696;13907;17040;5376;9274;2478;0;0;513;0.297;0.644;0.003;0.055;0.000;0.000;0.000;0.000
Bexhill and Battle;Huw Merriman;12;East Sussex;81963;16909;14222;7452;9468;3725;0;0;534;0.588;0.322;0.027;0.061;0.001;0.000;0.000;0.000
Bexleyheath and Crayford;Unknown (LAB gain from CON);11;Bexley;65466;11958;14811;2365;6067;1879;0;0;0;0.279;0.710;0.000;0.010;0.000;0.000;0.000;0.000
Birkenhead;Mick Whitley;4;Merseyside;63762;1693;20122;1827;6536;3709;0;0;1473;0.000;0.995;0.000;0.004;0.000;0.000;0.000;0.000
Birmingham Edgbaston;Preet Gill;7;Birmingham;68828;5272;20233;1764;4690;1767;0;0;368;0.002;0.997;0.000;0.001;0.000;0.000;0.000;0.000
Birmingham Erdington;Jack Dromey;7;Birmingham;66148;6624;14975;606;3230;778;0;0;363;0.028;0.972;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Hall Green;Tahir Ali;7;Birmingham;80283;2331;25416;1375;4306;1504;0;0;394;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Hodge Hill;Liam Byrne;7;Birmingham;78295;1175;19700;630;3050;1116;0;0;299;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Ladywood;Shabana Mahmood;7;Birmingham;74912;802;22867;716;2655;1334;0;0;0;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Northfield;Unknown (LAB gain from CON);7;Birmingham;73694;6701;18401;1853;5648;2060;0;0;513;0.017;0.977;0.000;0.005;0.000;0.000;0.000;0.000
Birmingham Perry Barr;Khalid Mahmood;7;Birmingham;72006;2749;20359;1200;3949;1179;0;0;326;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Selly Oak;Steve McCabe;7;Birmingham;82665;4853;25869;1937;5808;2983;0;0;468;0.001;0.997;0.000;0.002;0.000;0.000;0.000;0.000
Birmingham Yardley;Jess Phillips;7;Birmingham;74704;3412;17874;2871;5254;1462;0;0;0;0.001;0.996;0.000;0.003;0.000;0.000;0.000;0.000
Bishop Auckland;Unknown (LAB gain from CON);3;Durham;68170;8159;17145;2181;6933;1392;0;0;534;0.046;0.933;0.000;0.021;0.000;0.000;0.000;0.000
Blackburn;Kate Hollern;4;Lancashire;71234;3085;21045;627;4406;1131;0;0;395;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Blackley and Broughton;Graham Stringer;4;Central Manchester;73372;1902;20657;759;4410;1569;0;0;516;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Blackpool North and Cleveleys;Unknown (LAB gain from CON);4;Lancashire;63692;8956;15710;1369;5550;1574;0;0;507;0.091;0.900;0.000;0.009;0.000;0.000;0.000;0.000
Blackpool South;Unknown (LAB gain from CON);4;Lancashire;57690;5835;14111;945;4806;1321;0;0;490;0.026;0.965;0.000;0.009;0.000;0.000;0.000;0.000
Blaydon;Liz Twist;3;Newcastle area;67853;5356;21090;2862;8080;2361;0;0;650;0.003;0.982;0.000;0.015;0.000;0.000;0.000;0.000
Blyth Valley;Unknown (LAB gain from CON);3;Northumberland;64429;6295;18172;1969;6473;1913;0;0;511;0.007;0.985;0.000;0.007;0.000;0.000;0.000;0.000
Bognor Regis and Littlehampton;Nick Gibb;12;West Sussex;77446;15573;13905;5452;8023;2661;0;0;636;0.559;0.403;0.008;0.028;0.000;0.000;0.000;0.000
Bolsover;Unknown (LAB gain from CON);8;Derbyshire;74292;7471;19679;1725;7888;2009;0;0;0;0.015;0.964;0.000;0.020;0.000;0.000;0.000;0.000
Bolton North East;Unknown (LAB gain from CON);4;Western Manchester;67564;7202;17888;1278;5457;1472;0;0;487;0.017;0.978;0.000;0.005;0.000;0.000;0.000;0.000
Bolton South East;Yasmin Qureshi;4;Western Manchester;69163;3593;17958;896;5148;1308;0;0;574;0.000;0.998;0.000;0.001;0.000;0.000;0.000;0.000
Bolton West;Unknown (LAB gain from CON);4;Western Manchester;73191;9566;19935;2443;7661;2180;0;0;802;0.047;0.937;0.000;0.016;0.000;0.000;0.000;0.000
Bootle;Peter Dowd;4;Merseyside;74832;1668;35082;1338;5441;2266;0;0;0;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Boston and Skegness;Matt Warman;8;Lincolnshire;69381;10937;10151;1943;8294;1417;0;0;1087;0.479;0.379;0.000;0.141;0.000;0.000;0.000;0.000
Bosworth;Luke Evans;8;Leicestershire;81542;15105;14140;8280;9232;2698;0;0;531;0.492;0.415;0.031;0.061;0.000;0.000;0.000;0.000
Bournemouth East;Unknown (LAB gain from CON);10;Dorset;74125;10441;16584;4319;7154;3502;0;0;695;0.148;0.818;0.007;0.025;0.001;0.000;0.000;0.000
Bournemouth West;Unknown (LAB gain from CON);10;Dorset;74205;9937;15636;5174;6707;3086;0;0;615;0.150;0.811;0.011;0.027;0.000;0.000;0.000;0.000
Bracknell;Unknown (LAB gain from CON);12;Berkshire;78978;15381;16760;5361;7520;3124;0;0;488;0.412;0.563;0.004;0.020;0.001;0.000;0.000;0.000
Bradford East;Imran Hussain;5;West Yorkshire;73206;2307;19222;1455;4784;1304;0;0;469;0.000;0.999;0.000;0.001;0.000;0.000;0.000;0.000
Bradford South;Judith Cummins;5;West Yorkshire;69046;4222;15841;894;5491;1828;0;0;641;0.002;0.992;0.000;0.006;0.000;0.000;0.000;0.000
Bradford West;Naz Shah;5;West Yorkshire;70694;1531;22071;399;3275;957;0;0;286;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Braintree;James Cleverly;9;Essex;75208;15330;13870;4167;7557;1981;0;0;611;0.575;0.401;0.001;0.023;0.000;0.000;0.000;0.000
Brent Central;Dawn Butler;11;Brent;84032;2734;26839;1752;5078;2583;0;0;360;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Brent North;Barry Gardiner;11;Brent;83788;6735;25082;1755;5606;1603;0;0;462;0.001;0.998;0.000;0.001;0.000;0.000;0.000;0.000
Brentford and Isleworth;Ruth Cadbury;11;Hounslow;85775;7752;28934;2909;7238;3188;0;0;498;0.004;0.994;0.000;0.001;0.000;0.000;0.000;0.000
Brentwood and Ongar;Alex Burghart;9;Essex;75255;19071;11921;7288;7931;2574;0;0;382;0.817;0.148;0.015;0.019;0.000;0.000;0.000;0.000
Bridgwater and West Somerset;Ian Liddell-Grainger;10;Somerset;85327;15713;14574;8604;8473;2482;0;0;338;0.524;0.392;0.042;0.041;0.000;0.000;0.000;0.000
Brigg and Goole;Unknown (LAB gain from CON);5;Humber area;65939;12477;12671;2263;6847;1708;0;0;347;0.474;0.498;0.000;0.027;0.000;0.000;0.000;0.000
Brighton Kemptown;Lloyd Russell-Moyle;12;East Sussex;69833;6700;25091;2079;6235;3618;0;0;452;0.003;0.997;0.000;0.000;0.000;0.000;0.000;0.000
Brighton Pavilion;Caroline Lucas;12;East Sussex;79057;3699;19515;3534;7001;22872;0;0;652;0.002;0.344;0.000;0.002;0.651;0.000;0.000;0.000
