Name;MP;Area;County;Electorate;CON;LAB;LIB;Reform;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Broxtowe;Unknown (Reform gain from LAB);8;Nottinghamshire;71923;8532;11467;4737;12203;7389;0;777;1158;0.143;0.370;0.010;0.404;0.072;0.000;0.000;0.000
Buckingham and Bletchley;Unknown (CON gain from LAB);12;Buckinghamshire;74832;14660;8161;3655;13628;4390;0;0;2050;0.489;0.110;0.007;0.390;0.003;0.000;0.000;0.000
Buckinghamshire Mid;Greg Smith;12;Buckinghamshire;75415;14526;6427;11362;13545;4507;0;0;2067;0.512;0.015;0.187;0.281;0.004;0.000;0.000;0.000
Burnley;Unknown (Reform gain from LAB);4;Lancashire;74951;5572;7353;6171;10841;5898;0;0;1579;0.064;0.207;0.058;0.591;0.078;0.000;0.000;0.001
Burton and Uttoxeter;Unknown (Reform gain from LAB);7;Staffordshire;77994;13063;6789;2009;16087;3369;0;4995;0;0.294;0.038;0.000;0.665;0.002;0.000;0.000;0.000
Bury North;Unknown (Reform gain from LAB);4;Western Manchester;77703;8733;10453;3617;12066;6930;0;2038;502;0.143;0.317;0.002;0.482;0.055;0.000;0.000;0.000
Bury South;Christian Wakeford;4;Western Manchester;75339;4456;15559;1695;13346;4070;0;2023;750;0.066;0.468;0.002;0.382;0.082;0.000;0.000;0.000
Bury St Edmunds and Stowmarket;Unknown (Reform gain from LAB);9;Suffolk;77599;9953;9293;5690;16474;9540;0;0;2208;0.151;0.091;0.011;0.644;0.101;0.000;0.000;0.000
Calder Valley;Josh Fenton-Glynn;5;West Yorkshire;77364;9352;13671;4246;11362;7830;0;0;1773;0.124;0.577;0.003;0.234;0.061;0.000;0.000;0.000
Camborne and Redruth;Unknown (Reform gain from LAB);10;Cornwall;74402;6277;13058;4109;15762;4413;0;0;1921;0.061;0.305;0.017;0.606;0.010;0.000;0.000;0.000
Cambridge;Unknown (Green gain from LAB);9;Cambridgeshire;70315;3981;11960;5865;5445;15673;0;1550;991;0.005;0.263;0.014;0.013;0.704;0.000;0.000;0.000
Cambridgeshire North East;Unknown (Reform gain from CON);9;Cambridgeshire;71511;15317;2616;1834;17596;1587;0;680;1924;0.332;0.001;0.001;0.665;0.000;0.000;0.000;0.000
Cambridgeshire North West;Unknown (CON gain from LAB);9;Cambridgeshire;75915;17520;4620;2048;17079;3153;0;0;1886;0.413;0.027;0.002;0.554;0.004;0.000;0.000;0.000
Cambridgeshire South;Pippa Heylings;9;Cambridgeshire;77327;11954;4729;21081;9900;6560;0;0;1326;0.064;0.001;0.903;0.029;0.003;0.000;0.000;0.000
Cannock Chase;Unknown (Reform gain from LAB);7;Staffordshire;76974;8381;7839;3569;19808;5093;0;0;1702;0.063;0.027;0.000;0.905;0.005;0.000;0.000;0.000
Canterbury;Unknown (Reform gain from LAB);12;Kent;71171;8404;10668;4727;11604;9884;0;0;1911;0.119;0.280;0.012;0.387;0.201;0.000;0.000;0.000
Carlisle;Unknown (Reform gain from LAB);4;Cumbria;77863;9144;9354;5014;16190;6424;0;0;1359;0.105;0.130;0.002;0.743;0.019;0.000;0.000;0.000
Carshalton and Wallington;Bobby Dean;11;Sutton;74362;9627;4820;13752;8645;5338;0;2138;786;0.138;0.011;0.712;0.112;0.026;0.000;0.000;0.000
Castle Point;Unknown (Reform gain from CON);9;Essex;70967;13611;2284;1244;23415;1391;0;0;1042;0.061;0.000;0.000;0.939;0.000;0.000;0.000;0.000
Chatham and Aylesford;Unknown (Reform gain from LAB);12;Kent;75109;9203;7373;4303;15592;5844;0;1583;1219;0.182;0.045;0.009;0.753;0.011;0.000;0.000;0.000
Cheadle;Tom Morrison;4;Eastern Manchester;74383;9303;6381;16340;7235;6385;0;2190;158;0.060;0.024;0.848;0.047;0.020;0.000;0.000;0.000
Chelmsford;Marie Goldman;9;Essex;76972;12695;3994;16740;11525;5532;0;468;1215;0.175;0.002;0.680;0.140;0.002;0.000;0.000;0.000
Chelsea and Fulham;Unknown (CON gain from LAB);11;Hammersmith and Fulham;78468;12990;10732;4527;8627;7379;0;2525;157;0.516;0.276;0.004;0.135;0.068;0.000;0.000;0.000
Cheltenham;Max Wilkinson;10;Gloucestershire;76143;15381;1419;22217;6243;2990;0;0;1296;0.158;0.000;0.803;0.035;0.004;0.000;0.000;0.000
Chesham and Amersham;Sarah Green;12;Buckinghamshire;74889;16889;2240;19846;8447;2534;0;2497;341;0.288;0.002;0.607;0.103;0.000;0.000;0.000;0.000
Cheshire Mid;Andrew Graham Cooper;4;Cheshire;70384;3500;16629;1444;15517;2425;0;0;1684;0.060;0.476;0.001;0.435;0.027;0.000;0.000;0.000
Chester North and Neston;Samantha Dixon;4;Cheshire;70215;7743;13028;3410;10279;8211;0;0;1213;0.071;0.620;0.001;0.215;0.092;0.000;0.000;0.000
Chester South and Eddisbury;Aphra Brandreth;4;Cheshire;74284;14084;10964;6404;12595;4656;0;0;1698;0.542;0.181;0.007;0.263;0.007;0.000;0.000;0.000
Chesterfield;Toby Perkins;8;Derbyshire;71654;2458;17218;876;15746;1942;0;1072;876;0.037;0.452;0.000;0.484;0.026;0.000;0.000;0.000
Chichester;Jessica Brown-Fuller;12;West Sussex;78374;11224;3682;18391;13134;4660;0;0;2255;0.086;0.001;0.761;0.150;0.001;0.000;0.000;0.000
Chingford and Woodford Green;Iain Duncan Smith;11;Waltham Forest;75178;14489;6091;2488;11124;3997;0;0;6115;0.570;0.087;0.002;0.261;0.022;0.000;0.000;0.057
Chippenham;Sarah Gibson;10;Wiltshire;73876;10942;3431;18468;11791;4824;0;0;1407;0.084;0.000;0.803;0.110;0.002;0.000;0.000;0.000
Chipping Barnet;Unknown (CON gain from LAB);11;Barnet;78038;13333;11712;4133;11468;6385;0;0;1426;0.457;0.276;0.006;0.231;0.029;0.000;0.000;0.000
Chorley;Lindsay Hoyle;4;Lancashire;74575;1958;14868;2017;9832;8554;0;0;2409;0.000;0.805;0.000;0.110;0.083;0.000;0.000;0.001
Christchurch;Unknown (Reform gain from CON);10;Dorset;71064;16534;3327;5082;18754;1918;0;0;2037;0.325;0.002;0.025;0.647;0.000;0.000;0.000;0.000
Cities of London and Westminster;Unknown (CON gain from LAB);11;City of Westminster;73369;10483;9687;4258;6544;7527;0;1900;887;0.424;0.336;0.006;0.092;0.140;0.000;0.000;0.000
Clacton;Nigel Farage;9;Essex;78703;13346;2330;1971;27045;1772;0;0;1960;0.024;0.000;0.000;0.976;0.000;0.000;0.000;0.000
Clapham and Brixton Hill;Unknown (Green gain from LAB);11;Lambeth;74435;3716;13557;4100;6382;15211;0;0;1232;0.002;0.380;0.000;0.017;0.600;0.000;0.000;0.000
Colchester;Unknown (Reform gain from LAB);9;Essex;78662;8374;10439;6161;11372;7863;0;0;2067;0.146;0.326;0.038;0.389;0.099;0.000;0.000;0.001
Colne Valley;Unknown (Reform gain from LAB);5;West Yorkshire;72638;9765;10200;4335;12056;8177;0;0;1040;0.204;0.240;0.003;0.457;0.095;0.000;0.000;0.000
Congleton;Unknown (Reform gain from LAB);4;Cheshire;74243;12444;11898;4064;13574;4632;0;0;2154;0.343;0.267;0.003;0.380;0.005;0.000;0.000;0.000
Corby and East Northamptonshire;Unknown (Reform gain from LAB);8;Northamptonshire;78787;9240;10709;4667;14298;6920;0;0;1062;0.128;0.256;0.001;0.593;0.021;0.000;0.000;0.000
Cornwall North;Ben Maguire;10;Cornwall;76832;3162;561;26679;19813;1034;0;0;1365;0.025;0.000;0.773;0.202;0.000;0.000;0.000;0.000
Cornwall South East;Unknown (Reform gain from LAB);10;Cornwall;72728;8908;8377;8874;16278;4524;0;0;1267;0.099;0.052;0.099;0.747;0.002;0.000;0.000;0.000
Cotswolds North;Geoffrey Clifton-Brown;10;Gloucestershire;72513;17131;5018;8028;14488;4253;0;0;2173;0.499;0.009;0.129;0.357;0.004;0.000;0.000;0.000
Cotswolds South;Roz Savage;10;Gloucestershire;71971;17980;2228;18823;8878;2275;0;0;1985;0.417;0.001;0.476;0.105;0.000;0.000;0.000;0.000
Coventry East;Unknown (Reform gain from LAB);7;Coventry and Solihull;75801;2727;13616;1077;14004;3132;0;2739;1069;0.015;0.372;0.000;0.575;0.037;0.000;0.000;0.000
Coventry North West;Taiwo Owatemi;7;Coventry and Solihull;75057;3445;17172;1537;14910;3381;0;0;2240;0.058;0.474;0.004;0.386;0.075;0.000;0.000;0.001
Coventry South;Zarah Sultana;7;Coventry and Solihull;76262;8174;11333;3635;8794;7750;0;2040;1093;0.142;0.514;0.004;0.222;0.117;0.000;0.000;0.000
Cramlington and Killingworth;Emma Foody;3;Newcastle area;76228;2307;20695;848;18231;2040;0;0;2138;0.011;0.559;0.000;0.412;0.018;0.000;0.000;0.000
Crawley;Unknown (Reform gain from LAB);12;West Sussex;75569;8719;8453;3828;12695;6838;0;3704;257;0.175;0.151;0.008;0.606;0.059;0.000;0.000;0.000
Crewe and Nantwich;Unknown (Reform gain from LAB);4;Cheshire;78423;5649;15989;2221;16070;3863;0;1150;1437;0.078;0.423;0.000;0.474;0.023;0.000;0.000;0.000
Croydon East;Natasha Dawn Irons;11;Croydon;76660;8923;10007;4901;9938;8822;0;0;1280;0.179;0.316;0.012;0.296;0.197;0.000;0.000;0.000
Croydon South;Chris Philp;11;Croydon;74968;14883;10526;5348;8503;5648;0;2556;371;0.678;0.199;0.013;0.087;0.022;0.000;0.000;0.000
Croydon West;Sarah Jones;11;Croydon;77942;5040;10728;2751;7269;10453;0;1611;876;0.020;0.466;0.002;0.104;0.408;0.000;0.000;0.000
Dagenham and Rainham;Unknown (Reform gain from LAB);11;Barking and Dagenham;76478;5602;7784;2278;14915;6814;0;0;2162;0.026;0.116;0.000;0.790;0.066;0.000;0.000;0.000
Darlington;Unknown (Reform gain from LAB);3;Durham;70763;10126;9043;2522;13595;5243;0;0;1340;0.264;0.135;0.000;0.592;0.008;0.000;0.000;0.000
Dartford;Unknown (CON gain from LAB);12;Kent;75426;16416;5865;2047;14608;3800;0;0;2313;0.519;0.058;0.004;0.411;0.007;0.000;0.000;0.000
Daventry;Stuart Andrew;8;Northamptonshire;80879;21590;5116;2896;16709;3035;0;0;1564;0.545;0.047;0.004;0.401;0.002;0.000;0.000;0.000
Derby North;Catherine Atkinson;8;Derbyshire;71900;7464;11323;3183;10258;7636;0;0;1572;0.112;0.479;0.001;0.295;0.112;0.000;0.000;0.000
Derby South;Unknown (Reform gain from LAB);8;Derbyshire;72952;4091;7225;2095;10814;6394;0;4564;143;0.023;0.220;0.003;0.662;0.089;0.000;0.003;0.000
Derbyshire Dales;Unknown (CON gain from LAB);8;Derbyshire;73317;15619;9690;4598;13894;4923;0;0;1618;0.533;0.140;0.002;0.317;0.007;0.000;0.000;0.000
Derbyshire Mid;Unknown (Reform gain from LAB);8;Derbyshire;69281;11989;10770;3491;12799;5742;0;962;1129;0.370;0.220;0.001;0.396;0.012;0.000;0.000;0.000
Derbyshire North East;Unknown (Reform gain from LAB);8;Derbyshire;73139;11897;9789;2990;15066;4289;0;0;1390;0.363;0.096;0.000;0.539;0.001;0.000;0.000;0.000
Derbyshire South;Unknown (Reform gain from LAB);8;Derbyshire;73714;9539;9795;4260;14655;6014;0;0;1505;0.170;0.178;0.002;0.628;0.021;0.000;0.000;0.000
Devon Central;Mel Stride;10;Devon;75385;19472;6797;4963;16119;4045;0;0;2117;0.493;0.065;0.033;0.401;0.007;0.000;0.000;0.000
Devon North;Ian Roome;10;Devon;79079;4120;953;24791;19456;1723;0;0;1659;0.049;0.000;0.673;0.276;0.002;0.000;0.000;0.000
Devon South;Caroline Voaden;10;Devon;70755;12123;3744;14416;13055;3542;0;0;2160;0.231;0.001;0.481;0.284;0.002;0.000;0.000;0.000
Devon South West;Rebecca Smith;10;Devon;77600;21745;4875;2731;18840;2764;0;0;2133;0.537;0.024;0.007;0.428;0.003;0.000;0.000;0.000
Dewsbury and Batley;Iqbal Hussain Mohamed;5;West Yorkshire;71685;3413;4989;2020;7290;7178;0;7889;0;0.029;0.083;0.005;0.366;0.293;0.000;0.223;0.000
Didcot and Wantage;Olly Glover;12;Oxfordshire;80689;11854;5193;17950;13041;7055;0;0;1506;0.106;0.002;0.701;0.179;0.010;0.000;0.000;0.000
Doncaster Central;Sally Jameson;5;South Yorkshire;74678;2092;14943;621;14887;1553;0;1476;791;0.030;0.390;0.001;0.562;0.016;0.000;0.000;0.000
Doncaster East and the Isle of Axholme;Unknown (Reform gain from LAB);5;South Yorkshire;70154;9667;8362;2310;14149;3227;0;0;1302;0.247;0.081;0.000;0.669;0.002;0.000;0.000;0.000
Doncaster North;Ed Miliband;5;South Yorkshire;69759;2401;13017;1042;9782;2272;0;0;1812;0.047;0.642;0.003;0.258;0.049;0.000;0.000;0.000
Dorking and Horley;Chris Coghlan;12;Surrey;71850;13762;3748;13960;12828;4307;0;0;1908;0.353;0.002;0.387;0.255;0.003;0.000;0.000;0.000
Dorset Mid and North Poole;Vikki Slade;10;Dorset;75294;17664;1738;19291;7995;2016;0;0;1413;0.358;0.000;0.540;0.100;0.000;0.000;0.000;0.000
Dorset North;Unknown (Reform gain from CON);10;Dorset;72690;12889;3995;12552;14717;3062;0;0;2073;0.287;0.001;0.254;0.456;0.001;0.000;0.000;0.000
Dorset South;Unknown (Reform gain from LAB);10;Dorset;75924;10602;7969;9103;16121;5745;0;0;1751;0.218;0.037;0.088;0.644;0.012;0.000;0.000;0.000
Dorset West;Edward Morello;10;Dorset;75998;14044;3099;19568;10550;3467;0;0;1503;0.176;0.000;0.751;0.073;0.000;0.000;0.000;0.000
Dover and Deal;Unknown (Reform gain from LAB);12;Kent;76406;8309;10676;4379;15939;5481;0;369;2886;0.086;0.244;0.009;0.652;0.007;0.000;0.000;0.002
