Name;MP;Area;County;Electorate;CON;LAB;LIB;Reform;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Unknown (Reform gain from LAB);12;Hampshire;78569;10753;9873;6250;13696;6610;0;0;1793;0.291;0.157;0.035;0.491;0.025;0.000;0.000;0.000
Aldridge-Brownhills;Unknown (Reform gain from CON);7;Black Country;70871;16018;4066;1799;16947;1950;0;0;1884;0.356;0.012;0.000;0.629;0.002;0.000;0.000;0.001
Altrincham and Sale West;Unknown (CON gain from LAB);4;Central Manchester;74025;13347;12540;4575;9225;8051;0;2637;0;0.435;0.354;0.004;0.134;0.072;0.000;0.000;0.000
Amber Valley;Unknown (Reform gain from LAB);8;Derbyshire;71546;7872;9251;3045;15556;5024;0;0;1793;0.083;0.152;0.000;0.759;0.005;0.000;0.000;0.000
Arundel and South Downs;Andrew Griffith;12;West Sussex;77969;21416;3852;4635;19521;4211;0;0;1970;0.432;0.006;0.037;0.517;0.007;0.000;0.000;0.000
Ashfield;Lee Anderson;8;Nottinghamshire;68929;3294;6156;1800;19614;3809;0;5196;0;0.002;0.015;0.000;0.981;0.001;0.000;0.000;0.000
Ashford;Unknown (Reform gain from LAB);12;Kent;76212;8883;7798;4775;17311;8195;0;0;2064;0.101;0.041;0.005;0.799;0.054;0.000;0.000;0.000
Ashton-under-Lyne;Unknown (Reform gain from LAB);4;Eastern Manchester;71002;3218;9256;1559;12491;5314;0;4058;0;0.005;0.270;0.001;0.679;0.044;0.000;0.000;0.000
Aylesbury;Unknown (CON gain from LAB);12;Buckinghamshire;79169;11619;7634;10258;10592;7205;0;2460;317;0.351;0.054;0.248;0.299;0.048;0.000;0.000;0.000
Banbury;Unknown (Reform gain from LAB);12;Oxfordshire;73193;13036;9629;4551;13191;4782;0;0;2218;0.465;0.140;0.009;0.378;0.006;0.000;0.000;0.000
Barking;Unknown (Green gain from LAB);11;Barking and Dagenham;79825;3766;7713;1655;9135;9250;0;4009;692;0.013;0.198;0.001;0.364;0.421;0.000;0.002;0.000
Barnsley North;Unknown (Reform gain from LAB);5;South Yorkshire;78267;1252;15996;677;19561;1580;0;0;2218;0.001;0.258;0.000;0.737;0.004;0.000;0.000;0.000
Barnsley South;Unknown (Reform gain from LAB);5;South Yorkshire;75850;1237;14184;620;20046;1391;0;0;2132;0.001;0.142;0.000;0.850;0.006;0.000;0.000;0.000
Barrow and Furness;Unknown (Reform gain from LAB);4;Cumbria;74980;10082;10241;2686;14590;4167;0;0;1460;0.184;0.178;0.000;0.633;0.004;0.000;0.000;0.000
Basildon and Billericay;Unknown (Reform gain from CON);9;Essex;76873;15460;4130;1645;18046;2311;0;0;2394;0.298;0.013;0.000;0.688;0.001;0.000;0.000;0.000
Basildon South and East Thurrock;James McMurdock;9;Essex;72673;8307;6331;2882;17534;3672;0;0;2919;0.124;0.012;0.000;0.861;0.002;0.000;0.000;0.000
Basingstoke;Unknown (Reform gain from LAB);12;Hampshire;78487;10742;10407;5995;13552;8393;0;0;1679;0.217;0.198;0.027;0.478;0.080;0.000;0.000;0.000
Bassetlaw;Unknown (Reform gain from LAB);8;Nottinghamshire;78173;8308;9204;3584;17945;5425;0;0;1123;0.057;0.076;0.000;0.860;0.006;0.000;0.000;0.000
Bath;Wera Hobhouse;10;Bristol area;69655;6408;6610;14458;8193;11198;0;415;2014;0.034;0.026;0.611;0.078;0.250;0.000;0.000;0.000
Battersea;Marsha de Cordova;11;Wandsworth;72767;8407;13883;5121;5878;12148;0;1290;1017;0.074;0.547;0.010;0.021;0.347;0.000;0.000;0.000
Beaconsfield;Joy Morrissey;12;Buckinghamshire;72751;14664;5305;10673;12303;3498;0;0;1893;0.586;0.006;0.159;0.246;0.002;0.000;0.000;0.000
Beckenham and Penge;Liam Conlon;11;Bromley;76876;10091;15224;5528;9089;9426;0;0;1724;0.141;0.653;0.006;0.089;0.110;0.000;0.000;0.000
Bedford;Unknown (Reform gain from LAB);9;Bedfordshire;72478;7486;9119;4372;9269;7228;0;1715;1392;0.160;0.333;0.019;0.358;0.128;0.000;0.000;0.000
Bedfordshire Mid;Blake Stephenson;9;Bedfordshire;76218;20795;5172;2418;16836;2960;0;0;2344;0.534;0.043;0.004;0.416;0.002;0.000;0.000;0.000
Bedfordshire North;Richard Fuller;9;Bedfordshire;78850;21286;4433;2999;18012;2755;0;0;1546;0.571;0.015;0.007;0.406;0.000;0.000;0.000;0.000
Bermondsey and Old Southwark;Unknown (Green gain from LAB);11;Southwark;69473;3077;9778;5638;6479;12638;0;0;1410;0.004;0.254;0.019;0.044;0.678;0.000;0.000;0.000
Bethnal Green and Stepney;Unknown (Green gain from LAB);11;Tower Hamlets;81922;2242;7920;3719;5379;16757;0;0;6099;0.001;0.052;0.001;0.008;0.916;0.000;0.000;0.021
Beverley and Holderness;Graham Stuart;5;Humber area;70559;19425;4985;2059;14690;2378;0;0;1518;0.593;0.061;0.001;0.341;0.002;0.000;0.000;0.000
Bexhill and Battle;Kieran Mullan;12;East Sussex;72209;18872;4199;2083;18202;2349;0;0;2725;0.465;0.017;0.002;0.513;0.002;0.000;0.000;0.000
Bexleyheath and Crayford;Unknown (CON gain from LAB);11;Bexley;69470;14183;6949;2489;14150;3317;0;0;1971;0.469;0.098;0.000;0.428;0.004;0.000;0.000;0.000
Bicester and Woodstock;Calum Alexander Miller;12;Oxfordshire;74350;10941;5262;16225;11467;6476;0;0;1457;0.120;0.004;0.697;0.163;0.016;0.000;0.000;0.000
Birkenhead;Unknown (Green gain from LAB);4;Merseyside;78091;2696;12361;2908;12759;14699;0;0;1867;0.000;0.248;0.000;0.226;0.525;0.000;0.000;0.000
Birmingham Edgbaston;Preet Kaur Gill;7;Birmingham;71787;6642;9263;3331;7876;7672;0;0;2623;0.123;0.423;0.008;0.224;0.216;0.000;0.000;0.005
Birmingham Erdington;Unknown (Reform gain from LAB);7;Birmingham;77463;4246;8624;2121;12667;5594;0;0;3883;0.024;0.218;0.000;0.702;0.045;0.000;0.000;0.009
Birmingham Hall Green and Moseley;Unknown (Green gain from LAB);7;Birmingham;76936;3191;7258;3368;5418;10338;0;0;7007;0.009;0.155;0.006;0.057;0.616;0.000;0.000;0.156
Birmingham Hodge Hill and Solihull North;Unknown (Reform gain from LAB);7;Birmingham;77737;3377;5488;1427;9607;6515;0;8163;0;0.019;0.065;0.001;0.622;0.120;0.000;0.173;0.000
Birmingham Ladywood;Unknown (Green gain from LAB);7;Birmingham;83693;1976;7395;1788;4919;12144;0;0;5300;0.001;0.110;0.000;0.022;0.834;0.000;0.000;0.032
Birmingham Northfield;Unknown (Reform gain from LAB);7;Birmingham;74048;6856;8190;3031;12475;6065;0;0;2194;0.100;0.198;0.002;0.655;0.042;0.000;0.000;0.002
Birmingham Perry Barr;Unknown (Green gain from MIN);7;Birmingham;76350;3693;6221;2074;5931;8304;0;0;7041;0.024;0.157;0.001;0.117;0.433;0.000;0.000;0.267
Birmingham Selly Oak;Unknown (Reform gain from LAB);7;Birmingham;75678;4526;9953;3043;11293;10274;0;0;3241;0.014;0.280;0.003;0.387;0.313;0.000;0.000;0.002
Birmingham Yardley;Unknown (MIN gain from LAB);7;Birmingham;73203;3587;5079;3064;6694;7205;0;8112;0;0.027;0.090;0.011;0.293;0.285;0.000;0.293;0.000
Bishop Auckland;Unknown (Reform gain from LAB);3;Durham;70745;4451;12367;1773;15413;2717;0;0;1244;0.033;0.273;0.000;0.689;0.004;0.000;0.000;0.000
Blackburn;Adnan Hussain;4;Lancashire;73259;2935;5579;1432;6719;7386;0;8829;0;0.007;0.102;0.001;0.250;0.291;0.000;0.348;0.000
Blackley and Middleton South;Unknown (Reform gain from LAB);4;Central Manchester;72097;2796;8761;1838;10598;7160;0;0;1361;0.003;0.376;0.000;0.487;0.133;0.000;0.000;0.000
Blackpool North and Fleetwood;Unknown (Reform gain from LAB);4;Lancashire;73339;8103;9076;3521;15686;4569;0;0;1285;0.067;0.146;0.002;0.777;0.007;0.000;0.000;0.000
Blackpool South;Unknown (Reform gain from LAB);4;Lancashire;77459;1652;14978;629;18361;1479;0;0;2280;0.004;0.258;0.001;0.727;0.009;0.000;0.000;0.000
Blaydon and Consett;Liz Twist;3;Durham;70487;1670;18865;814;17567;1815;0;0;1544;0.002;0.532;0.000;0.463;0.002;0.000;0.000;0.000
Blyth and Ashington;Unknown (Reform gain from LAB);3;Northumberland;76263;1554;17122;710;17990;1693;0;0;1407;0.002;0.405;0.000;0.589;0.003;0.000;0.000;0.000
Bognor Regis and Littlehampton;Unknown (Reform gain from CON);12;West Sussex;77565;18972;4126;2344;19142;2159;0;0;2333;0.428;0.012;0.002;0.556;0.001;0.000;0.000;0.000
Bolsover;Unknown (Reform gain from LAB);8;Derbyshire;77207;7573;9246;2772;15386;5909;0;0;1516;0.066;0.159;0.001;0.760;0.013;0.000;0.000;0.000
Bolton North East;Unknown (Reform gain from LAB);4;Western Manchester;80011;7383;9510;2877;10864;7955;0;3040;692;0.101;0.313;0.002;0.444;0.139;0.000;0.000;0.000
Bolton South and Walkden;Unknown (Reform gain from LAB);4;Western Manchester;79622;3476;7595;1783;11458;7158;0;4374;225;0.006;0.204;0.000;0.654;0.134;0.000;0.001;0.000
Bolton West;Unknown (Reform gain from LAB);4;Western Manchester;74933;9438;8814;4518;12989;7736;0;0;1084;0.202;0.154;0.006;0.562;0.075;0.000;0.000;0.000
Bootle;Peter Dowd;4;Merseyside;73037;2140;15601;2043;10397;7352;0;2921;0;0.001;0.823;0.000;0.129;0.047;0.000;0.000;0.000
Boston and Skegness;Richard Tice;8;Lincolnshire;75811;14026;2382;1145;22262;1389;0;0;1744;0.101;0.002;0.000;0.896;0.000;0.000;0.000;0.000
Bournemouth East;Unknown (Reform gain from LAB);10;Dorset;72354;8672;9161;5214;13280;7806;0;0;1903;0.155;0.168;0.020;0.572;0.083;0.000;0.000;0.000
Bournemouth West;Unknown (Reform gain from LAB);10;Dorset;70259;8112;7188;5811;12433;7164;0;0;1552;0.183;0.084;0.050;0.601;0.081;0.000;0.000;0.000
Bracknell;Unknown (CON gain from LAB);12;Berkshire;71656;17998;4745;2428;15121;2952;0;0;2075;0.537;0.046;0.005;0.407;0.005;0.000;0.000;0.000
Bradford East;Unknown (Green gain from LAB);5;West Yorkshire;75167;3148;7164;2592;7388;8369;0;0;4782;0.019;0.241;0.002;0.229;0.456;0.000;0.000;0.053
Bradford South;Unknown (Reform gain from LAB);5;West Yorkshire;71002;3378;6623;1934;11485;6863;0;561;2931;0.009;0.141;0.001;0.685;0.160;0.000;0.000;0.003
Bradford West;Unknown (Green gain from LAB);5;West Yorkshire;77897;2445;6072;1728;4972;9606;0;0;5913;0.005;0.121;0.000;0.054;0.706;0.000;0.000;0.112
Braintree;Unknown (Reform gain from CON);9;Essex;77781;17963;4053;2089;20723;2333;0;0;1965;0.265;0.015;0.000;0.719;0.000;0.000;0.000;0.000
Brent East;Dawn Butler;11;Brent;77257;4282;10257;2564;7399;9674;0;1221;1590;0.018;0.477;0.003;0.131;0.370;0.000;0.000;0.000
Brent West;Unknown (CON gain from LAB);11;Brent;79937;11673;8194;2590;6073;6557;0;3756;0;0.641;0.188;0.003;0.080;0.085;0.000;0.002;0.000
Brentford and Isleworth;Ruth Cadbury;11;Hounslow;79283;8535;10465;4013;7517;9134;0;3871;352;0.177;0.407;0.012;0.137;0.265;0.000;0.000;0.000
Brentwood and Ongar;Alex Burghart;9;Essex;75352;19740;3498;2992;18223;2018;0;0;1913;0.511;0.004;0.003;0.481;0.001;0.000;0.000;0.000
Bridgwater;Unknown (Reform gain from CON);10;Somerset;71571;13595;4835;3690;15563;2504;0;1466;1673;0.286;0.025;0.014;0.672;0.002;0.000;0.000;0.000
Bridlington and the Wolds;Unknown (Reform gain from CON);5;Humber area;72931;17175;3824;1780;17776;1870;0;0;1685;0.394;0.010;0.000;0.595;0.001;0.000;0.000;0.000
Brigg and Immingham;Unknown (Reform gain from CON);5;Humber area;74297;14744;5464;2217;16239;2456;0;0;1613;0.369;0.039;0.001;0.589;0.001;0.000;0.000;0.000
Brighton Kemptown and Peacehaven;Unknown (Green gain from LAB);12;East Sussex;68784;6161;10057;4036;8016;11611;0;0;2081;0.058;0.274;0.009;0.134;0.524;0.000;0.000;0.000
Brighton Pavilion;Siân Berry;12;East Sussex;74786;3170;9206;2583;7348;32901;0;0;1927;0.000;0.002;0.000;0.000;0.998;0.000;0.000;0.000
Bristol Central;Carla Denyer;10;Bristol area;62735;1262;7145;1691;4275;35337;0;0;1128;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000
Bristol East;Unknown (Green gain from LAB);10;Bristol area;75917;3793;10826;3297;8549;21961;0;0;2539;0.002;0.042;0.000;0.014;0.941;0.000;0.000;0.000
Bristol North East;Unknown (Green gain from LAB);10;Bristol area;70076;4165;10179;2815;12087;12285;0;0;2517;0.008;0.188;0.003;0.314;0.486;0.000;0.000;0.001
Bristol North West;Darren Jones;10;Bristol area;74869;5489;13841;4988;10453;13731;0;0;2297;0.015;0.418;0.007;0.139;0.420;0.000;0.000;0.000
Bristol South;Unknown (Green gain from LAB);10;Bristol area;75533;3242;8294;2783;13383;17902;0;0;2424;0.003;0.064;0.002;0.187;0.742;0.000;0.000;0.000
Broadland and Fakenham;Jerome Mayhew;9;Norfolk;76859;19829;5330;3091;17497;3206;0;0;2035;0.487;0.035;0.005;0.467;0.005;0.000;0.000;0.000
Bromley and Biggin Hill;Peter Fortune;11;Bromley;70713;17908;7032;3440;13489;3824;0;0;1701;0.650;0.094;0.002;0.245;0.008;0.000;0.000;0.000
Bromsgrove;Bradley Anthony Thomas;7;Hereford and Worcestershire;76468;21318;4437;3122;17983;2305;0;373;2032;0.575;0.016;0.006;0.400;0.002;0.000;0.000;0.000
Broxbourne;Unknown (Reform gain from CON);9;Hertfordshire;75187;16343;4347;2170;16389;2489;0;0;2042;0.399;0.023;0.002;0.574;0.000;0.000;0.000;0.000
