Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Alex Baker;12;Hampshire;78569;13507;13548;5223;13059;3988;0;0;344;0.348;0.351;0.007;0.293;0.000;0.000;0.000;0.000
Aldridge-Brownhills;Unknown (Reform gain from CON);7;Black Country;70871;13882;7401;3304;14195;2900;0;0;326;0.473;0.029;0.002;0.496;0.000;0.000;0.000;0.000
Altrincham and Sale West;Connor Rand;4;Central Manchester;74025;13819;14290;6180;10703;5209;0;1280;0;0.388;0.438;0.014;0.151;0.008;0.000;0.000;0.000
Amber Valley;Unknown (Reform gain from LAB);8;Derbyshire;71546;9259;8443;3516;17509;3395;0;0;312;0.075;0.048;0.001;0.875;0.000;0.000;0.000;0.000
Arundel and South Downs;Andrew Griffith;12;West Sussex;77969;17099;7735;9863;14205;6044;0;0;288;0.588;0.031;0.072;0.303;0.005;0.000;0.000;0.000
Ashfield;Lee Anderson;8;Nottinghamshire;68929;4513;8037;2257;20005;1899;0;5735;0;0.003;0.031;0.000;0.964;0.000;0.000;0.001;0.000
Ashford;Unknown (Reform gain from LAB);12;Kent;76212;12551;10947;4325;15158;5256;0;0;610;0.267;0.166;0.004;0.559;0.003;0.000;0.000;0.000
Ashton-under-Lyne;Unknown (Reform gain from LAB);4;Eastern Manchester;71002;5297;10483;2898;13198;3178;0;2910;0;0.018;0.298;0.001;0.681;0.001;0.000;0.000;0.000
Aylesbury;Unknown (Reform gain from LAB);12;Buckinghamshire;79169;12521;11906;8901;13004;4094;0;925;104;0.311;0.232;0.084;0.371;0.002;0.000;0.000;0.000
Banbury;Sean Woodcock;12;Oxfordshire;73193;12103;13842;6066;12438;4090;0;0;737;0.271;0.422;0.017;0.287;0.002;0.000;0.000;0.000
Barking;Nesil Caliskan;11;Barking and Dagenham;79825;4978;12035;2952;9365;6014;0;2920;489;0.027;0.642;0.003;0.277;0.049;0.000;0.000;0.000
Barnsley North;Unknown (Reform gain from LAB);5;South Yorkshire;78267;4178;12868;3863;16438;3480;0;0;990;0.004;0.283;0.001;0.712;0.000;0.000;0.000;0.000
Barnsley South;Unknown (Reform gain from LAB);5;South Yorkshire;75850;4144;11178;3529;16875;3098;0;0;933;0.003;0.162;0.001;0.832;0.001;0.000;0.000;0.000
Barrow and Furness;Unknown (Reform gain from LAB);4;Cumbria;74980;11641;11420;3785;14839;2906;0;0;324;0.231;0.200;0.002;0.566;0.000;0.000;0.000;0.000
Basildon and Billericay;Unknown (Reform gain from CON);9;Essex;76873;11904;7797;3884;15553;3474;0;0;479;0.259;0.036;0.000;0.704;0.000;0.000;0.000;0.000
