Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Unknown (Reform gain from LAB);12;Hampshire;78569;10790;12547;5334;14195;4237;0;0;523;0.182;0.323;0.012;0.482;0.001;0.000;0.000;0.000
Aldridge-Brownhills;Unknown (Reform gain from CON);7;Black Country;70871;10638;6762;3357;17311;2835;0;0;468;0.122;0.014;0.000;0.863;0.000;0.000;0.000;0.000
Altrincham and Sale West;Connor Rand;4;Central Manchester;74025;11507;16163;6578;10373;4347;0;848;0;0.171;0.670;0.012;0.143;0.003;0.000;0.000;0.000
Amber Valley;Unknown (Reform gain from LAB);8;Derbyshire;71546;7311;9268;3426;18393;3307;0;0;455;0.021;0.058;0.001;0.920;0.000;0.000;0.000;0.000
Arundel and South Downs;Andrew Griffith;12;West Sussex;77969;16818;7362;10038;13952;5492;0;0;531;0.582;0.024;0.080;0.310;0.004;0.000;0.000;0.000
Ashfield;Lee Anderson;8;Nottinghamshire;68929;2825;7081;1639;21441;1760;0;5230;0;0.000;0.007;0.000;0.993;0.000;0.000;0.000;0.000
Ashford;Unknown (Reform gain from LAB);12;Kent;76212;10464;9649;4080;15646;5469;0;0;1006;0.153;0.115;0.004;0.721;0.007;0.000;0.000;0.000
Ashton-under-Lyne;Unknown (Reform gain from LAB);4;Eastern Manchester;71002;3272;9501;2436;14517;2868;0;2554;0;0.001;0.150;0.000;0.848;0.000;0.000;0.000;0.000
Aylesbury;Unknown (Reform gain from LAB);12;Buckinghamshire;79169;9640;11324;9176;13938;3802;0;737;100;0.143;0.215;0.098;0.543;0.001;0.000;0.000;0.000
Banbury;Sean Woodcock;12;Oxfordshire;73193;10054;13425;5504;13302;3839;0;0;795;0.144;0.420;0.014;0.419;0.002;0.000;0.000;0.000
Barking;Unknown (Reform gain from LAB);11;Barking and Dagenham;79825;2679;8869;3271;12252;5802;0;2607;524;0.005;0.211;0.007;0.734;0.041;0.000;0.000;0.000
Barnsley North;Unknown (Reform gain from LAB);5;South Yorkshire;78267;2146;10471;2701;19576;3014;0;0;917;0.000;0.071;0.000;0.929;0.000;0.000;0.000;0.000
Barnsley South;Unknown (Reform gain from LAB);5;South Yorkshire;75850;2049;8805;2349;20400;2691;0;0;839;0.000;0.020;0.000;0.980;0.000;0.000;0.000;0.000
Barrow and Furness;Unknown (Reform gain from LAB);4;Cumbria;74980;9519;11253;3486;13987;3111;0;0;552;0.128;0.263;0.001;0.607;0.000;0.000;0.000;0.000
Basildon and Billericay;Unknown (Reform gain from CON);9;Essex;76873;9641;7612;3983;17528;3329;0;0;669;0.092;0.027;0.000;0.881;0.000;0.000;0.000;0.000
Basildon South and East Thurrock;James McMurdock;9;Essex;72673;7290;7041;2936;18411;2928;0;0;1424;0.023;0.013;0.000;0.963;0.000;0.000;0.000;0.000
Basingstoke;Luke Murphy;12;Hampshire;78487;11278;13201;4961;12515;5493;0;0;684;0.219;0.419;0.011;0.340;0.010;0.000;0.000;0.000
