Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Bracknell;Unknown (Reform gain from LAB);12;Berkshire;71656;11634;10678;4572;12388;4718;0;4529;0;0.377;0.239;0.011;0.363;0.009;0;0;0
Bradford East;Imran Hussain;5;Bradford;75167;3110;14530;1075;9068;4901;0;3471;0;0.04;0.701;0.002;0.171;0.079;0;0.001;0.004
Bradford South;Judith Cummins;5;Bradford;71002;1452;15846;241;12104;1642;0;4197;0;0.018;0.629;0;0.309;0.043;0;0;0
Bradford West;Naz Shah;5;Bradford;77897;2840;11171;826;5335;8869;0;4684;0;0.021;0.494;0;0.066;0.405;0;0.007;0.005
Braintree;James Cleverly;9;Essex North;77781;21492;5254;1764;17207;3034;0;3614;0;0.533;0.061;0.001;0.404;0.001;0;0;0
Brent East;Dawn Butler;11;Brent Harrow Barnet;77257;4455;13344;2515;5747;11189;0;2732;0;0.013;0.589;0.001;0.025;0.371;0;0;0
Brent West;Barry Gardiner;11;Brent Harrow Barnet;79937;10809;11584;2798;6533;7930;0;3324;0;0.368;0.435;0.003;0.061;0.132;0;0;0
Brentford and Isleworth;Ruth Cadbury;11;South West London;79283;7968;14822;3612;8326;8471;0;4037;0;0.079;0.726;0.003;0.079;0.11;0;0.001;0.001
Brentwood and Ongar;Alex Burghart;9;Essex South West;75352;22460;4313;2746;16985;2318;0;3365;0;0.692;0.013;0.002;0.291;0.001;0;0;0
Bridgwater;Ashley Fox;10;Somerset West and Barnstaple;71571;17101;5090;3895;14137;2744;0;3268;0;0.496;0.051;0.033;0.418;0.002;0;0;0
Bridlington and the Wolds;Charlie Dewhirst;5;East Yorkshire;72931;16878;6763;1834;15989;1919;0;3546;0;0.459;0.075;0;0.465;0;0;0;0
Brigg and Immingham;Martin Vickers;5;Lincolnshire North;74297;20443;5018;1002;16344;1893;0;2889;0;0.625;0.037;0;0.338;0;0;0;0
Brighton Kemptown and Peacehaven;Chris Ward;12;South Coast;68784;5964;13976;3683;6889;9992;0;2811;0;0.044;0.672;0.008;0.061;0.215;0;0;0
Brighton Pavilion;Siân Berry;12;South Coast;74786;3965;14205;3335;4358;24710;0;1828;0;0;0.073;0;0;0.927;0;0;0
Bristol Central;Carla Denyer;10;Avon North;62735;2139;15014;2281;2664;21814;0;921;0;0;0.149;0;0;0.851;0;0;0
Bristol East;Kerry McCarthy;10;Avon South;75917;5077;17773;3001;7189;14069;0;1618;0;0.007;0.69;0.003;0.017;0.283;0;0;0
Bristol North East;Damien Egan;10;Avon North;70076;4671;14758;2302;8908;10587;0;2975;0;0.013;0.673;0.002;0.099;0.212;0;0;0
Bristol North West;Darren Jones;10;Avon North;74869;6699;17790;4607;9166;11295;0;2531;0;0.021;0.779;0.004;0.056;0.139;0;0;0
Bristol South;Karin Smyth;10;Avon South;75533;4609;14563;2967;10222;12159;0;3093;0;0.009;0.559;0.002;0.152;0.278;0;0;0
Broadland and Fakenham;Jerome Mayhew;9;Norfolk North;76859;16339;9178;5370;14890;3874;0;3125;0;0.495;0.124;0.013;0.363;0.004;0;0;0
Bromley and Biggin Hill;Peter Fortune;11;Bexley and Bromley;70713;14840;10411;5471;10982;5489;0;2763;0;0.628;0.182;0.008;0.167;0.013;0;0;0
Bromsgrove;Bradley Anthony Thomas;7;Worcestershire;76468;16574;9320;6242;14165;3881;0;3525;0;0.548;0.134;0.021;0.291;0.006;0;0;0
Broxbourne;Lewis Christopher Cocking;9;Hertfordshire East;75187;20812;4509;1868;14983;2923;0;2850;0;0.679;0.035;0;0.282;0.002;0;0;0
Broxtowe;Juliet Campbell;8;Nottinghamshire South;71923;4483;20816;1014;19160;1492;0;3370;0;0.055;0.583;0;0.361;0;0;0;0
Buckingham and Bletchley;Unknown (CON gain from LAB);12;Buckinghamshire North;74832;12619;11952;4683;12236;5174;0;3819;0;0.383;0.294;0.009;0.304;0.009;0;0;0
Buckinghamshire Mid;Greg Smith;12;Buckinghamshire South;75415;17887;7844;10898;12431;4791;0;2235;0;0.722;0.027;0.115;0.133;0.002;0;0;0
Burnley;Unknown (Reform gain from LAB);4;Lancashire East;74951;3327;15258;1562;16838;1190;0;4242;0;0.035;0.375;0;0.588;0.002;0;0;0
Burton and Uttoxeter;Unknown (Reform gain from LAB);7;Staffordshire South;77994;11316;11568;2869;14907;4442;0;4719;0;0.239;0.21;0;0.546;0.004;0;0;0
Bury North;James Frith;4;Manchester North East;77703;9820;14092;2062;11208;4339;0;3896;0;0.145;0.586;0;0.265;0.003;0;0;0
Bury South;Christian Wakeford;4;Manchester North East;75339;3501;19649;667;15173;1825;0;4381;0;0.02;0.738;0;0.241;0.001;0;0;0
Bury St Edmunds and Stowmarket;Unknown (Reform gain from LAB);9;Suffolk West and Ipswich;77599;11533;12672;4306;14874;5797;0;2886;0;0.201;0.309;0.003;0.479;0.008;0;0;0
Calder Valley;Josh Fenton-Glynn;5;Huddersfield and Halifax;77364;9896;18078;2488;13833;4207;0;3778;0;0.062;0.714;0;0.221;0.002;0;0;0
Camborne and Redruth;Unknown (Reform gain from LAB);10;Cornwall;74402;10569;12780;5383;16368;3940;0;2807;0;0.117;0.28;0.009;0.591;0.002;0;0;0
Cambridge;Daniel Zeichner;9;Cambridgeshire South;70315;5188;16073;6008;4715;13234;0;1860;0;0.011;0.64;0.013;0.009;0.326;0;0;0
Cambridgeshire North East;Steve Barclay;9;Cambridgeshire North;71511;19217;3423;1604;16593;1857;0;2761;0;0.635;0.002;0.001;0.361;0;0;0;0
Cambridgeshire North West;Unknown (Reform gain from LAB);9;Cambridgeshire North;75915;13026;10612;3617;15898;3803;0;3637;0;0.341;0.12;0;0.537;0.001;0;0;0
Cambridgeshire South;Pippa Heylings;9;Cambridgeshire South;77327;15660;2016;29218;5122;2212;0;2126;0;0.05;0.002;0.942;0.005;0;0;0;0
Cannock Chase;Unknown (Reform gain from LAB);7;Staffordshire South;76974;9059;9799;2691;15799;3995;0;4542;0;0.091;0.163;0;0.743;0.001;0;0.001;0
Canterbury;Rosie Duffield;12;Kent East;71171;5841;18244;2865;14116;4581;0;3623;0;0.063;0.664;0.004;0.249;0.02;0;0;0
Carlisle;Unknown (Reform gain from LAB);4;Cumbria;77863;8115;14127;2161;15869;2878;0;4698;0;0.093;0.382;0;0.523;0.001;0;0;0
Carshalton and Wallington;Bobby Dean;11;Wimbledon and Sutton;74362;11203;6011;16566;9540;3719;0;2619;0;0.128;0.016;0.78;0.073;0.002;0;0;0
Castle Point;Unknown (Reform gain from CON);9;Essex South East;70967;16300;3674;935;18335;1799;0;3811;0;0.305;0.008;0;0.686;0;0;0;0
Chatham and Aylesford;Unknown (Reform gain from LAB);12;Medway and Maidstone;75109;10166;8969;3645;14495;4783;0;4047;0;0.245;0.117;0.006;0.627;0.005;0;0;0
Cheadle;Tom Morrison;4;Manchester East;74383;10749;9112;15784;8834;3639;0;2728;0;0.13;0.091;0.697;0.079;0.002;0;0;0
Chelmsford;Marie Goldman;9;Essex South East;76972;13456;4391;19315;9218;3391;0;2781;0;0.135;0.002;0.805;0.057;0;0;0;0
Chelsea and Fulham;Unknown (CON gain from LAB);11;West London;78468;16729;13112;4299;9088;7070;0;2386;0;0.625;0.291;0.002;0.059;0.022;0;0;0
Cheltenham;Max Wilkinson;10;Gloucestershire;76143;18596;929;26212;4256;1542;0;2164;0;0.188;0;0.802;0.008;0.001;0;0;0
Chesham and Amersham;Sarah Green;12;Buckinghamshire South;74889;21608;1106;25297;5657;1268;0;2037;0;0.342;0.001;0.633;0.023;0;0;0;0
