Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Gordon;Unknown (CON gain from NAT);2;Grampian;79629;16755;13957;4670;1279;1394;16059;0;1757;0.400;0.232;0.000;0.000;0.000;0.367;0.000;0.000
Inverclyde;Unknown (LAB gain from NAT);2;Glasgow area;60622;2769;19045;2173;904;852;14053;0;1075;0.000;0.789;0.000;0.000;0.000;0.211;0.000;0.000
Inverness Nairn Badenoch and Strathspey;Drew Hendry;2;Highland;78059;10418;15613;4731;1426;2462;18707;0;1800;0.070;0.350;0.001;0.000;0.000;0.578;0.000;0.000
Kilmarnock and Loudoun;Alan Brown;2;Ayrshire and Lanark;74517;7083;17662;2169;1091;1036;17935;0;1670;0.009;0.495;0.000;0.000;0.000;0.496;0.000;0.000
Kirkcaldy and Cowdenbeath;Unknown (LAB gain from NAT);2;Fife;72853;5262;25132;2551;1239;2153;10213;0;1455;0.002;0.976;0.000;0.000;0.000;0.022;0.000;0.000
Lanark and Hamilton East;Unknown (LAB gain from NAT);2;Ayrshire and Lanark;77659;11452;20163;2565;1183;1180;14745;0;1488;0.055;0.715;0.000;0.000;0.000;0.229;0.000;0.000
Linlithgow and East Falkirk;Unknown (LAB gain from NAT);2;Edinburgh area;87044;8784;22186;3632;1452;2158;17588;0;2337;0.015;0.692;0.000;0.000;0.000;0.292;0.000;0.000
Livingston;Unknown (LAB gain from NAT);2;Edinburgh area;82285;7142;22077;2971;1360;2058;18239;0;1503;0.005;0.676;0.000;0.000;0.000;0.318;0.000;0.000
Midlothian;Unknown (LAB gain from NAT);2;Edinburgh area;70544;6048;23390;2841;1102;1074;13632;0;1355;0.002;0.902;0.000;0.000;0.000;0.096;0.000;0.000
Moray;Douglas Ross;2;Grampian;71035;16034;11258;1976;1088;1114;14422;0;1760;0.521;0.134;0.000;0.000;0.000;0.344;0.000;0.000
Motherwell and Wishaw;Unknown (LAB gain from NAT);2;Glasgow area;68856;3174;21725;1568;992;884;14415;0;1660;0.000;0.853;0.000;0.000;0.000;0.147;0.000;0.000
Na h-Eileanan An Iar (Western Isles);Unknown (LAB gain from NAT);2;Western Isles;21106;1908;6817;594;333;313;4684;0;395;0.003;0.814;0.000;0.000;0.000;0.183;0.000;0.000
Ochil and South Perthshire;John Nicolson;2;Tayside;78776;15551;15160;2668;1276;1293;18271;0;1956;0.244;0.251;0.000;0.000;0.000;0.505;0.000;0.000
Orkney and Shetland;Alistair Carmichael;2;Orkney and Shetland;34211;396;6411;10173;555;619;4779;0;933;0.000;0.129;0.830;0.000;0.000;0.041;0.000;0.000
Paisley and Renfrewshire North;Unknown (LAB gain from NAT);2;Glasgow area;72007;6603;20672;3028;1132;1113;16747;0;1403;0.004;0.706;0.000;0.000;0.000;0.289;0.000;0.000
