Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Leo Docherty;12;Hampshire;72617;0.27;0.33;0.10;0.21;0.08;0.00;0.00;0.01;0.486;0.471;0.012;0.031;0;0;0;0
Aldridge-Brownhills;Wendy Morton;7;Black Country;60138;0.35;0.23;0.07;0.28;0.06;0.00;0.00;0.01;0.805;0.175;0.001;0.019;0;0;0;0
Altrincham and Sale West;Unknown (LAB gain from CON);4;Central Manchester;73107;0.28;0.34;0.11;0.16;0.10;0.00;0.00;0.01;0.142;0.819;0;0.036;0.001;0;0;0
Amber Valley;Unknown (LAB gain from CON);8;Derbyshire;69976;0.24;0.28;0.06;0.33;0.08;0.00;0.00;0.01;0.225;0.744;0;0.031;0;0;0;0
Arundel and South Downs;Andrew Griffith;12;West Sussex;81726;0.36;0.18;0.17;0.19;0.10;0.00;0.00;0.01;0.627;0.113;0.161;0.095;0.004;0;0;0
Ashfield;Unknown (MIN gain from CON);8;Nottinghamshire;78204;0.15;0.25;0.05;0.45;0.06;0.00;0.00;0.05;0.023;0.23;0.001;0.549;0.002;0;0.193;0
Ashford;Damian Green;12;Kent;89553;0.28;0.27;0.08;0.25;0.11;0.00;0.00;0.01;0.581;0.357;0.001;0.06;0;0;0;0
Ashton under Lyne;Angela Rayner;4;Eastern Manchester;67978;0.15;0.34;0.07;0.30;0.11;0.00;0.00;0.03;0.002;0.988;0;0.01;0;0;0;0
Aylesbury;Unknown (LAB gain from CON);12;Buckinghamshire;86665;0.27;0.27;0.19;0.18;0.08;0.00;0.00;0.01;0.441;0.469;0.042;0.046;0;0;0;0
Banbury;Unknown (LAB gain from CON);12;Oxfordshire;90116;0.29;0.33;0.11;0.18;0.08;0.00;0.00;0.01;0.299;0.653;0.013;0.034;0;0;0;0
Barking;Margaret Hodge;11;Barking and Dagenham;77953;0.15;0.37;0.07;0.20;0.17;0.00;0.00;0.04;0;0.999;0;0.001;0;0;0;0
Barnsley Central;Dan Jarvis;5;South Yorkshire;65277;0.13;0.36;0.07;0.33;0.09;0.00;0.00;0.02;0.001;0.96;0;0.039;0;0;0;0
Barnsley East;Stephanie Peacock;5;South Yorkshire;69504;0.14;0.33;0.06;0.36;0.08;0.00;0.00;0.02;0.003;0.945;0;0.051;0;0;0;0
Barrow and Furness;Unknown (LAB gain from CON);4;Cumbria;70158;0.28;0.33;0.07;0.24;0.07;0.00;0.00;0.01;0.044;0.94;0;0.015;0;0;0;0
Basildon and Billericay;John Baron;9;Essex;69906;0.29;0.25;0.08;0.30;0.08;0.00;0.00;0.01;0.672;0.305;0;0.023;0;0;0;0
Basildon South and East Thurrock;Unknown (LAB gain from CON);9;Essex;74441;0.27;0.25;0.06;0.34;0.07;0.00;0.00;0.02;0.446;0.487;0;0.066;0;0;0;0
Basingstoke;Unknown (LAB gain from CON);12;Hampshire;82928;0.27;0.34;0.09;0.18;0.10;0.00;0.00;0.01;0.254;0.704;0.006;0.034;0.001;0;0;0
Bassetlaw;Unknown (LAB gain from CON);8;Nottinghamshire;80024;0.26;0.31;0.07;0.28;0.07;0.00;0.00;0.01;0.109;0.839;0;0.051;0;0;0;0
Bath;Wera Hobhouse;10;Bristol area;67805;0.17;0.21;0.34;0.11;0.15;0.00;0.00;0.02;0.004;0.005;0.981;0.009;0;0;0;0
Batley and Spen;Tracy Brabin;5;West Yorkshire;79558;0.20;0.42;0.12;0.09;0.15;0.00;0.00;0.02;0.122;0.828;0;0.049;0;0;0;0
