Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Glasgow North;Unknown (NAT gain from LAB);2;Glasgow area;67579;924;9417;1321;6028;6013;11438;0;748;0.000;0.301;0.001;0.045;0.035;0.618;0.000;0.000
Glasgow North East;Unknown (NAT gain from LAB);2;Glasgow area;72610;798;10483;750;6605;4176;11294;0;1026;0.000;0.427;0.000;0.055;0.006;0.511;0.000;0.000
Glasgow South;Unknown (NAT gain from LAB);2;Glasgow area;70219;1029;10626;1441;6651;7289;13094;0;1020;0.000;0.288;0.000;0.044;0.052;0.615;0.000;0.000
Glasgow South West;Unknown (NAT gain from LAB);2;Glasgow area;68871;935;10133;1129;6713;4476;12572;0;730;0.000;0.304;0.001;0.049;0.007;0.638;0.000;0.000
Glasgow West;Patricia Ferguson;2;Glasgow area;69028;1135;12299;1482;6963;5509;12217;0;575;0.000;0.478;0.000;0.042;0.012;0.467;0.000;0.000
Glenrothes and Mid Fife;Unknown (NAT gain from LAB);2;Fife;70655;1333;10531;1801;8172;1700;13412;0;315;0.000;0.282;0.000;0.088;0.000;0.629;0.000;0.000
Gordon and Buchan;Unknown (NAT gain from CON);2;Grampian;69605;12619;219;7346;8183;1300;13344;0;361;0.412;0.000;0.028;0.087;0.000;0.473;0.000;0.000
Hamilton and Clyde Valley;Imogen Walker;2;Ayrshire and Lanark;75480;3099;14455;1723;9065;2191;11743;0;478;0.000;0.623;0.000;0.089;0.000;0.287;0.000;0.000
Inverclyde and Renfrewshire West;Unknown (NAT gain from LAB);2;Glasgow area;70124;1891;12548;1442;7743;3210;12641;0;1192;0.000;0.447;0.000;0.066;0.001;0.485;0.000;0.000
Inverness, Skye and West Ross-shire;Angus MacDonald;2;Highland;77927;1658;723;18486;7621;3500;16072;0;519;0.000;0.000;0.613;0.016;0.000;0.371;0.000;0.000
Kilmarnock and Loudoun;Unknown (NAT gain from LAB);2;Ayrshire and Lanark;74628;2326;12335;1036;9009;3353;14017;0;685;0.000;0.357;0.000;0.080;0.001;0.560;0.000;0.000
Livingston;Unknown (NAT gain from LAB);2;Edinburgh area;78043;2306;11350;2245;9832;3952;14985;0;816;0.000;0.226;0.001;0.142;0.000;0.630;0.000;0.000
Lothian East;Douglas Alexander;2;Edinburgh area;75456;3737;15905;2883;9609;5040;10367;0;867;0.005;0.705;0.001;0.118;0.007;0.163;0.000;0.000
Midlothian;Kirsty McNeill;2;Edinburgh area;73916;2155;14550;2806;9004;2152;13468;0;592;0.000;0.514;0.001;0.070;0.000;0.415;0.000;0.000
Moray West, Nairn and Strathspey;Graham Leadbitter;2;Grampian;77072;12053;1613;3926;9138;3820;14744;0;709;0.293;0.001;0.003;0.092;0.002;0.608;0.000;0.000
Motherwell, Wishaw and Carluke;Pamela Nash;2;Glasgow area;71777;1599;13017;991;7972;3077;12191;0;599;0.000;0.503;0.000;0.083;0.001;0.412;0.000;0.000
Na h-Eileanan An Iar (Western Isles);Torcuil Crichton;2;Western Isles;21235;423;4504;443;2488;725;2841;0;2084;0.000;0.718;0.000;0.088;0.002;0.165;0.000;0.027
Orkney and Shetland;Alistair Carmichael;2;Orkney and Shetland;34236;385;32;11442;2884;2406;3455;0;114;0.000;0.000;0.993;0.003;0.000;0.004;0.000;0.000
Paisley and Renfrewshire North;Unknown (NAT gain from LAB);2;Glasgow area;71103;1746;12918;1544;8400;3411;13232;0;358;0.000;0.455;0.000;0.065;0.000;0.478;0.000;0.000
Paisley and Renfrewshire South;Unknown (NAT gain from LAB);2;Glasgow area;71574;1478;13157;1505;8182;3708;13235;0;692;0.000;0.472;0.000;0.065;0.002;0.459;0.000;0.000
Perth and Kinross-shire;Pete Wishart;2;Tayside;77261;13113;1843;3950;9385;2448;19190;0;959;0.173;0.000;0.001;0.045;0.000;0.781;0.000;0.000
Renfrewshire East;Blair McDougall;2;Glasgow area;73380;6669;14071;1396;9310;4262;13675;0;1434;0.027;0.473;0.000;0.091;0.004;0.403;0.000;0.000
Rutherglen;Michael Shanks;2;Ayrshire and Lanark;72674;1596;14694;1906;8170;2114;12749;0;1533;0.000;0.593;0.000;0.068;0.000;0.338;0.000;0.000
