Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Leo Docherty;12;Surrey West and Aldershot;72617;0.27;0.33;0.1;0.21;0.08;0;0;0.01;LAB;0.486;0.471;0.012;0.031;0;0;0;0
Aldridge-Brownhills;Wendy Morton;7;Wolverhampton and Walsall;60138;0.35;0.23;0.07;0.28;0.06;0;0;0.01;CON;0.805;0.175;0.001;0.019;0;0;0;0
Altrincham and Sale West;Unknown (LAB gain from CON);4;Manchester Central and Trafford;73107;0.28;0.34;0.11;0.16;0.1;0;0;0.01;LAB;0.142;0.819;0;0.036;0.001;0;0;0
Amber Valley;Unknown (LAB gain from CON);8;Derbyshire North;69976;0.24;0.28;0.06;0.33;0.08;0;0;0.01;UKIP;0.225;0.744;0;0.031;0;0;0;0
Arundel and South Downs;Andrew Griffith;12;Sussex West;81726;0.36;0.18;0.17;0.19;0.1;0;0;0.01;CON;0.627;0.113;0.161;0.095;0.004;0;0;0
Ashfield;Unknown (MIN gain from CON);8;Nottinghamshire North;78204;0.15;0.25;0.05;0.45;0.06;0;0;0.05;UKIP;0.023;0.23;0.001;0.549;0.002;0;0.193;0
Ashford;Damian Green;12;Kent South;89553;0.28;0.27;0.08;0.25;0.11;0;0;0.01;CON;0.581;0.357;0.001;0.06;0;0;0;0
Ashton under Lyne;Angela Rayner;4;Manchester East;67978;0.15;0.34;0.07;0.3;0.11;0;0;0.03;LAB;0.002;0.988;0;0.01;0;0;0;0
Aylesbury;Unknown (LAB gain from CON);12;Buckinghamshire North;86665;0.27;0.27;0.19;0.18;0.08;0;0;0.01;CON;0.441;0.469;0.042;0.046;0;0;0;0
Banbury;Unknown (LAB gain from CON);12;Oxfordshire;90116;0.29;0.33;0.11;0.18;0.08;0;0;0.01;LAB;0.299;0.653;0.013;0.034;0;0;0;0
Barking;Margaret Hodge;11;Dagenham and Redbridge;77953;0.15;0.37;0.07;0.2;0.17;0;0;0.04;LAB;0;0.999;0;0.001;0;0;0;0
Barnsley Central;Dan Jarvis;5;Barnsley and Sheffield West;65277;0.13;0.36;0.07;0.33;0.09;0;0;0.02;LAB;0.001;0.96;0;0.039;0;0;0;0
Barnsley East;Stephanie Peacock;5;Barnsley and Sheffield West;69504;0.14;0.33;0.06;0.36;0.08;0;0;0.02;UKIP;0.003;0.945;0;0.051;0;0;0;0
Barrow and Furness;Unknown (LAB gain from CON);4;Cumbria;70158;0.28;0.33;0.07;0.24;0.07;0;0;0.01;LAB;0.044;0.94;0;0.015;0;0;0;0
Basildon and Billericay;John Baron;9;Essex South West;69906;0.29;0.25;0.08;0.3;0.08;0;0;0.01;UKIP;0.672;0.305;0;0.023;0;0;0;0
Basildon South and East Thurrock;Unknown (LAB gain from CON);9;Essex South West;74441;0.27;0.25;0.06;0.34;0.07;0;0;0.02;UKIP;0.446;0.487;0;0.066;0;0;0;0
Basingstoke;Unknown (LAB gain from CON);12;Hampshire;82928;0.27;0.34;0.09;0.18;0.1;0;0;0.01;LAB;0.254;0.704;0.006;0.034;0.001;0;0;0
Bassetlaw;Unknown (LAB gain from CON);8;Nottinghamshire North;80024;0.26;0.31;0.07;0.28;0.07;0;0;0.01;LAB;0.109;0.839;0;0.051;0;0;0;0
Bath;Wera Hobhouse;10;Avon South;67805;0.17;0.21;0.34;0.11;0.15;0;0;0.02;LIB;0.004;0.005;0.981;0.009;0;0;0;0
Batley and Spen;Tracy Brabin;5;Lambeth and Wandsworth;79558;0.2;0.42;0.12;0.09;0.15;0;0;0.02;LAB;0.122;0.828;0;0.049;0;0;0;0
Battersea;Marsha De Cordova;11;Buckinghamshire South;79350;0.34;0.17;0.23;0.18;0.06;0;0;0.01;CON;0.006;0.984;0;0.009;0;0;0;0
Beaconsfield;Joy Morrissey;12;Croydon;77720;0.23;0.41;0.11;0.14;0.1;0;0;0.01;LAB;0.719;0.035;0.193;0.052;0;0;0;0
Beckenham;Unknown (LAB gain from CON);11;Bedfordshire;68662;0.22;0.37;0.12;0.17;0.1;0;0;0.02;LAB;0.439;0.534;0.005;0.021;0;0;0;0
Bedford;Mohammad Yasin;9;Bedfordshire;71581;0.32;0.28;0.1;0.21;0.08;0;0;0.02;CON;0.03;0.948;0.001;0.019;0;0;0;0
Bedfordshire Mid;Nadine Dorries;9;Bedfordshire;87795;0.34;0.25;0.12;0.21;0.08;0;0;0.01;CON;0.464;0.413;0.054;0.068;0;0;0;0
Bedfordshire North East;Unknown (LAB gain from CON);9;South East London;90678;0.09;0.38;0.21;0.11;0.19;0;0;0.02;LAB;0.406;0.512;0.017;0.064;0;0;0;0
Bedfordshire South West;Unknown (LAB gain from CON);9;Hackney and Tower Hamlets;79926;0.09;0.35;0.12;0.1;0.23;0;0;0.11;LAB;0.282;0.66;0.007;0.05;0;0;0;0
Bermondsey and Old Southwark;Neil Coyle;11;East Yorkshire;93248;0.3;0.28;0.09;0.25;0.06;0;0;0.01;CON;0;0.989;0.009;0.002;0;0;0;0
Berwick-upon-Tweed;Anne-Marie Trevelyan;3;Sussex East;59939;0.33;0.25;0.1;0.22;0.08;0;0;0.03;CON;0.47;0.403;0.046;0.08;0;0;0;0
Bethnal Green and Bow;Rushanara Ali;11;Bexley and Bromley;88262;0.29;0.29;0.08;0.26;0.07;0;0;0.01;CON;0;1;0;0;0;0;0;0
Beverley and Holderness;Unknown (LAB gain from CON);5;Oxfordshire;79696;0.27;0.19;0.31;0.16;0.07;0;0;0.01;LIB;0.342;0.566;0.005;0.087;0;0;0;0
Bexhill and Battle;Huw Merriman;12;Wirral and Chester North;81963;0.11;0.4;0.08;0.2;0.21;0;0;0.01;LAB;0.64;0.231;0.029;0.097;0.002;0;0;0
Bexleyheath and Crayford;Unknown (LAB gain from CON);11;Birmingham South;65466;0.22;0.37;0.09;0.17;0.12;0;0;0.03;LAB;0.333;0.648;0;0.019;0;0;0;0
Birkenhead;Mick Whitley;4;Birmingham North;63762;0.19;0.33;0.07;0.27;0.11;0;0;0.03;LAB;0;0.989;0;0.01;0;0;0;0
Birmingham Edgbaston;Preet Gill;7;Birmingham South;68828;0.16;0.34;0.13;0.13;0.15;0;0;0.09;LAB;0.004;0.994;0;0.002;0;0;0;0
Birmingham Erdington;Jack Dromey;7;Birmingham North;66148;0.2;0.29;0.07;0.26;0.12;0;0;0.07;LAB;0.039;0.958;0;0.003;0;0;0;0
Birmingham Hall Green;Tahir Ali;7;Birmingham North;80283;0.12;0.38;0.09;0.12;0.19;0;0;0.1;LAB;0;0.998;0;0.002;0;0;0;0
Birmingham Hodge Hill;Liam Byrne;7;Birmingham South;78295;0.24;0.31;0.08;0.25;0.1;0;0;0.01;LAB;0;0.999;0;0.001;0;0;0;0
Birmingham Ladywood;Shabana Mahmood;7;Birmingham North;74912;0.12;0.23;0.05;0.1;0.09;0;0.35;0.06;MIN;0;1;0;0;0;0;0;0
Birmingham Northfield;Unknown (LAB gain from CON);7;Birmingham South;73694;0.18;0.36;0.1;0.18;0.15;0;0;0.03;LAB;0.023;0.961;0;0.015;0;0;0;0
Birmingham Perry Barr;Khalid Mahmood;7;Birmingham South;72006;0.17;0.31;0.12;0.22;0.11;0;0;0.08;LAB;0;0.999;0;0;0;0;0;0
Birmingham Selly Oak;Steve McCabe;7;County Durham;82665;0.24;0.32;0.07;0.29;0.08;0;0;0.01;LAB;0.001;0.995;0;0.003;0;0;0;0
Birmingham Yardley;Jess Phillips;7;Lancashire East;74704;0.13;0.22;0.04;0.17;0.08;0;0.27;0.09;MIN;0.002;0.988;0;0.009;0;0;0;0
Bishop Auckland;Unknown (LAB gain from CON);3;Manchester North East;68170;0.13;0.38;0.08;0.26;0.14;0;0;0.01;LAB;0.058;0.91;0;0.031;0;0;0;0
Blackburn;Kate Hollern;4;Lancashire West;71234;0.27;0.3;0.06;0.3;0.06;0;0;0.01;LAB;0;1;0;0;0;0;0;0
Blackley and Broughton;Graham Stringer;4;Lancashire West;73372;0.18;0.34;0.06;0.33;0.08;0;0;0.01;LAB;0;0.999;0;0;0;0;0;0
Blackpool North and Cleveleys;Unknown (LAB gain from CON);4;County Durham;63692;0.16;0.38;0.08;0.28;0.09;0;0;0.01;LAB;0.112;0.873;0;0.015;0;0;0;0
Blackpool South;Unknown (LAB gain from CON);4;Northumberland;57690;0.17;0.36;0.07;0.31;0.09;0;0;0.01;LAB;0.032;0.953;0;0.015;0;0;0;0
Blaydon;Liz Twist;3;South Coast;67853;0.31;0.24;0.11;0.26;0.06;0;0;0.01;CON;0.004;0.97;0;0.025;0;0;0;0
Blyth Valley;Unknown (LAB gain from CON);3;Derbyshire North;64429;0.24;0.3;0.06;0.29;0.1;0;0;0.01;LAB;0.011;0.97;0;0.018;0;0;0;0
Bognor Regis and Littlehampton;Nick Gibb;12;Manchester North West;77446;0.22;0.29;0.06;0.27;0.13;0;0;0.02;LAB;0.62;0.315;0.011;0.053;0;0;0;0
Bolsover;Unknown (LAB gain from CON);8;Manchester North West;74292;0.15;0.32;0.07;0.29;0.12;0;0;0.04;LAB;0.017;0.942;0;0.041;0;0;0;0
