Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Unknown (LAB gain from CON);12;Hampshire;72617;12430;13550;5338;7068;2411;0;0;704;0.397;0.549;0.014;0.039;0.000;0.000;0.000;0.000
Aldridge-Brownhills;Wendy Morton;7;Black Country;60138;13334;9966;2889;6192;1415;0;0;0;0.736;0.232;0.001;0.030;0.000;0.000;0.000;0.000
Altrincham and Sale West;Unknown (LAB gain from CON);4;Central Manchester;73107;11148;19317;4746;9365;4296;0;0;0;0.093;0.862;0.000;0.043;0.001;0.000;0.000;0.000
Amber Valley;Unknown (LAB gain from CON);8;Derbyshire;69976;10614;15724;2044;7788;2731;0;0;0;0.171;0.789;0.000;0.039;0.000;0.000;0.000;0.000
Arundel and South Downs;Andrew Griffith;12;West Sussex;81726;15815;10874;12225;10590;5253;0;0;642;0.532;0.147;0.198;0.119;0.003;0.000;0.000;0.000
Ashfield;Unknown (MIN gain from CON);8;Nottinghamshire;78204;3382;11173;2053;9998;1796;0;12355;0;0.009;0.246;0.001;0.561;0.002;0.000;0.181;0.000
Ashford;Damian Green;12;Kent;89553;15335;14685;5557;9581;4122;0;0;1087;0.481;0.435;0.004;0.079;0.000;0.000;0.000;0.000
Ashton under Lyne;Angela Rayner;4;Eastern Manchester;67978;3905;18887;1184;6650;1937;0;0;0;0.000;0.988;0.000;0.011;0.000;0.000;0.000;0.000
Aylesbury;Unknown (LAB gain from CON);12;Buckinghamshire;86665;14353;16384;9316;9052;3075;0;0;757;0.357;0.542;0.051;0.050;0.000;0.000;0.000;0.000
Banbury;Unknown (LAB gain from CON);12;Oxfordshire;90116;13926;19574;7580;9532;3811;0;0;846;0.217;0.725;0.017;0.041;0.000;0.000;0.000;0.000
Barking;Margaret Hodge;11;Barking and Dagenham;77953;1808;22283;956;5808;1748;0;0;673;0.000;0.999;0.000;0.001;0.000;0.000;0.000;0.000
Barnsley Central;Dan Jarvis;5;South Yorkshire;65277;2612;17287;1532;8408;1984;0;0;1305;0.000;0.961;0.000;0.038;0.000;0.000;0.000;0.000
Barnsley East;Stephanie Peacock;5;South Yorkshire;69504;3135;16897;1559;8712;1967;0;0;1200;0.001;0.948;0.000;0.050;0.000;0.000;0.000;0.000
Barrow and Furness;Unknown (LAB gain from CON);4;Cumbria;70158;7921;18919;2172;7718;2138;0;0;773;0.027;0.956;0.000;0.017;0.000;0.000;0.000;0.000
Basildon and Billericay;John Baron;9;Essex;69906;13787;12315;3042;6754;2238;0;0;685;0.594;0.379;0.000;0.027;0.000;0.000;0.000;0.000
Basildon South and East Thurrock;Unknown (LAB gain from CON);9;Essex;74441;11570;13166;2883;7632;1762;0;0;1246;0.360;0.565;0.001;0.074;0.000;0.000;0.000;0.000
Basingstoke;Unknown (LAB gain from CON);12;Hampshire;82928;11934;17870;5622;8330;3248;0;0;998;0.173;0.777;0.009;0.040;0.001;0.000;0.000;0.000
Bassetlaw;Unknown (LAB gain from CON);8;Nottinghamshire;80024;10075;18908;2311;9925;2133;0;0;0;0.069;0.875;0.000;0.055;0.000;0.000;0.000;0.000
Bath;Wera Hobhouse;10;Bristol area;67805;5617;8067;24539;7594;2872;0;0;658;0.003;0.007;0.981;0.009;0.000;0.000;0.000;0.000
Batley and Spen;Tracy Brabin;5;West Yorkshire;79558;9062;16302;1680;6178;909;0;4420;1767;0.078;0.865;0.000;0.056;0.000;0.000;0.000;0.000
Battersea;Marsha De Cordova;11;Wandsworth;79350;6986;27918;4703;8358;4272;0;0;821;0.003;0.987;0.000;0.009;0.000;0.000;0.000;0.000
Beaconsfield;Joy Morrissey;12;Buckinghamshire;77720;16412;7782;12585;9324;3219;0;0;1009;0.647;0.045;0.238;0.069;0.000;0.000;0.000;0.000
Beckenham;Unknown (LAB gain from CON);11;Bromley;68662;13103;15360;5689;7988;3216;0;0;758;0.331;0.623;0.010;0.034;0.000;0.000;0.000;0.000
Bedford;Mohammad Yasin;9;Bedfordshire;71581;6335;18687;3385;6801;2615;0;0;789;0.015;0.966;0.001;0.016;0.000;0.000;0.000;0.000
Bedfordshire Mid;Unknown (LAB gain from CON);9;Bedfordshire;87795;15208;16255;10157;9604;2408;0;0;1059;0.367;0.482;0.069;0.081;0.000;0.000;0.000;0.000
Bedfordshire North East;Unknown (LAB gain from CON);9;Bedfordshire;90678;15019;17664;7924;10346;3411;0;0;1112;0.322;0.581;0.020;0.076;0.000;0.000;0.000;0.000
Bedfordshire South West;Unknown (LAB gain from CON);9;Bedfordshire;79926;11995;16492;5673;8731;3216;0;0;1054;0.211;0.722;0.009;0.057;0.000;0.000;0.000;0.000
Bermondsey and Old Southwark;Neil Coyle;11;Southwark;93248;2003;27807;9695;7486;3717;0;0;765;0.000;0.988;0.010;0.002;0.000;0.000;0.000;0.000
Berwick-upon-Tweed;Unknown (LAB gain from CON);3;Northumberland;59939;9461;9827;6477;6993;1951;0;0;358;0.369;0.469;0.059;0.102;0.000;0.000;0.000;0.000
Bethnal Green and Bow;Rushanara Ali;11;Tower Hamlets;88262;999;34275;2118;5872;3319;0;0;1156;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Beverley and Holderness;Unknown (LAB gain from CON);5;Humber area;79696;12893;16157;5900;10116;2671;0;0;852;0.264;0.627;0.006;0.102;0.000;0.000;0.000;0.000
Bexhill and Battle;Huw Merriman;12;East Sussex;81963;15841;13271;7914;10365;4027;0;0;890;0.556;0.295;0.038;0.108;0.002;0.000;0.000;0.000
Bexleyheath and Crayford;Unknown (LAB gain from CON);11;Bexley;65466;11172;14241;2745;6882;2040;0;0;0;0.249;0.722;0.000;0.028;0.000;0.000;0.000;0.000
Birkenhead;Mick Whitley;4;Merseyside;63762;1209;19479;2084;6574;3937;0;0;2076;0.000;0.990;0.000;0.010;0.000;0.000;0.000;0.000
Birmingham Edgbaston;Preet Gill;7;Birmingham;68828;4567;19614;2011;5400;1900;0;0;603;0.002;0.996;0.000;0.002;0.000;0.000;0.000;0.000
Birmingham Erdington;Jack Dromey;7;Birmingham;66148;6068;14487;690;3925;837;0;0;568;0.025;0.971;0.000;0.004;0.000;0.000;0.000;0.000
Birmingham Hall Green;Tahir Ali;7;Birmingham;80283;1731;24773;1567;5005;1617;0;0;632;0.000;0.999;0.000;0.001;0.000;0.000;0.000;0.000
Birmingham Hodge Hill;Liam Byrne;7;Birmingham;78295;872;19228;718;3484;1200;0;0;468;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Ladywood;Shabana Mahmood;7;Birmingham;74912;598;22464;820;3049;1442;0;0;0;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Northfield;Unknown (LAB gain from CON);7;Birmingham;73694;5974;17761;2112;6312;2215;0;0;802;0.014;0.969;0.000;0.016;0.000;0.000;0.000;0.000
Birmingham Perry Barr;Khalid Mahmood;7;Birmingham;72006;2134;19818;1368;4645;1268;0;0;530;0.000;0.999;0.000;0.001;0.000;0.000;0.000;0.000
Birmingham Selly Oak;Steve McCabe;7;Birmingham;82665;3986;25107;2208;6646;3207;0;0;763;0.001;0.996;0.000;0.003;0.000;0.000;0.000;0.000
Birmingham Yardley;Jess Phillips;7;Birmingham;74704;2786;17441;3221;5840;1584;0;0;0;0.001;0.990;0.001;0.008;0.000;0.000;0.000;0.000
Bishop Auckland;Unknown (LAB gain from CON);3;Durham;68170;7416;16484;2441;7676;1496;0;0;831;0.037;0.927;0.000;0.036;0.000;0.000;0.000;0.000
Blackburn;Kate Hollern;4;Lancashire;71234;2396;20488;715;5250;1216;0;0;625;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Blackley and Broughton;Graham Stringer;4;Central Manchester;73372;1358;20115;866;5007;1687;0;0;779;0.000;0.999;0.000;0.000;0.000;0.000;0.000;0.000
Blackpool North and Cleveleys;Unknown (LAB gain from CON);4;Lancashire;63692;8200;15098;1562;6325;1693;0;0;790;0.074;0.903;0.000;0.023;0.000;0.000;0.000;0.000
Blackpool South;Unknown (LAB gain from CON);4;Lancashire;57690;5218;13611;1078;5436;1420;0;0;744;0.018;0.963;0.000;0.018;0.000;0.000;0.000;0.000
Blaydon;Liz Twist;3;Newcastle area;67853;4530;20356;3202;8769;2538;0;0;1004;0.002;0.972;0.000;0.026;0.000;0.000;0.000;0.000
Blyth Valley;Unknown (LAB gain from CON);3;Northumberland;64429;5573;17530;2204;7173;2056;0;0;798;0.005;0.976;0.000;0.019;0.000;0.000;0.000;0.000
Bognor Regis and Littlehampton;Nick Gibb;12;West Sussex;77446;14628;13064;5861;8814;2877;0;0;1005;0.531;0.383;0.018;0.067;0.000;0.000;0.000;0.000
Bolsover;Unknown (LAB gain from CON);8;Derbyshire;74292;6719;19119;1961;8795;2177;0;0;0;0.014;0.947;0.000;0.039;0.000;0.000;0.000;0.000
Bolton North East;Unknown (LAB gain from CON);4;Western Manchester;67564;6443;17274;1458;6264;1582;0;0;762;0.014;0.971;0.000;0.014;0.000;0.000;0.000;0.000
Bolton South East;Yasmin Qureshi;4;Western Manchester;69163;2931;17423;1022;5832;1407;0;0;863;0.000;0.997;0.000;0.003;0.000;0.000;0.000;0.000
Bolton West;Unknown (LAB gain from CON);4;Western Manchester;73191;8610;19161;2786;8468;2344;0;0;1217;0.034;0.934;0.000;0.032;0.000;0.000;0.000;0.000
Bootle;Peter Dowd;4;Merseyside;74832;1199;34458;1535;6151;2453;0;0;0;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Boston and Skegness;Matt Warman;8;Lincolnshire;69381;10244;9536;2192;8771;1523;0;0;1563;0.428;0.357;0.000;0.214;0.000;0.000;0.000;0.000
Bosworth;Luke Evans;8;Leicestershire;81542;14081;13231;8766;10130;2900;0;0;879;0.456;0.388;0.049;0.106;0.000;0.000;0.000;0.000
Bournemouth East;Unknown (LAB gain from CON);10;Dorset;74125;9560;15808;4694;7756;3801;0;0;1076;0.129;0.796;0.010;0.061;0.004;0.000;0.000;0.000
Bournemouth West;Unknown (LAB gain from CON);10;Dorset;74205;9087;14888;5535;7331;3350;0;0;963;0.129;0.795;0.019;0.055;0.001;0.000;0.000;0.000
Bracknell;Unknown (LAB gain from CON);12;Berkshire;78978;14388;15876;5791;8385;3378;0;0;816;0.397;0.557;0.007;0.037;0.001;0.000;0.000;0.000
Bradford East;Imran Hussain;5;West Yorkshire;73206;1706;18685;1669;5353;1405;0;0;722;0.000;0.994;0.000;0.006;0.000;0.000;0.000;0.000
Bradford South;Judith Cummins;5;West Yorkshire;69046;3619;15315;1026;6037;1970;0;0;951;0.002;0.980;0.000;0.018;0.000;0.000;0.000;0.000
Bradford West;Naz Shah;5;West Yorkshire;70694;1133;21553;457;3886;1031;0;0;459;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Braintree;James Cleverly;9;Essex;75208;14442;13079;4552;8344;2137;0;0;962;0.551;0.390;0.004;0.055;0.000;0.000;0.000;0.000
Brent Central;Dawn Butler;11;Brent;84032;1916;26123;2018;5895;2782;0;0;611;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Brent North;Barry Gardiner;11;Brent;83788;5775;24332;2021;6632;1727;0;0;756;0.000;0.996;0.000;0.003;0.000;0.000;0.000;0.000
Brentford and Isleworth;Ruth Cadbury;11;Hounslow;85775;6577;28016;3350;8300;3435;0;0;843;0.003;0.993;0.000;0.004;0.000;0.000;0.000;0.000
Brentwood and Ongar;Alex Burghart;9;Essex;75255;18068;11027;7724;8897;2776;0;0;674;0.800;0.136;0.022;0.041;0.000;0.000;0.000;0.000
Bridgwater and West Somerset;Ian Liddell-Grainger;10;Somerset;85327;14676;13662;9044;9487;2695;0;0;619;0.478;0.374;0.063;0.084;0.000;0.000;0.000;0.000
