Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Unknown (Reform gain from LAB);12;Hampshire;78569;11570;12992;5655;15471;3833;0;0;148;0.188;0.276;0.010;0.526;0.000;0.000;0.000;0.000
Aldridge-Brownhills;Unknown (Reform gain from CON);7;Black Country;70871;12246;6924;3665;16272;2763;0;0;138;0.242;0.014;0.001;0.742;0.000;0.000;0.000;0.000
Altrincham and Sale West;Connor Rand;4;Central Manchester;74025;11783;13773;6679;12875;5092;0;1280;0;0.207;0.392;0.017;0.376;0.006;0.000;0.000;0.000
Amber Valley;Unknown (Reform gain from LAB);8;Derbyshire;71546;7606;7969;3882;19582;3260;0;0;134;0.019;0.025;0.001;0.955;0.000;0.000;0.000;0.000
Arundel and South Downs;Unknown (Reform gain from CON);12;West Sussex;77969;14944;7132;10356;16794;5883;0;0;124;0.348;0.016;0.085;0.545;0.005;0.000;0.000;0.000
Ashfield;Lee Anderson;8;Nottinghamshire;68929;2859;7613;2663;21771;1803;0;5735;0;0.000;0.009;0.000;0.990;0.000;0.000;0.000;0.000
Ashford;Unknown (Reform gain from LAB);12;Kent;76212;10646;10357;4715;17798;5069;0;0;263;0.107;0.096;0.003;0.792;0.001;0.000;0.000;0.000
Ashton-under-Lyne;Unknown (Reform gain from LAB);4;Eastern Manchester;71002;3795;10102;3266;14800;3091;0;2910;0;0.002;0.164;0.002;0.831;0.000;0.000;0.000;0.000
Aylesbury;Unknown (Reform gain from LAB);12;Buckinghamshire;79169;10514;11371;9382;15253;3965;0;925;45;0.145;0.162;0.092;0.599;0.001;0.000;0.000;0.000
Banbury;Unknown (Reform gain from LAB);12;Oxfordshire;73193;10181;13226;6443;15222;3886;0;0;318;0.122;0.316;0.022;0.537;0.002;0.000;0.000;0.000
Barking;Nesil Caliskan;11;Barking and Dagenham;79825;3439;11567;3264;11492;5863;0;2920;208;0.006;0.457;0.005;0.498;0.033;0.000;0.000;0.000
Barnsley North;Unknown (Reform gain from LAB);5;South Yorkshire;78267;2544;12287;4132;19180;3259;0;0;416;0.000;0.155;0.000;0.844;0.000;0.000;0.000;0.000
Barnsley South;Unknown (Reform gain from LAB);5;South Yorkshire;75850;2591;10627;3786;19473;2889;0;0;392;0.000;0.077;0.000;0.923;0.000;0.000;0.000;0.000
Barrow and Furness;Unknown (Reform gain from LAB);4;Cumbria;74980;9864;10917;4178;17054;2763;0;0;139;0.085;0.137;0.002;0.776;0.000;0.000;0.000;0.000
Basildon and Billericay;Unknown (Reform gain from CON);9;Essex;76873;10226;7288;4234;17819;3317;0;0;206;0.108;0.021;0.000;0.871;0.000;0.000;0.000;0.000
Basildon South and East Thurrock;James McMurdock;9;Essex;72673;7938;6789;3455;19165;2729;0;0;413;0.029;0.008;0.000;0.962;0.000;0.000;0.000;0.000
Basingstoke;Unknown (Reform gain from LAB);12;Hampshire;78487;11494;13766;5416;14330;5050;0;0;179;0.177;0.368;0.011;0.438;0.005;0.000;0.000;0.000
Bassetlaw;Unknown (Reform gain from LAB);8;Nottinghamshire;78173;9370;10516;4296;20552;3021;0;0;113;0.037;0.050;0.001;0.910;0.001;0.000;0.000;0.000
Bath;Wera Hobhouse;10;Bristol area;69655;5764;9025;17274;10017;7001;0;266;484;0.013;0.073;0.767;0.120;0.027;0.000;0.000;0.000
Battersea;Marsha de Cordova;11;Wandsworth;72767;7074;17914;7095;8322;6632;0;746;243;0.022;0.893;0.020;0.046;0.018;0.000;0.000;0.000
