Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Unknown (Reform gain from LAB);12;Surrey West and Aldershot;78569;10341;11364;5490;14035;6576;0;522;622;0.191;0.285;0.016;0.484;0.023;0;0;0
Aldridge-Brownhills;Unknown (Reform gain from CON);7;Wolverhampton and Walsall;70871;13815;5585;2947;16544;2815;0;442;376;0.304;0.02;0.001;0.672;0.002;0;0;0
Altrincham and Sale West;Connor Rand;4;Manchester Central and Trafford;74025;11422;12622;6433;10379;6499;0;1388;954;0.283;0.434;0.024;0.219;0.04;0;0;0
Amber Valley;Unknown (Reform gain from LAB);8;Derbyshire North;71546;6511;10417;2283;19606;4073;0;1142;329;0.026;0.089;0;0.884;0;0;0;0
Arundel and South Downs;Andrew Griffith;12;Sussex West;77969;25221;4492;3893;15566;3810;0;535;520;0.755;0.025;0.024;0.19;0.006;0;0;0
Ashfield;Lee Anderson;8;Nottinghamshire North;68929;5805;5903;1480;26018;4562;0;2132;473;0.001;0.002;0;0.997;0;0;0;0
Ashford;Unknown (Reform gain from LAB);12;Kent South;76212;16295;6307;2838;16824;6306;0;510;928;0.355;0.037;0.001;0.573;0.033;0;0;0
Ashton-under-Lyne;Unknown (Reform gain from LAB);4;Manchester East;71002;3194;8967;1467;16703;4975;0;1458;846;0.002;0.105;0;0.887;0.006;0;0;0
Aylesbury;Unknown (Reform gain from LAB);12;Buckinghamshire North;79169;11359;9610;10456;11563;6141;0;937;569;0.306;0.135;0.22;0.316;0.022;0;0;0
Banbury;Unknown (Reform gain from LAB);12;Oxfordshire;73193;9561;11381;5190;13725;5597;0;765;1006;0.15;0.306;0.013;0.519;0.011;0;0;0
Barking;Unknown (Reform gain from LAB);11;Dagenham and Redbridge;79825;3526;7690;1830;12055;9336;0;1929;1404;0.008;0.121;0.001;0.631;0.238;0;0;0
Barnsley North;Unknown (Reform gain from LAB);5;Barnsley and Sheffield West;78267;1263;15307;516;23097;1619;0;929;711;0;0.115;0;0.883;0.001;0;0;0
Barnsley South;Unknown (Reform gain from LAB);5;Barnsley and Sheffield West;75850;1751;12764;691;23667;2111;0;808;630;0;0.047;0;0.95;0.002;0;0;0
Barrow and Furness;Unknown (Reform gain from LAB);4;Cumbria;74980;7274;11048;2559;16836;3710;0;1059;512;0.039;0.185;0;0.775;0;0;0;0
Basildon and Billericay;Unknown (Reform gain from CON);9;Essex South West;76873;8538;7388;3322;19695;4625;0;635;643;0.065;0.019;0;0.913;0.002;0;0;0
Basildon South and East Thurrock;James McMurdock;9;Essex South West;72673;9017;7283;2177;21960;4467;0;534;935;0.05;0.005;0;0.944;0;0;0;0
Basingstoke;Unknown (Reform gain from LAB);12;Hampshire;78487;12158;11798;5106;13086;8377;0;511;697;0.294;0.269;0.011;0.356;0.068;0;0;0
Bassetlaw;Unknown (Reform gain from LAB);8;Nottinghamshire North;78173;7541;11386;2070;17787;4385;0;694;352;0.042;0.155;0;0.799;0.003;0;0;0
Bath;Wera Hobhouse;10;Avon South;69655;6752;7955;15122;7534;11194;0;628;1811;0.037;0.054;0.63;0.052;0.226;0;0;0
Battersea;Marsha de Cordova;11;Lambeth and Wandsworth;72767;7933;13569;7342;5922;11594;0;1377;906;0.065;0.54;0.045;0.027;0.322;0;0;0
Beaconsfield;Joy Morrissey;12;Buckinghamshire South;72751;15090;6457;10271;11642;4604;0;371;547;0.638;0.021;0.146;0.19;0.004;0;0;0
Beckenham and Penge;Liam Conlon;11;Croydon;76876;9188;15068;7300;9861;9278;0;1162;552;0.098;0.645;0.03;0.123;0.104;0;0;0
Bedford;Mohammad Yasin;9;Bedfordshire;72478;2411;18315;1070;14826;1779;0;963;1461;0.058;0.547;0.008;0.354;0.033;0;0;0
Bedfordshire Mid;Blake Stephenson;9;Bedfordshire;76218;19613;6435;3507;17971;4486;0;576;1140;0.442;0.046;0.005;0.499;0.007;0;0;0
Bedfordshire North;Richard Fuller;9;Bedfordshire;78850;23607;5531;2484;16757;3534;0;366;290;0.646;0.063;0.002;0.287;0.001;0;0;0
Bermondsey and Old Southwark;Unknown (Green gain from LAB);11;South East London;69473;3027;9783;6628;5768;12934;0;849;1070;0.003;0.241;0.042;0.029;0.684;0;0;0
Bethnal Green and Stepney;Unknown (Green gain from LAB);11;Hackney and Tower Hamlets;81922;3570;7329;4063;6767;15884;0;9349;0;0.004;0.061;0.005;0.037;0.828;0;0.063;0
Beverley and Holderness;Unknown (Reform gain from CON);5;East Yorkshire;70559;10079;9857;4668;16116;3244;0;874;777;0.161;0.127;0.003;0.707;0.002;0;0;0
Bexhill and Battle;Unknown (Reform gain from CON);12;Sussex East;72209;13417;8330;3710;17897;4380;0;561;1703;0.315;0.049;0.002;0.629;0.004;0;0;0
Bexleyheath and Crayford;Unknown (Reform gain from LAB);11;Bexley and Bromley;69470;9332;8113;4617;16517;4726;0;696;499;0.133;0.064;0.001;0.794;0.007;0;0;0
