Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Leo Docherty;12;Hampshire;72617;13291;13160;5034;6867;2529;0;0;619;0.486;0.471;0.012;0.031;0.000;0.000;0.000;0.000
Aldridge-Brownhills;Wendy Morton;7;Black Country;60138;14029;9622;2591;6077;1476;0;0;0;0.805;0.175;0.001;0.019;0.000;0.000;0.000;0.000
Altrincham and Sale West;Unknown (LAB gain from CON);4;Central Manchester;73107;12264;18804;4304;9018;4482;0;0;0;0.142;0.819;0.000;0.036;0.001;0.000;0.000;0.000
Amber Valley;Unknown (LAB gain from CON);8;Derbyshire;69976;11416;15320;1849;7467;2850;0;0;0;0.225;0.744;0.000;0.031;0.000;0.000;0.000;0.000
Arundel and South Downs;Andrew Griffith;12;West Sussex;81726;16964;10354;11820;10235;5501;0;0;525;0.627;0.113;0.161;0.095;0.004;0.000;0.000;0.000
Ashfield;Unknown (MIN gain from CON);8;Nottinghamshire;78204;4306;10729;1856;9664;1874;0;12328;0;0.023;0.230;0.001;0.549;0.002;0.000;0.193;0.000
Ashford;Damian Green;12;Kent;89553;16380;14212;5188;9281;4323;0;0;982;0.581;0.357;0.001;0.060;0.000;0.000;0.000;0.000
Ashton under Lyne;Angela Rayner;4;Eastern Manchester;67978;4657;18534;1061;6289;2021;0;0;0;0.002;0.988;0.000;0.010;0.000;0.000;0.000;0.000
Aylesbury;Unknown (LAB gain from CON);12;Buckinghamshire;86665;15451;15887;8929;8796;3225;0;0;649;0.441;0.469;0.042;0.046;0.000;0.000;0.000;0.000
Banbury;Unknown (LAB gain from CON);12;Oxfordshire;90116;15073;19055;7176;9237;3997;0;0;733;0.299;0.653;0.013;0.034;0.000;0.000;0.000;0.000
Barking;Margaret Hodge;11;Barking and Dagenham;77953;2593;21970;852;5428;1829;0;0;604;0.000;0.999;0.000;0.001;0.000;0.000;0.000;0.000
Barnsley Central;Dan Jarvis;5;South Yorkshire;65277;3314;16976;1370;8153;2077;0;0;1238;0.001;0.960;0.000;0.039;0.000;0.000;0.000;0.000
Barnsley East;Stephanie Peacock;5;South Yorkshire;69504;3844;16582;1394;8457;2060;0;0;1133;0.003;0.945;0.000;0.051;0.000;0.000;0.000;0.000
Barrow and Furness;Unknown (LAB gain from CON);4;Cumbria;70158;8826;18546;1951;7393;2236;0;0;691;0.044;0.940;0.000;0.015;0.000;0.000;0.000;0.000
Basildon and Billericay;John Baron;9;Essex;69906;14592;11950;2786;6543;2344;0;0;606;0.672;0.305;0.000;0.023;0.000;0.000;0.000;0.000
Basildon South and East Thurrock;Unknown (LAB gain from CON);9;Essex;74441;12363;12807;2640;7434;1845;0;0;1170;0.446;0.487;0.000;0.066;0.000;0.000;0.000;0.000
Basingstoke;Unknown (LAB gain from CON);12;Hampshire;82928;12930;17419;5271;8077;3407;0;0;899;0.254;0.704;0.006;0.034;0.001;0.000;0.000;0.000
Bassetlaw;Unknown (LAB gain from CON);8;Nottinghamshire;80024;10976;18454;2090;9606;2225;0;0;0;0.109;0.839;0.000;0.051;0.000;0.000;0.000;0.000
Bath;Wera Hobhouse;10;Bristol area;67805;6652;7603;24181;7335;3020;0;0;557;0.004;0.005;0.981;0.009;0.000;0.000;0.000;0.000
Batley and Spen;Tracy Brabin;5;West Yorkshire;79558;9917;15923;1502;5916;952;0;4420;1689;0.122;0.828;0.000;0.049;0.000;0.000;0.000;0.000
Battersea;Marsha De Cordova;11;Wandsworth;79350;8241;27419;4219;8004;4471;0;0;703;0.006;0.984;0.000;0.009;0.000;0.000;0.000;0.000
Beaconsfield;Joy Morrissey;12;Buckinghamshire;77720;17457;7309;12217;9067;3376;0;0;906;0.719;0.035;0.193;0.052;0.000;0.000;0.000;0.000
Beckenham;Unknown (LAB gain from CON);11;Bromley;68662;14194;14926;5269;7703;3366;0;0;656;0.439;0.534;0.005;0.021;0.000;0.000;0.000;0.000
Bedford;Mohammad Yasin;9;Bedfordshire;71581;7135;18324;3102;6601;2739;0;0;710;0.030;0.948;0.001;0.019;0.000;0.000;0.000;0.000
Bedfordshire Mid;Nadine Dorries;9;Bedfordshire;87795;16368;15729;9747;9378;2522;0;0;947;0.464;0.413;0.054;0.068;0.000;0.000;0.000;0.000
Bedfordshire North East;Unknown (LAB gain from CON);9;Bedfordshire;90678;16169;17143;7518;10075;3573;0;0;999;0.406;0.512;0.017;0.064;0.000;0.000;0.000;0.000
Bedfordshire South West;Unknown (LAB gain from CON);9;Bedfordshire;79926;12972;16048;5328;8486;3369;0;0;957;0.282;0.660;0.007;0.050;0.000;0.000;0.000;0.000
Bermondsey and Old Southwark;Neil Coyle;11;Southwark;93248;2872;27323;9226;7495;3890;0;0;665;0.000;0.989;0.009;0.002;0.000;0.000;0.000;0.000
Berwick-upon-Tweed;Anne-Marie Trevelyan;3;Northumberland;59939;10189;9497;6211;6844;2040;0;0;286;0.470;0.403;0.046;0.080;0.000;0.000;0.000;0.000
Bethnal Green and Bow;Rushanara Ali;11;Tower Hamlets;88262;1433;33826;1887;6036;3474;0;0;1083;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Beverley and Holderness;Unknown (LAB gain from CON);5;Humber area;79696;13923;15700;5467;9950;2796;0;0;751;0.342;0.566;0.005;0.087;0.000;0.000;0.000;0.000
