Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;UKIP chance;Green chance;NAT chance;MIN chance;OTH chance
Kingswinford and South Staffordshire;Unknown (Reform gain from CON);7;Staffordshire;71662;12588;7061;4248;17928;2763;0;0;798;0.196;0.012;0.002;0.789;0.000;0.000;0.000;0.000
Knowsley;Unknown (Reform gain from LAB);4;Merseyside;72087;1466;13659;3053;13775;3575;0;583;173;0.000;0.470;0.000;0.530;0.000;0.000;0.000;0.000
Lancashire West;Unknown (Reform gain from LAB);4;Lancashire;74083;6780;14657;3864;14802;3310;0;0;390;0.015;0.495;0.001;0.487;0.001;0.000;0.000;0.000
Lancaster and Wyre;Unknown (Reform gain from LAB);4;Lancashire;74760;6501;13324;3686;13459;5337;0;0;287;0.022;0.479;0.003;0.490;0.005;0.000;0.000;0.000
Leeds Central and Headingley;Alex Sobel;5;West Yorkshire;70554;1904;9798;4021;7259;8411;0;901;262;0.002;0.530;0.010;0.196;0.261;0.000;0.000;0.000
Leeds East;Unknown (Reform gain from LAB);5;West Yorkshire;76207;4764;11142;3371;14302;3618;0;0;964;0.011;0.274;0.001;0.713;0.000;0.000;0.000;0.000
Leeds North East;Fabian Hamilton;5;West Yorkshire;70178;4406;14652;5374;10003;6774;0;1802;545;0.009;0.721;0.012;0.222;0.035;0.000;0.000;0.000
Leeds North West;Katie White;5;West Yorkshire;71592;7530;17121;7186;11738;3901;0;0;671;0.028;0.758;0.019;0.194;0.001;0.000;0.000;0.000
Leeds South;Unknown (Reform gain from LAB);5;West Yorkshire;75953;2447;8816;3494;9824;6160;0;639;1194;0.004;0.374;0.008;0.537;0.077;0.000;0.000;0.000
Leeds South West and Morley;Unknown (Reform gain from LAB);5;West Yorkshire;71854;5567;11788;3574;14973;3154;0;0;536;0.006;0.284;0.001;0.707;0.001;0.000;0.000;0.000
Leeds West and Pudsey;Unknown (Reform gain from LAB);5;West Yorkshire;70069;4832;11930;3333;12555;4004;0;805;331;0.008;0.441;0.002;0.546;0.002;0.000;0.000;0.000
Leicester East;Unknown (Reform gain from CON);8;Leicestershire;76560;7620;5453;7014;13840;2766;0;3853;2082;0.128;0.050;0.071;0.740;0.007;0.000;0.000;0.003
Leicester South;Shockat Adam;8;Leicestershire;70867;2662;7475;3907;9382;4953;0;10686;0;0.017;0.164;0.023;0.438;0.032;0.000;0.325;0.000
Leicester West;Unknown (Reform gain from LAB);8;Leicestershire;74102;4555;9128;3548;12492;4140;0;0;557;0.015;0.236;0.007;0.735;0.005;0.000;0.000;0.000
Leicestershire Mid;Unknown (Reform gain from CON);8;Leicestershire;75933;12001;9344;5028;16239;3936;0;0;376;0.220;0.079;0.001;0.698;0.001;0.000;0.000;0.000
Leicestershire North West;Unknown (Reform gain from LAB);8;Leicestershire;77757;10960;10206;4513;17594;3530;0;0;1145;0.134;0.102;0.003;0.759;0.001;0.000;0.000;0.000
Leicestershire South;Unknown (Reform gain from CON);8;Leicestershire;78543;12927;8222;8307;17469;3144;0;0;416;0.236;0.039;0.023;0.700;0.001;0.000;0.000;0.000
Leigh and Atherton;Unknown (Reform gain from LAB);4;Western Manchester;79761;4044;12828;3363;18151;2461;0;0;440;0.000;0.190;0.000;0.810;0.000;0.000;0.000;0.000
Lewes;James MacCleary;12;East Sussex;76166;9798;4462;20215;14244;2711;0;0;401;0.040;0.001;0.767;0.192;0.000;0.000;0.000;0.000
Lewisham East;Janet Daby;11;Lewisham;73376;2890;14069;5319;9071;6725;0;649;306;0.002;0.782;0.012;0.166;0.037;0.000;0.000;0.000
Lewisham North;Vicky Foxcroft;11;Lewisham;74204;2187;15777;6226;6370;10863;0;527;359;0.000;0.779;0.014;0.020;0.186;0.000;0.000;0.000
Lewisham West and East Dulwich;Ellie Reeves;11;Lewisham;70099;2724;18340;6533;6360;10059;0;566;218;0.002;0.909;0.010;0.010;0.069;0.000;0.000;0.000
Leyton and Wanstead;Calvin Bailey;11;Waltham Forest;73366;3360;13447;6068;8782;7677;0;1203;1770;0.007;0.704;0.028;0.152;0.107;0.000;0.000;0.001
