Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Easington;Grahame Morris;3;County Durham;69856;11276;18278;1794;7296;74;0;0;1488
East Grinstead and Uckfield;Unknown (new seat);12;Sussex East;72092;33075;7086;10196;0;2479;0;0;365
East Ham;Stephen Timms;11;Lea Valley;70899;6396;34275;1515;821;706;0;0;138
Eastbourne;Caroline Ansell;12;Sussex East;73000;24338;3748;21135;1387;0;0;0;139
Eastleigh;Paul Holmes;12;Southampton;69813;26483;5572;17449;0;988;0;0;110
Edmonton and Winchmore Hill;Kate Osamor;11;Enfield and Haringey;75656;14841;28710;3204;866;997;0;0;50
Ellesmere Port and Bromborough;Justin Madders;4;Wirral and Chester North;71097;14728;29919;3201;2091;891;0;0;0
Eltham and Chislehurst;Unknown (changed seat);11;Bexley and Bromley;74030;23063;20485;3999;1329;1518;0;0;100
Ely and East Cambridgeshire;Lucy Frazer;9;Cambridgeshire South;76033;29605;8266;16313;0;327;0;0;599
Enfield North;Feryal Clark;11;Enfield and Haringey;77308;18102;27127;3253;918;1232;0;0;24
Epping Forest;Eleanor Laing;9;Essex South West;74303;32363;10191;5386;0;1974;0;0;352
Epsom and Ewell;Chris Grayling;12;Surrey East;77463;30101;9698;14053;0;1972;0;0;1215
Erewash;Maggie Throup;8;Derbyshire South;72525;27561;16954;2486;0;1115;0;0;698
Erith and Thamesmead;Abena Oppong-Asare;11;Bexley and Bromley;73353;14773;26168;2617;2140;1212;0;0;292
Esher and Walton;Dominic Raab;12;Runnymede;72783;27098;2978;25075;0;203;0;0;790
Essex North West;Kemi Badenoch;9;Essex North;76643;34493;7477;10990;0;2606;0;0;0
Exeter;Ben Bradshaw;10;Devon Central and East;72928;16644;26893;24;1184;4530;0;182;523
Exmouth and Exeter East;Simon Jupp;10;Devon Central and East;74902;28603;5633;1746;245;956;0;17223;225
Fareham and Waterlooville;Suella Braverman;12;Portsmouth;76845;33983;9260;10219;0;2458;0;0;0
Farnham and Bordon;Jeremy Hunt;12;Surrey West and Aldershot;72663;30726;4599;18752;0;543;0;0;321
Faversham and Mid Kent;Helen Whately;12;Medway and Maidstone;71738;30576;9585;5958;0;2069;0;0;542
Feltham and Heston;Seema Malhotra;11;South West London;74250;15747;22561;2970;1548;1037;0;0;0
Filton and Bradley Stoke;Jack Lopresti;10;Avon North;73358;26888;19181;5408;0;1363;0;0;331
Finchley and Golders Green;Mike Freer;11;Brent Harrow Barnet;77742;24168;13488;17562;0;13;0;0;0
Folkestone and Hythe;Damian Collins;12;Kent South;69793;26775;12180;4767;0;2211;0;0;716
Forest of Dean;Mark Harper;10;Gloucestershire;71437;30681;14810;0;0;4681;0;0;1302
Frome and East Somerset;Unknown (new seat);10;Somerset East and Weston;70040;27660;10664;11982;0;2565;0;0;209
Fylde;Mark Menzies;4;Lancashire West;74016;32738;12534;3705;0;1838;0;0;961
Gainsborough;Edward Leigh;8;Lincolnshire North;74306;32925;10616;5097;0;0;0;0;1043
Gateshead Central and Whickham;Ian Mearns;3;Tyne and Wear South;71243;15211;20914;4323;1416;1699;0;0;205
Gedling;Tom Randall;8;Nottinghamshire South;76299;24752;22936;2535;1817;1208;0;0;41
Gillingham and Rainham;Rehman Chishti;12;Medway and Maidstone;73549;28172;13053;2504;0;1043;0;0;1184
Glastonbury and Somerton;David Warburton;10;Somerset East and Weston;69925;29521;4921;16126;0;1452;0;0;207
Gloucester;Richard Graham;10;Gloucestershire;76123;27479;18015;3827;0;1266;0;0;0
Godalming and Ash;Unknown (new seat);12;Surrey West and Aldershot;71232;29901;3801;17798;0;664;0;1115;277
Goole and Pocklington;David Davis;5;East Yorkshire;76519;34448;10771;3920;0;1799;0;0;938
Gorton and Denton;Afzal Khan;4;Manchester East;73749;8233;29823;2118;2336;1272;0;0;187
Gosport;Caroline Dinenage;12;Portsmouth;73541;32225;8949;5474;0;1804;0;0;0
Grantham and Bourne;Gareth Davies;8;Lincolnshire South;72168;32552;10275;4526;0;2061;0;0;484
Gravesham;Adam Holloway;12;Kent West;73240;29580;14000;2583;0;1394;0;0;0
Great Grimsby and Cleethorpes;Lia Nici;5;Lincolnshire North;77565;24695;14287;2026;2117;780;0;0;152
Great Yarmouth;Brandon Lewis;9;Norfolk North;71956;28594;10931;1663;0;1065;0;0;1215
Greenwich and Woolwich;Matthew Pennycook;11;South East London;69900;10590;25590;6683;1067;2186;0;0;299
Guildford;Angela Richardson;12;Surrey West and Aldershot;71286;24466;4485;20782;0;239;0;3184;782
Hackney North and Stoke Newington;Diane Abbott;11;Hackney and Tower Hamlets;80736;6233;35026;3628;562;3933;0;0;212
Hackney South and Shoreditch;Meg Hillier;11;Hackney and Tower Hamlets;80391;5057;35924;4142;643;3141;0;0;97
Halesowen;James Morris;7;Black Country;70183;26540;14302;1908;0;820;0;0;615
Halifax;Holly Lynch;5;Huddersfield and Halifax;74742;20118;22284;2326;2813;945;0;0;49
Hamble Valley;Unknown (new seat);12;Southampton;76428;34388;7298;11444;0;1702;0;0;0
Hammersmith and Chiswick;Andy Slaughter;11;West London;75119;14984;26236;7915;962;1754;0;0;0
Hampshire East;Damian Hinds;12;Hampshire;69715;31542;5209;11643;0;2599;0;0;502
Hampshire North East;Ranil Jayawardena;12;Hampshire;75361;34211;5328;13339;0;1739;0;0;1341
Hampshire North West;Kit Malthouse;12;Hampshire;75968;32372;9289;9778;0;2260;0;0;123
Hampstead and Highgate;Tulip Siddiq;11;Central London;77786;12690;23788;13123;651;1956;0;0;76
Harborough, Oadby and Wigston;Neil O'Brien;8;Leicestershire East and Rutland;74366;28983;13413;8806;0;1634;0;0;341
Harlow;Robert Halfon;9;Essex South West;73339;30342;13887;2818;0;111;0;0;1
Harpenden and Berkhamsted;Unknown (new seat);9;Hertfordshire West;71327;27732;5889;13502;0;764;0;6097;211
Harrogate and Knaresborough;Andrew Jones;5;York;75382;28748;5402;19710;0;49;0;0;1159
Harrow East;Bob Blackman;11;Brent Harrow Barnet;77127;28288;19707;3998;128;112;0;0;17
Harrow West;Gareth Thomas;11;Brent Harrow Barnet;74387;16618;26588;4201;880;1065;0;0;0
Hartlepool;Mike Hill;3;County Durham;70854;11871;15464;1697;10604;0;0;0;1406
Harwich and North Essex;Bernard Jenkin;9;Essex North;75459;31058;12980;5889;0;1937;0;0;607
Hastings and Rye;Sally-Ann Hart;12;Sussex East;76846;25252;22223;3901;0;24;0;0;454
Havant;Alan Mak;12;Portsmouth;72102;30051;8259;5708;0;1597;0;0;343
Hayes and Harlington;John McDonnell;11;Southall;72327;15274;24538;1946;1290;738;0;0;186
Hazel Grove;William Wragg;4;Manchester East;73970;23512;8595;18437;289;213;0;0;0
Hemel Hempstead;Mike Penning;9;Hertfordshire West;70036;27028;13506;5775;0;1433;0;1210;0
Hendon;Matthew Offord;11;Brent Harrow Barnet;72939;23031;20616;4128;0;821;0;0;0
Henley and Thame;John Howell;12;Oxfordshire;70107;29232;5033;17071;0;2413;0;0;0
Hereford and South Herefordshire;Jesse Norman;7;English Marches;71233;29964;10570;6182;0;2359;0;0;0
Herefordshire North;Bill Wiggin;7;English Marches;71099;32589;6937;7300;0;4784;0;0;0
Herne Bay and Sandwich;Roger Gale;12;Kent East;75704;32519;12320;3746;0;1857;0;0;56
Hertford and Stortford;Julie Marson;9;Hertfordshire East;74993;30697;13205;7810;0;2535;0;0;870
Hertfordshire North East;Oliver Heald;9;Hertfordshire East;76123;31292;13104;8562;0;2369;0;0;0
Hertfordshire South West;Gagan Mohindra;9;Hertfordshire West;71163;26893;9335;6925;0;883;0;8612;66
Hertsmere;Oliver Dowden;9;Hertfordshire West;73133;32943;10877;5906;0;1584;0;0;0
Hexham;Guy Opperman;3;Northumberland;72603;28992;17216;5218;440;2011;0;0;4
Heywood and Middleton North;Unknown (changed seat);4;Manchester North East;72636;17909;18783;1810;3379;1219;0;0;0
High Peak;Robert Largan;8;Derbyshire North;74264;24845;24251;2753;1181;1147;0;0;0
Hinckley and Bosworth;Luke Evans;8;Leicestershire West;75165;33221;8705;8572;0;1449;0;0;29
Hitchin;Bim Afolami;9;Hertfordshire East;71857;27062;12927;12602;0;734;0;351;310
Holborn and St Pancras;Keir Starmer;11;Central London;72190;7227;31428;5819;850;2188;0;0;126
Honiton and Sidmouth;Neil Parish;10;Devon Central and East;74523;30750;7490;5286;0;1197;0;8468;740
Hornchurch and Upminster;Julia Lopez;11;Dagenham and Redbridge;76844;33670;11691;3676;0;1828;0;0;490
Hornsey and Friern Barnet;Catherine West;11;Enfield and Haringey;69277;7295;27891;12595;488;1861;0;0;260
Horsham;Jeremy Quin;12;Sussex West;76767;31320;8914;13572;0;1923;0;0;350
Houghton and Sunderland South;Bridget Phillipson;3;Tyne and Wear South;76748;14471;18050;2584;6932;1232;0;0;1019
Hove and Portslade;Peter Kyle;12;South Coast;74313;15831;32876;3729;1112;2495;0;0;345
Huddersfield;Barry Sheerman;5;Huddersfield and Halifax;75495;18504;24808;2391;1656;1826;0;0;173
Hull East;Karl Turner;5;East Yorkshire;73112;12215;15151;1845;6253;898;0;0;0
Hull North and Cottingham;Diana Johnson;5;East Yorkshire;76620;14524;18830;3022;4636;1117;0;0;239
Hull West and Haltemprice;Unknown (changed seat);5;East Yorkshire;74518;17830;14742;3632;5284;488;0;0;265
Huntingdon;Jonathan Djanogly;9;Cambridgeshire North;75121;30498;10602;8271;0;1811;0;0;873
Hyndburn;Sara Britcliffe;4;Lancashire East;70839;20563;17611;1225;2155;843;0;0;0
Ilford North;Wes Streeting;11;Dagenham and Redbridge;74670;18321;27382;2127;902;636;0;782;116
Ilford South;Sam Tarry;11;Dagenham and Redbridge;74166;9977;30366;1442;1060;607;0;3097;32
Ipswich;Tom Hunt;9;Suffolk West and Ipswich;75526;24953;19473;2438;1433;1283;0;0;0
Isle of Wight East;Bob Seely;12;Isle of Wight and the New Forest;57470;21466;9481;0;0;4996;0;0;1909
Isle of Wight West;Unknown (new seat);12;Isle of Wight and the New Forest;55555;20351;8597;0;0;6343;0;0;1301
Islington North;Jeremy Corbyn;11;Central London;75162;5483;34603;8415;742;4326;0;0;235
Islington South and Finsbury;Emily Thornberry;11;Central London;77383;8591;29570;10220;1198;2238;0;0;201
Jarrow and Gateshead East;Kate Osborne;3;Tyne and Wear South;71050;12026;21199;2632;3812;1003;0;2624;726
Keighley and Ilkley;Robbie Moore;5;Bradford;72788;25303;23083;2573;851;0;0;0;800
Kenilworth and Southam;Jeremy Wright;7;Warwickshire;70364;31644;9783;9658;72;2318;0;0;455
Kensington and Bayswater;Felicity Buchan;11;West London;79095;20619;20026;11340;458;748;0;0;176
Kettering;Philip Hollobone;8;Northamptonshire;76557;31208;13866;3485;0;1544;0;0;1641
Kingston and Surbiton;Ed Davey;11;South West London;75437;18531;5893;29602;664;975;0;0;629
Kingswinford and South Staffordshire;Gavin Williamson;7;Staffordshire South;71981;35325;6267;3231;0;1711;0;0;0
Knowsley;George Howarth;4;Merseyside East and Warrington;70836;4044;37022;1085;2787;968;0;0;337
Lancashire West;Rosie Cooper;4;Lancashire South;73347;19123;27458;2559;2274;1246;0;0;0
Lancaster and Wyre;Unknown (changed seat);4;Lancashire West;75065;23914;20615;2483;810;1908;0;0;127
Leeds Central and Headingley;Alex Sobel;5;Leeds;75218;10241;28512;5602;1424;1875;0;0;158
Leeds East;Richard Burgon;5;Leeds;74719;18449;21002;2174;2594;993;0;0;437
Leeds North East;Fabian Hamilton;5;Leeds;70545;11926;29015;5661;1768;1931;0;0;176
Leeds North West;Stuart Andrew;5;Leeds;71302;22190;20289;7337;853;1087;0;0;594
Leeds South;Hilary Benn;5;Leeds;74574;10523;23823;1863;2891;1469;0;0;198
Leeds South West and Morley;Andrea Jenkyns;5;Leeds;70921;23794;16974;1602;1038;1305;0;0;862
Leeds West and Pudsey;Unknown (new seat);5;Leeds;69837;18453;23643;1845;1171;953;0;0;778
Leicester East;Claudia Webbe;8;Leicestershire East and Rutland;76155;18493;24402;2703;1215;855;0;0;314
Leicester South;Jonathan Ashworth;8;Leicestershire East and Rutland;71620;9986;31496;2316;881;1487;0;0;15
Leicester West;Liz Kendall;8;Leicestershire East and Rutland;73309;14602;20089;2340;1957;1190;0;0;0
Leicestershire Mid;Edward Argar;8;Leicestershire West;75557;32902;12635;4929;0;2295;0;0;0
Leicestershire North West;Andrew Bridgen;8;Leicestershire West;74791;31837;12878;3437;0;2361;0;0;480
Leicestershire South;Alberto Costa;8;Leicestershire West;75166;35537;10635;5306;0;2124;0;0;52
Leigh and Atherton;James Grundy;4;Manchester North West;76369;21870;19504;2065;2650;74;0;0;910
Lewes;Maria Caulfield;12;Sussex East;74728;27689;3669;23471;142;1536;0;0;142
Lewisham East;Janet Daby;11;South East London;69956;9424;29222;4481;1242;1701;0;0;516
Lewisham North;Vicky Foxcroft;11;South East London;75020;6278;35623;5623;766;2763;0;0;216
Lewisham West and East Dulwich;Ellie Reeves;11;South East London;70348;7884;30546;5087;872;3494;0;0;271
Leyton and Wanstead;John Cryer;11;Lea Valley;71085;9769;30708;5262;831;1913;0;12;446
Lichfield;Michael Fabricant;7;Staffordshire South;74665;33661;11109;5553;0;1709;0;0;566
Lincoln;Karl McCartney;8;Lincolnshire North;74943;24266;20752;2422;1080;1193;0;0;913
Liverpool Garston;Maria Eagle;4;Merseyside East and Warrington;70128;6540;34018;4218;2633;1336;0;0;207
Liverpool Riverside;Kim Johnson;4;Merseyside East and Liverpool;70301;3368;37875;1504;1209;1862;0;0;272
Liverpool Walton;Dan Carden;4;Merseyside East and Liverpool;70861;5070;38125;1147;1000;838;0;0;824
Liverpool Wavertree;Paula Barker;4;Merseyside East and Liverpool;71135;4413;35097;3834;1869;2266;0;0;365
Liverpool West Derby;Ian Byrne;4;Merseyside East and Liverpool;70379;4266;36361;1482;2433;960;0;0;1551
Loughborough;Jane Hunt;8;Leicestershire West;73617;25454;19537;3851;0;1354;0;0;226
Louth and Horncastle;Victoria Atkins;8;Lincolnshire South;76035;36420;8604;3942;0;0;0;0;1003
Lowestoft;Peter Aldous;9;Suffolk East;75537;28738;13003;2278;0;2397;0;0;237
Luton North;Sarah Owen;9;Bedfordshire;73355;15624;24779;2063;1355;841;0;225;839
Luton South and South Bedfordshire;Rachel Hopkins;9;Bedfordshire;69998;14544;21114;183;1456;1151;0;3663;712
Macclesfield;David Rutley;4;Cheshire;76216;28293;17582;5682;0;2311;0;0;0
Maidenhead;Theresa May;12;Buckinghamshire South;72602;30741;7926;12539;0;1844;0;0;118
Maidstone and Malling;Helen Grant;12;Medway and Maidstone;72955;29261;9154;8925;0;2030;0;0;233
Makerfield;Yvonne Fovargue;4;Lancashire South;76308;15736;20519;2176;5914;1167;0;0;32
Maldon;John Whittingdale;9;Essex South East;76755;38388;6687;6467;0;1852;0;0;80
Manchester Central;Lucy Powell;4;Manchester Central and Trafford;73790;8772;26110;2626;2461;1344;0;0;44
Manchester Rusholme;Unknown (new seat);4;Manchester Central and Trafford;69299;3800;31359;2175;790;1658;0;0;45
Manchester Withington;Jeff Smith;4;Manchester Central and Trafford;71167;5521;32631;7753;1036;1942;0;0;0
Mansfield;Ben Bradley;8;Nottinghamshire North;74411;30447;14554;1573;0;0;0;0;960
Melksham and Devizes;Unknown (new seat);10;Wiltshire South;71522;29479;6504;14378;0;1345;0;0;0
Melton and Syston;Unknown (new seat);8;Leicestershire East and Rutland;72307;31608;11473;4178;0;2725;0;0;642
Meriden and Solihull East;Saqib Bhatti;7;Coventry and Meriden;74917;29969;10081;6841;0;1935;0;0;0
Middlesbrough and Thornaby East;Andy McDonald;3;Teesside;70890;12078;21577;1003;2327;551;0;4224;0
Middlesbrough South and East Cleveland;Simon Clarke;3;Teesside;69287;26415;15766;1779;150;1010;0;323;0
Milton Keynes Central;Iain Stewart;12;Buckinghamshire North;76559;24616;20374;4785;0;1411;0;0;320
Milton Keynes North;Ben Everitt;12;Buckinghamshire North;70484;24679;18140;3532;0;1465;0;0;83
Mitcham and Morden;Siobhain McDonagh;11;Wimbledon and Sutton;76805;13476;29621;5332;1198;1158;0;0;233
Morecambe and Lunesdale;David Morris;4;Lancashire West;76057;28188;15006;7889;211;790;0;0;523
New Forest East;Julian Lewis;12;Isle of Wight and the New Forest;73549;32768;7519;7391;0;2434;0;0;675
New Forest West;Desmond Swayne;12;Isle of Wight and the New Forest;70868;32114;6596;7712;0;3889;0;0;0
Newark;Robert Jenrick;8;Nottinghamshire North;76720;34852;12905;5365;188;1791;0;0;17
Newbury;Laura Farris;12;Berkshire;71439;28612;4037;16458;0;2005;0;0;271
Newcastle upon Tyne Central and West;Chi Onwurah;3;Tyne and Wear North;75872;13379;28767;2429;4263;1480;0;0;0
Newcastle upon Tyne East and Wallsend;Nick Brown;3;Tyne and Wear North;76871;12605;29869;4037;2495;1912;0;0;0
Newcastle upon Tyne North;Catherine McKinnell;3;Tyne and Wear North;76162;16254;23206;6574;2725;2146;0;0;0
Newcastle-under-Lyme;Aaron Bell;7;Staffordshire North;71555;24907;16698;2586;1921;1028;0;0;0
Newton Abbot;Anne Marie Morris;10;Devon Central and East;72392;29139;9309;11667;0;1507;0;0;840
Newton Aycliffe and Spennymoor;Paul Howell;3;County Durham;71018;20491;18852;2672;3474;662;0;0;310
Norfolk Mid;George Freeman;9;Norfolk South;71200;31343;10672;5615;0;145;0;0;817
Norfolk North;Duncan Baker;9;Norfolk North;71794;30233;4033;15565;1738;14;0;0;14
Norfolk North West;James Wild;9;Norfolk North;75586;32329;11032;3780;0;1721;0;0;45
Norfolk South;Richard Bacon;9;Norfolk South;69725;28439;11614;8136;0;1670;0;0;117
Norfolk South West;Liz Truss;9;Norfolk South;72980;32893;8787;3982;0;1456;0;0;793
Normanton and Hemsworth;Jon Trickett;5;Wakefield and Dewsbury;75392;14721;17396;1702;7000;802;0;1956;1026
Northampton North;Michael Ellis;8;Northamptonshire;75272;24822;21532;2640;0;1361;0;0;0
Northampton South;Andrew Lewer;8;Northamptonshire;71109;28289;14668;4107;0;1556;0;0;146
Northamptonshire South;Andrea Leadsom;8;Northamptonshire;76174;35841;10820;6439;0;2086;0;0;483
Northumberland North;Anne-Marie Trevelyan;3;Northumberland;72484;27437;11455;8632;641;1761;0;0;19
Norwich North;Chloe Smith;9;Norfolk North;72378;25500;19629;3210;25;1150;0;0;500
Norwich South;Clive Lewis;9;Norfolk South;77605;15062;27547;4852;1631;2467;0;0;0
Nottingham East;Nadia Whittome;8;Nottinghamshire South;75287;9758;28551;2688;1547;1481;0;0;1447
Nottingham North and Kimberley;Alex Norris;8;Nottinghamshire South;73973;16778;19720;1630;2441;1028;0;898;178
Nottingham South;Lilian Greenwood;8;Nottinghamshire South;75840;13759;24606;3155;2054;1469;0;0;0
Nuneaton;Marcus Jones;7;Warwickshire;70225;27390;14245;1861;0;1693;0;0;0
Old Bexley and Sidcup;James Brokenshire;11;Bexley and Bromley;73965;32940;12309;4140;0;1646;0;0;307
Oldham East and Saddleworth;Debbie Abrahams;4;Manchester North East;72120;18588;20088;2422;2979;779;0;0;1306
Oldham West, Chadderton and Royton;Jim McMahon;4;Manchester North East;72998;13450;24578;1484;3315;681;0;0;923
Orpington;Gareth Bacon;11;Bexley and Bromley;71351;30464;10587;7361;0;1664;0;0;107
Ossett and Denby Dale;Imran Ahmad-Khan;5;Wakefield and Dewsbury;71264;25103;14622;2516;2285;486;0;501;932
Oxford East;Anneliese Dodds;12;Oxfordshire;71602;9522;25782;6284;1055;2170;0;0;323
Oxford West and Abingdon;Layla Moran;12;Oxfordshire;71526;19126;6011;27604;549;223;0;0;201
Peckham;Harriet Harman;11;South East London;71491;5088;32839;4195;863;2271;0;0;50
Pendle and Clitheroe;Andrew Stephenson;4;Lancashire East;76246;29483;17783;3428;0;1163;0;0;419
Penistone and Stocksbridge;Miriam Cates;5;Barnsley and Sheffield West;70927;23689;16478;5053;4299;0;0;0;0
Penrith and Solway;Mark Jenkinson;4;Cumbria;77207;29459;16019;4201;913;1495;0;0;1090
Peterborough;Paul Bristow;9;Cambridgeshire North;71663;21998;19575;2305;2098;719;0;0;520
Plymouth Moor View;Johnny Mercer;10;Devon South;73457;28127;15015;2465;120;1264;0;0;0
Plymouth Sutton and Devonport;Luke Pollard;10;Devon South;73824;19408;24380;2383;2789;1466;0;0;0
Pontefract, Castleford and Knottingley;Yvette Cooper;5;Wakefield and Dewsbury;72666;15028;15788;2848;6189;0;0;0;1634
Poole;Robert Syms;10;Bournemouth;71928;28856;10164;7493;0;1680;0;0;821
Poplar and Limehouse;Apsana Begum;11;Hackney and Tower Hamlets;74951;8591;30463;7627;1232;1781;0;0;312
Portsmouth North;Penny Mordaunt;12;Portsmouth;71298;28173;12392;3418;0;1305;0;0;623
Portsmouth South;Stephen Morgan;12;Portsmouth;74186;17705;23067;5419;994;0;0;0;240
Preston;Mark Hendrick;4;Lancashire West;73810;13081;24908;3040;1795;917;0;0;41
Putney;Fleur Anderson;11;Lambeth and Wandsworth;72934;20286;24945;9476;38;1297;0;0;0
Queen's Park and Maida Vale;Karen Buck;11;West London;77359;9544;31669;6913;471;1277;0;0;77
Rawmarsh and Conisbrough;John Healey;5;Doncaster and Rotherham;69958;14690;16162;1673;6310;253;0;0;1054
Rayleigh and Wickford;Mark Francois;9;Essex South East;76201;38639;8332;4086;0;1945;0;0;0
Reading Central;Matt Rodda;12;Berkshire;71434;18495;25726;4342;544;1667;0;0;123
Reading West and Mid Berkshire;Alok Sharma;12;Berkshire;69675;27905;11420;7723;0;1404;0;0;60
Redcar;Jacob Young;3;Teesside;70725;20507;16421;2194;2916;695;0;0;1322
Redditch;Rachel Maclean;7;Worcestershire;69775;30386;12239;3108;0;1459;0;0;26
Reigate;Crispin Blunt;12;Surrey East;75944;30192;9537;10847;0;3141;0;0;860
Ribble Valley;Nigel Evans;4;Lancashire West;75219;31674;14593;4408;5;1530;0;0;473
Richmond and Northallerton;Rishi Sunak;5;North Yorkshire;73217;32102;8594;6509;0;2067;0;0;1895
Richmond Park;Sarah Olney;11;South West London;75915;24723;3017;31721;0;0;0;0;269
Rochdale;Tony Lloyd;4;Manchester North East;70809;13467;21559;3085;3624;843;0;0;0
Rochester and Strood;Kelly Tolhurst;12;Medway and Maidstone;71774;27166;12463;3049;0;1176;0;0;1569
Romford;Andrew Rosindell;11;Dagenham and Redbridge;73812;31210;12762;2769;0;1459;0;0;7
Romsey and Southampton North;Caroline Nokes;12;Southampton;73616;31290;6514;16146;0;435;0;0;621
Rossendale and Darwen;Jake Berry;4;Lancashire East;74211;27966;18424;2044;60;1205;0;0;12
Rother Valley;Alexander Stafford;5;Doncaster and Rotherham;69565;20613;14473;2254;5810;1133;0;0;959
Rotherham;Sarah Champion;5;Doncaster and Rotherham;74645;14179;17700;2595;7310;35;0;0;1388
Rugby;Mark Pawsey;7;Warwickshire;72566;29339;15892;4249;0;1550;0;0;3
Ruislip, Northwood and Pinner;David Simmonds;11;Southall;72003;28649;13321;7527;51;1452;0;0;737
Runcorn and Helsby;Mike Amesbury;4;Cheshire;70451;17633;24270;3203;2177;1357;0;0;9
Runnymede and Weybridge;Ben Spencer;12;Runnymede;74090;28761;9052;11487;0;1363;0;0;1621
Rushcliffe;Ruth Edwards;8;Nottinghamshire South;75883;28203;20868;9511;0;0;0;0;1009
Rutland and Stamford;Alicia Kearns;8;Leicestershire East and Rutland;71730;32588;7111;7757;0;1858;0;0;740
Salford;Rebecca Long-Bailey;4;Manchester North West;71672;10148;25274;2651;3555;1780;0;0;0
Salisbury;John Glen;10;Wiltshire South;69961;27972;9251;9928;0;2507;0;0;613
Scarborough and Whitby;Robert Goodwill;5;North Yorkshire;74404;27592;17322;3038;0;0;0;0;1769
Scunthorpe;Holly Mumby-Croft;5;Lincolnshire North;73696;25563;15853;1205;2044;815;0;0;0
Sefton Central;Bill Esterson;4;Merseyside East and Liverpool;74418;16939;29216;3951;2090;1167;0;0;414
Selby;Nigel Adams;5;York;74457;29918;16328;4115;0;1651;0;0;1561
Sevenoaks;Laura Trott;12;Kent West;73255;31770;7234;9870;0;1859;0;0;965
Sheffield Brightside and Hillsborough;Gill Furniss;5;Sheffield;70294;10192;22686;1567;3894;1219;0;0;587
Sheffield Central;Paul Blomfield;5;Sheffield;70914;5302;26831;2663;1213;3827;0;0;349
Sheffield Hallam;Olivia Blake;5;Barnsley and Sheffield West;76154;15076;20706;19218;1616;1800;0;0;317
Sheffield Heeley;Louise Haigh;5;Sheffield;74095;12440;24861;3070;3615;2208;0;0;97
Sheffield South East;Clive Betts;5;Sheffield;75260;16501;21799;2276;5061;132;0;0;967
Sherwood Forest;Mark Spencer;8;Nottinghamshire North;76676;31860;15563;2763;0;1264;0;0;651
Shipley;Philip Davies;5;Bradford;74018;27432;21192;3187;0;1302;0;0;883
Shrewsbury;Daniel Kawczynski;7;English Marches;74764;27458;18676;5456;0;1612;0;0;494
Shropshire North;Owen Paterson;7;English Marches;76778;32247;11640;5430;0;1726;0;0;1070
Shropshire South;Philip Dunne;7;English Marches;76915;35748;8717;8983;0;2059;0;0;78
Sittingbourne and Sheppey;Gordon Henderson;12;Medway and Maidstone;76885;31602;9804;2896;0;1006;0;0;1776
Skipton and Ripon;Julian Smith;5;North Yorkshire;76159;33512;10908;8614;0;2678;0;0;1118
Sleaford and North Hykeham;Caroline Johnson;8;Lincolnshire South;74547;34729;9743;4394;0;1315;0;0;2172
Slough;Tan Dhesi;12;Runnymede;77608;14004;26428;2977;1247;968;0;0;0
Smethwick;John Spellar;7;Black Country;70903;13387;23830;1759;2469;1024;0;0;66
Solihull West and Shirley;Julian Knight;7;Birmingham South;71171;29982;9595;7682;0;1974;0;0;0
Somerset North;Liam Fox;10;Avon South;73346;30347;14025;9646;0;2745;0;0;0
Somerset North East and Hanham;Jacob Rees-Mogg;10;Avon South;72940;30094;13844;8331;0;1429;0;0;431
South Holland and The Deepings;John Hayes;8;Lincolnshire South;75977;37340;6502;3225;0;1613;0;0;503
South Ribble;Katherine Fletcher;4;Lancashire South;71551;26497;18287;3738;0;1307;0;415;30
South Shields;Emma Lewell-Buck;3;Tyne and Wear South;69711;9403;18783;1727;6757;1414;0;4024;101
Southampton Itchen;Royston Smith;12;Southampton;72298;23951;19453;2503;0;1041;0;0;472
Southampton Test;Alan Whitehead;12;Southampton;70117;16043;22256;3450;1591;1431;0;0;222
Southend East and Rochford;James Duddridge;9;Essex South East;70283;25442;13664;2652;0;56;0;0;1296
Southend West and Leigh;David Amess;9;Essex South East;77112;30399;14741;5567;0;0;0;0;754
Southgate and Wood Green;Bambos Charalambous;11;Enfield and Haringey;75799;14812;31774;5619;652;1420;0;0;82
Southport;Damien Moore;4;Merseyside East and Liverpool;73910;25229;19224;6095;0;170;0;0;0
Spelthorne;Kwasi Kwarteng;12;Runnymede;70929;29140;10748;7499;0;2121;0;0;0
Spen Valley;Unknown (changed seat);5;Wakefield and Dewsbury;71601;22387;16491;2675;1848;761;0;3801;34
St Albans;Daisy Cooper;9;Hertfordshire West;70565;21653;4851;27497;0;977;0;0;151
St Austell and Newquay;Steve Double;10;Cornwall;74107;29056;13678;5484;0;1478;0;0;2039
St Helens North;Conor McGinn;4;Lancashire South;75594;12662;24870;2668;5397;1967;0;0;0
St Helens South and Whiston;Marie Rimmer;4;Merseyside East and Warrington;70538;9337;26181;2601;4762;2006;0;0;0
St Ives;Derek Thomas;10;Cornwall;71343;26470;4121;21168;0;1001;0;0;475
St Neots and Mid Cambridgeshire;Unknown (new seat);9;Cambridgeshire South;74372;27413;10195;14450;0;923;0;0;1499
Stafford;Theo Clarke;7;Staffordshire North;69680;28552;15213;3341;0;2255;0;0;0
Staffordshire Moorlands;Karen Bradley;7;Staffordshire North;72269;31060;13098;3005;0;1514;0;0;0
