Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Moray West, Nairn and Strathspey;Unknown (changed seat);2;Moray and Aberdeenshire;75420;22211;2649;3016;416;599;22954;0;334
Motherwell, Wishaw and Carluke;Marion Fellows;2;Lanarkshire;71444;9772;13335;1963;0;0;21206;0;481
Na h-Eileanan An Iar (Western Isles);Angus MacNeil;2;Highlands and Islands;21106;3215;4093;637;0;0;6531;0;0
Orkney and Shetland;Alistair Carmichael;2;Highlands and Islands;34210;2289;1551;10382;898;0;7874;0;168
Paisley and Renfrewshire North;Gavin Newlands;2;Renfrewshire and Glasgow South;69791;9231;11658;3350;168;0;22314;0;0
Paisley and Renfrewshire South;Mhairi Black;2;Renfrewshire and Glasgow South;68828;8353;11796;3037;0;0;23035;0;0
Perth and Kinross-shire;Pete Wishart;2;Heart of Scotland;75339;21587;2624;4342;403;0;26669;0;156
Renfrewshire East;Kirsten Oswald;2;Renfrewshire and Glasgow South;72232;19450;6854;4175;0;0;24877;0;0
Rutherglen;Margaret Ferrier;2;Clyde Valley;70291;8179;14820;2911;0;1;20528;0;486
Stirling and Strathallan;Alyn Smith;2;Heart of Scotland;75296;20074;4390;3267;0;942;28940;0;12
Antrim East;Sammy Wilson;1;Antrim and the Lagan Valley;69793;6309;960;18242;10425;0;2448;0;1711
Antrim North;Ian Paisley;1;Antrim and the Lagan Valley;71240;7230;2875;19187;5849;0;5280;0;256
Antrim South;Paul Girvan;1;Antrim and the Lagan Valley;71665;12345;2195;15283;8188;0;4962;3;5
Belfast East;Gavin Robinson;1;Belfast;70264;2504;2631;21471;18619;0;0;0;52
Belfast North;John Finucane;1;Belfast;71383;257;186;19685;5042;0;22641;193;52
Belfast South and Mid Down;Claire Hanna;1;Belfast;71557;1767;24724;12487;7779;0;123;37;586
Belfast West;Paul Maskey;1;Belfast;71270;302;3051;7555;2598;0;21407;5960;1700
Down North;Stephen Farry;1;Armagh and Down;70322;5093;0;16252;19403;0;0;0;1957
Down South;Chris Hazzard;1;Armagh and Down;71721;3247;12742;7376;5967;0;14570;0;1115
Fermanagh and South Tyrone;Michelle Gildernew;1;Ulster West;74600;21431;3956;633;2777;0;22052;0;809
Foyle;Colum Eastwood;1;Ulster West;69626;933;25228;4207;1125;0;9456;1934;1268
Lagan Valley;Jeffrey Donaldson;1;Antrim and the Lagan Valley;75827;8182;1910;19719;12522;0;2035;0;1120
Londonderry East;Gregory Campbell;1;Ulster West;72184;3695;7261;16081;6012;0;6219;95;1793
Newry and Armagh;Mickey Brady;1;Armagh and Down;74651;3559;8989;9508;3969;0;19113;0;1545
Strangford;Jim Shannon;1;Armagh and Down;70029;4206;3589;16787;10537;0;2071;0;2653
Tyrone West;Órfhlaith Begley;1;Ulster West;70628;2967;8090;9583;4152;0;17661;1;1499
Ulster Mid;Francie Molloy;1;Ulster West;69900;3239;6103;10519;3444;0;20422;0;712
Upper Bann;Carla Lockhart;1;Armagh and Down;77317;5846;4250;19550;5708;0;11389;0;12
