Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;UKIP chance;Green chance;NAT chance;MIN chance;OTH chance
Bethnal Green and Bow;Rushanara Ali;11;Tower Hamlets;88262;1649;36428;1340;4057;3265;0;0;999;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Beverley and Holderness;Unknown (LAB gain from CON);5;Humber area;79696;14437;18348;4440;8071;2627;0;0;665;0.278;0.701;0.000;0.020;0.000;0.000;0.000;0.000
Bexhill and Battle;Huw Merriman;12;East Sussex;81963;17467;15630;6623;7936;3959;0;0;692;0.574;0.387;0.013;0.026;0.000;0.000;0.000;0.000
Bexleyheath and Crayford;Unknown (LAB gain from CON);11;Bexley;65466;12257;15620;1702;4920;1966;0;0;615;0.253;0.745;0.000;0.002;0.000;0.000;0.000;0.000
Birkenhead;Mick Whitley;4;Merseyside;63762;1946;21074;1368;5176;3886;0;0;1911;0.000;0.998;0.000;0.001;0.000;0.000;0.000;0.000
Birmingham Edgbaston;Preet Gill;7;Birmingham;68828;5641;21151;1322;3633;1870;0;0;477;0.001;0.999;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Erdington;Jack Dromey;7;Birmingham;66148;6841;15531;449;2191;815;0;282;466;0.020;0.980;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Hall Green;Tahir Ali;7;Birmingham;80283;2646;26367;1030;3180;1591;0;0;511;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Hodge Hill;Liam Byrne;7;Birmingham;78295;1333;20400;472;2196;1181;0;0;388;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Ladywood;Shabana Mahmood;7;Birmingham;74912;903;23443;532;1793;1400;0;0;302;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Northfield;Unknown (LAB gain from CON);7;Birmingham;73694;7082;19348;1389;4512;2180;0;0;665;0.014;0.985;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Perry Barr;Khalid Mahmood;7;Birmingham;72006;3071;21160;899;2961;1248;0;0;423;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Selly Oak;Steve McCabe;7;Birmingham;82665;5307;26998;1452;4398;3156;0;0;607;0.001;0.999;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Yardley;Jess Phillips;7;Birmingham;74704;3703;18480;2260;4397;1528;0;0;506;0.001;0.998;0.000;0.001;0.000;0.000;0.000;0.000
Bishop Auckland;Unknown (LAB gain from CON);3;Durham;68170;8547;18123;1717;5791;1473;0;0;692;0.044;0.950;0.000;0.006;0.000;0.000;0.000;0.000
Blackburn;Kate Hollern;4;Lancashire;71234;3446;21872;469;3194;1197;0;0;512;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Blackley and Broughton;Graham Stringer;4;Central Manchester;73372;2186;21460;568;3269;1661;0;0;669;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Blackpool North and Cleveleys;Unknown (LAB gain from CON);4;Lancashire;63692;9352;16617;1025;4350;1666;0;0;658;0.080;0.919;0.000;0.001;0.000;0.000;0.000;0.000
Blackpool South;Unknown (LAB gain from CON);4;Lancashire;57690;6159;14852;707;3757;1398;0;0;635;0.024;0.976;0.000;0.000;0.000;0.000;0.000;0.000
Blaydon;Liz Twist;3;Newcastle area;67853;5788;22178;2252;6839;2498;0;0;844;0.003;0.994;0.000;0.003;0.000;0.000;0.000;0.000
Blyth Valley;Unknown (LAB gain from CON);3;Northumberland;64429;6673;19123;1550;5300;2024;0;0;663;0.008;0.991;0.000;0.001;0.000;0.000;0.000;0.000
Bognor Regis and Littlehampton;Nick Gibb;12;West Sussex;77446;16067;15150;4719;6660;2829;0;0;825;0.526;0.463;0.004;0.006;0.000;0.000;0.000;0.000
Bolsover;Unknown (LAB gain from CON);8;Derbyshire;74292;7781;20446;1312;6429;2096;0;0;708;0.013;0.982;0.000;0.005;0.000;0.000;0.000;0.000
Bolton North East;Unknown (LAB gain from CON);4;Western Manchester;67564;7599;18797;956;4241;1558;0;0;632;0.014;0.985;0.000;0.001;0.000;0.000;0.000;0.000
Bolton South East;Yasmin Qureshi;4;Western Manchester;69163;3939;18752;671;3987;1384;0;0;745;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Bolton West;Unknown (LAB gain from CON);4;Western Manchester;73191;10066;21081;1828;6263;2307;0;0;1040;0.045;0.954;0.000;0.001;0.000;0.000;0.000;0.000
Bootle;Peter Dowd;4;Merseyside;74832;1897;35936;990;3958;2373;0;0;641;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Boston and Skegness;Matt Warman;8;Lincolnshire;69381;11300;11062;1499;7060;1499;0;0;1410;0.483;0.455;0.000;0.061;0.000;0.000;0.000;0.000
Bosworth;Luke Evans;8;Leicestershire;81542;15641;15486;7411;7905;2855;0;0;689;0.483;0.485;0.011;0.021;0.000;0.000;0.000;0.000
Bournemouth East;Unknown (LAB gain from CON);10;Dorset;74125;10903;17734;3649;5775;3734;0;0;902;0.137;0.852;0.002;0.007;0.001;0.000;0.000;0.000
Bournemouth West;Unknown (LAB gain from CON);10;Dorset;74205;10381;16744;4528;5413;3291;0;0;798;0.136;0.853;0.004;0.006;0.000;0.000;0.000;0.000
Bracknell;Unknown (LAB gain from CON);12;Berkshire;78978;15901;18069;4591;6119;3321;0;0;633;0.379;0.615;0.000;0.005;0.000;0.000;0.000;0.000
Bradford East;Imran Hussain;5;West Yorkshire;73206;2621;20018;1073;3839;1382;0;0;608;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Bradford South;Judith Cummins;5;West Yorkshire;69046;4538;16619;660;4330;1938;0;0;832;0.002;0.998;0.000;0.000;0.000;0.000;0.000;0.000
Bradford West;Naz Shah;5;West Yorkshire;70694;1740;22839;294;2260;1015;0;0;371;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Braintree;James Cleverly;9;Essex;75208;15794;15042;3477;6308;2102;0;0;793;0.545;0.447;0.000;0.007;0.000;0.000;0.000;0.000
Brent Central;Dawn Butler;11;Brent;84032;3162;27898;1277;3804;2737;0;0;467;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Brent North;Barry Gardiner;11;Brent;83788;7237;26192;1279;4236;1700;0;0;599;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Brentford and Isleworth;Ruth Cadbury;11;Hounslow;85775;8368;30294;2121;5712;3379;0;0;647;0.004;0.995;0.000;0.000;0.000;0.000;0.000;0.000
Brentwood and Ongar;Alex Burghart;9;Essex;75255;19595;13245;6509;6591;2730;0;0;495;0.799;0.187;0.007;0.007;0.000;0.000;0.000;0.000
Bridgwater and West Somerset;Ian Liddell-Grainger;10;Somerset;85327;16255;15925;7816;7103;2647;0;0;438;0.503;0.463;0.019;0.014;0.000;0.000;0.000;0.000
Brigg and Goole;Unknown (LAB gain from CON);5;Humber area;65939;12873;13649;1669;5861;1811;0;0;450;0.446;0.545;0.000;0.009;0.000;0.000;0.000;0.000
Brighton Kemptown;Lloyd Russell-Moyle;12;East Sussex;69833;7172;26280;1658;4633;3846;0;0;587;0.001;0.999;0.000;0.000;0.000;0.000;0.000;0.000
Brighton Pavilion;Caroline Lucas;12;East Sussex;79057;4189;21057;2819;5186;23177;0;0;845;0.002;0.406;0.000;0.000;0.591;0.000;0.000;0.000
Bristol East;Kerry McCarthy;10;Bristol area;73867;5578;25303;2177;5292;3922;0;0;814;0.002;0.997;0.000;0.001;0.000;0.000;0.000;0.000
Bristol North West;Darren Jones;10;Bristol area;76273;9420;25859;3162;5477;3831;0;0;622;0.013;0.986;0.000;0.000;0.001;0.000;0.000;0.000
Bristol South;Karin Smyth;10;Bristol area;84079;6041;25966;3356;6534;5577;0;0;973;0.003;0.994;0.000;0.002;0.000;0.000;0.000;0.000
Bristol West;Thangam Debbonaire;10;Bristol area;99253;2555;31832;3275;5477;22668;0;0;1336;0.000;0.824;0.000;0.000;0.175;0.000;0.000;0.000
Broadland;Unknown (LAB gain from CON);9;Norfolk;78151;14931;15193;9226;7032;3001;0;0;368;0.457;0.469;0.055;0.018;0.000;0.000;0.000;0.000
Bromley and Chislehurst;Unknown (LAB gain from CON);11;Bromley;66697;12088;16775;3547;5426;2699;0;0;626;0.218;0.778;0.001;0.003;0.000;0.000;0.000;0.000
Bromsgrove;Sajid Javid;7;Hereford and Worcestershire;75078;17105;16809;4418;6756;2887;0;0;653;0.509;0.480;0.001;0.008;0.000;0.000;0.000;0.000
Broxbourne;Charles Walker;9;Hertfordshire;73182;15536;14777;2693;5343;2331;0;0;631;0.537;0.459;0.001;0.003;0.000;0.000;0.000;0.000
Broxtowe;Unknown (LAB gain from CON);8;Nottinghamshire;73052;11164;24552;1328;5989;3056;0;0;1300;0.034;0.965;0.000;0.001;0.000;0.000;0.000;0.000
Buckingham;Greg Smith;12;Buckinghamshire;83146;20908;16266;10343;7356;2703;0;0;347;0.679;0.285;0.033;0.003;0.000;0.000;0.000;0.000
Burnley;Unknown (LAB gain from CON);4;Lancashire;64345;5627;13732;1694;5546;1809;0;0;833;0.024;0.958;0.000;0.017;0.000;0.000;0.000;0.000
Burton;Unknown (LAB gain from CON);7;Staffordshire;75036;13253;17869;1539;4861;2154;0;0;474;0.226;0.771;0.000;0.003;0.000;0.000;0.000;0.000
Bury North;Unknown (LAB gain from CON);4;Western Manchester;68802;8680;21636;1069;4719;1945;0;0;723;0.013;0.986;0.000;0.000;0.000;0.000;0.000;0.000
Bury South;Unknown (LAB gain from CON);4;Western Manchester;75152;7901;23699;1285;5770;2485;0;0;1218;0.006;0.992;0.000;0.002;0.000;0.000;0.000;0.000
Bury St Edmunds;Jo Churchill;9;Suffolk;89644;16475;16095;3262;7734;8055;0;0;897;0.510;0.453;0.000;0.018;0.019;0.000;0.000;0.000
Calder Valley;Unknown (LAB gain from CON);5;West Yorkshire;79287;12111;25897;2077;6590;2330;0;0;641;0.031;0.966;0.000;0.002;0.000;0.000;0.000;0.000
Camberwell and Peckham;Harriet Harman;11;Southwark;88971;1922;37740;1573;4228;4549;0;0;519;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Camborne and Redruth;Unknown (LAB gain from CON);10;Cornwall;70250;11123;18598;4645;5672;2245;0;0;495;0.121;0.874;0.003;0.002;0.000;0.000;0.000;0.000
Cambridge;Daniel Zeichner;9;Cambridgeshire;79951;4070;26731;9493;5119;4830;0;0;559;0.000;0.991;0.008;0.000;0.000;0.000;0.000;0.000
Cambridgeshire North East;Steve Barclay;9;Cambridgeshire;83699;17517;13958;4197;6359;2237;0;0;625;0.694;0.295;0.001;0.009;0.000;0.000;0.000;0.000
Cambridgeshire North West;Unknown (LAB gain from CON);9;Cambridgeshire;94909;17377;19114;5887;7382;3561;0;0;643;0.430;0.557;0.004;0.008;0.000;0.000;0.000;0.000
Cambridgeshire South;Unknown (LIB gain from CON);9;Cambridgeshire;87288;13969;15005;21947;7300;2864;0;0;318;0.116;0.163;0.714;0.006;0.000;0.000;0.000;0.000
Cambridgeshire South East;Unknown (LIB gain from CON);9;Cambridgeshire;86769;14924;15762;17323;7123;2586;0;0;435;0.250;0.306;0.436;0.008;0.000;0.000;0.000;0.000
Cannock Chase;Unknown (LAB gain from CON);7;Staffordshire;74813;13427;15283;1457;5234;2878;0;0;603;0.358;0.637;0.000;0.005;0.000;0.000;0.000;0.000
Canterbury;Rosie Duffield;12;Kent;80203;11744;27300;3219;6395;3707;0;0;614;0.025;0.973;0.000;0.002;0.000;0.000;0.000;0.000
Carlisle;Unknown (LAB gain from CON);4;Cumbria;65105;8762;18180;1535;5336;1922;0;0;773;0.047;0.950;0.000;0.002;0.000;0.000;0.000;0.000
Carshalton and Wallington;Unknown (LIB gain from CON);11;Sutton;72941;9789;10369;13571;5910;2114;0;0;570;0.165;0.250;0.559;0.025;0.000;0.000;0.000;0.000
Castle Point;Rebecca Harris;9;Essex;69608;14281;12650;2318;6777;1996;0;0;1569;0.594;0.381;0.000;0.025;0.000;0.000;0.000;0.000
Charnwood;Unknown (LAB gain from CON);8;Leicestershire;79534;15993;16842;2509;6861;3172;0;0;885;0.442;0.548;0.000;0.010;0.000;0.000;0.000;0.000
Chatham and Aylesford;Unknown (LAB gain from CON);12;Kent;71642;12828;15412;2133;4927;2164;0;0;568;0.334;0.662;0.000;0.003;0.000;0.000;0.000;0.000
Cheadle;Unknown (LIB gain from CON);4;Eastern Manchester;74577;12141;12951;14243;7095;2642;0;0;720;0.229;0.321;0.426;0.022;0.001;0.000;0.000;0.000
Chelmsford;Unknown (LAB gain from CON);9;Essex;80394;14082;16045;12120;6827;2709;0;0;744;0.322;0.496;0.170;0.012;0.000;0.000;0.000;0.000
Chelsea and Fulham;Unknown (LAB gain from CON);11;Hammersmith and Fulham;67110;12891;17335;4718;5195;2905;0;0;557;0.233;0.761;0.001;0.004;0.000;0.000;0.000;0.000
Cheltenham;Unknown (LIB gain from CON);10;Gloucestershire;81044;13525;9083;22094;6288;2509;0;0;551;0.120;0.029;0.846;0.005;0.000;0.000;0.000;0.000
Chesham and Amersham;Cheryl Gillan;12;Buckinghamshire;72542;18524;6419;18458;5078;2459;0;0;489;0.503;0.006;0.489;0.001;0.000;0.000;0.000;0.000
Chester, City of;Chris Matheson;4;Cheshire;76057;9712;28715;2035;5356;2355;0;0;960;0.006;0.993;0.000;0.000;0.000;0.000;0.000;0.000
Chesterfield;Toby Perkins;8;Derbyshire;71034;6961;21291;2072;6619;2556;0;0;822;0.011;0.984;0.000;0.005;0.000;0.000;0.000;0.000
Chichester;Gillian Keegan;12;West Sussex;85499;16692;14761;11913;8161;4526;0;0;658;0.499;0.334;0.132;0.033;0.002;0.000;0.000;0.000
Chingford and Woodford Green;Unknown (LAB gain from CON);11;Waltham Forest;65393;10037;21001;1492;4503;1935;0;0;526;0.036;0.964;0.000;0.000;0.000;0.000;0.000;0.000
Chippenham;Unknown (LIB gain from CON);10;Wiltshire;77221;15239;11542;15315;6155;2107;0;0;459;0.426;0.136;0.429;0.009;0.000;0.000;0.000;0.000
Chipping Barnet;Unknown (LAB gain from CON);11;Barnet;79960;12603;26394;2233;5838;3295;0;0;614;0.035;0.964;0.000;0.000;0.000;0.000;0.000;0.000
Chorley;Lindsay Hoyle;4;Lancashire;78177;2114;30271;1165;4617;3621;0;0;1150;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Christchurch;Christopher Chope;10;Dorset;71520;18370;12168;6478;6760;2915;0;0;829;0.809;0.168;0.008;0.013;0.001;0.000;0.000;0.000
Cities of London and Westminster;Unknown (LAB gain from CON);11;City of Westminster;63700;9102;17061;4952;4606;2903;0;0;522;0.080;0.912;0.004;0.003;0.000;0.000;0.000;0.000
Clacton;Giles Watling;9;Essex;70930;14441;11618;2448;6322;1943;0;0;1004;0.681;0.298;0.000;0.020;0.000;0.000;0.000;0.000
Cleethorpes;Unknown (LAB gain from CON);5;Humber area;73689;14115;15201;1867;6055;1897;0;0;645;0.436;0.557;0.000;0.006;0.000;0.000;0.000;0.000
Colchester;Unknown (LAB gain from CON);9;Essex;82625;11195;19335;5669;5711;3277;0;0;602;0.113;0.877;0.005;0.004;0.000;0.000;0.000;0.000
Colne Valley;Unknown (LAB gain from CON);5;West Yorkshire;84174;11348;25899;2130;7100;2931;0;0;862;0.026;0.971;0.000;0.003;0.000;0.000;0.000;0.000
Congleton;Unknown (LAB gain from CON);4;Cheshire;80930;16064;20116;3451;7549;3023;0;0;858;0.292;0.699;0.000;0.008;0.000;0.000;0.000;0.000
Copeland;Unknown (LAB gain from CON);4;Cumbria;61693;8613;18916;1215;4964;1846;0;0;333;0.023;0.975;0.000;0.002;0.000;0.000;0.000;0.000
Corby;Unknown (LAB gain from CON);8;Northamptonshire;86153;13381;26489;2223;6831;2412;0;0;583;0.054;0.944;0.000;0.002;0.000;0.000;0.000;0.000
Cornwall North;Scott Mann;10;Cornwall;69935;13417;8513;13290;6306;1631;0;0;309;0.447;0.077;0.456;0.019;0.000;0.000;0.000;0.000
Cornwall South East;Sheryll Murray;10;Cornwall;71825;14553;13689;7964;6268;2264;0;0;322;0.515;0.427;0.044;0.013;0.000;0.000;0.000;0.000
Cotswolds, The;Geoffrey Clifton-Brown;10;Gloucestershire;81939;17373;13068;14080;7617;3905;0;0;366;0.555;0.197;0.231;0.014;0.002;0.000;0.000;0.000
Coventry North East;Colleen Fletcher;7;Coventry and Solihull;76006;4918;22444;1002;3850;1799;0;0;583;0.000;0.999;0.000;0.000;0.000;0.000;0.000;0.000
Coventry North West;Taiwo Owatemi;7;Coventry and Solihull;75247;8211;21312;1756;4995;2444;0;0;694;0.019;0.979;0.000;0.001;0.000;0.000;0.000;0.000
Coventry South;Zarah Sultana;7;Coventry and Solihull;70979;8206;21397;1564;4232;2031;0;0;555;0.018;0.982;0.000;0.000;0.000;0.000;0.000;0.000
Crawley;Unknown (LAB gain from CON);12;West Sussex;74207;11160;20496;1577;4410;2197;0;0;549;0.070;0.929;0.000;0.000;0.000;0.000;0.000;0.000
Crewe and Nantwich;Unknown (LAB gain from CON);4;Cheshire;80321;12306;23604;1460;6031;2578;0;0;794;0.054;0.945;0.000;0.001;0.000;0.000;0.000;0.000
Croydon Central;Sarah Jones;11;Croydon;81407;8065;26432;1733;5005;2477;0;0;656;0.004;0.995;0.000;0.001;0.000;0.000;0.000;0.000
Croydon North;Steve Reed;11;Croydon;88468;3050;31708;1315;4172;3059;0;0;629;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Croydon South;Unknown (LAB gain from CON);11;Croydon;83982;15536;21414;3876;6281;2725;0;0;693;0.201;0.796;0.000;0.003;0.000;0.000;0.000;0.000
Dagenham and Rainham;Jon Cruddas;11;Barking and Dagenham;71045;6433;19329;826;4588;1873;0;0;747;0.003;0.995;0.000;0.001;0.000;0.000;0.000;0.000
Darlington;Unknown (LAB gain from CON);3;Durham;66397;7902;18467;1400;4939;2465;0;0;843;0.023;0.974;0.000;0.003;0.000;0.000;0.000;0.000
Dartford;Unknown (LAB gain from CON);12;Kent;82209;15466;18584;2592;5776;2549;0;0;660;0.319;0.679;0.000;0.001;0.000;0.000;0.000;0.000
Daventry;Chris Heaton-Harris;8;Northamptonshire;77423;17584;16781;4500;7259;2890;0;0;478;0.532;0.460;0.000;0.007;0.000;0.000;0.000;0.000
Denton and Reddish;Andrew Gwynne;4;Eastern Manchester;66234;4681;20971;906;4689;2258;0;0;781;0.000;0.999;0.000;0.000;0.000;0.000;0.000;0.000
Derby North;Unknown (LAB gain from CON);8;Derbyshire;73199;8315;21442;1786;5333;2331;0;0;830;0.014;0.985;0.000;0.001;0.000;0.000;0.000;0.000
Derby South;Margaret Beckett;8;Derbyshire;73062;4260;20018;891;4428;1545;0;0;1140;0.001;0.999;0.000;0.000;0.000;0.000;0.000;0.000
Derbyshire Dales;Unknown (LAB gain from CON);8;Derbyshire;65080;12930;15646;4682;7044;3252;0;0;423;0.336;0.644;0.003;0.016;0.000;0.000;0.000;0.000
Derbyshire Mid;Unknown (LAB gain from CON);8;Derbyshire;67442;13042;16716;2575;6382;3237;0;0;919;0.294;0.698;0.000;0.008;0.000;0.000;0.000;0.000
Derbyshire North East;Unknown (LAB gain from CON);8;Derbyshire;72345;12488;19735;1958;6262;2556;0;0;678;0.135;0.858;0.000;0.006;0.000;0.000;0.000;0.000
Derbyshire South;Unknown (LAB gain from CON);8;Derbyshire;79331;14151;19981;1997;6373;2945;0;0;564;0.212;0.783;0.000;0.005;0.000;0.000;0.000;0.000
Devizes;Danny Kruger;10;Wiltshire;73372;15345;13163;7181;5832;2682;0;0;328;0.613;0.354;0.023;0.010;0.000;0.000;0.000;0.000
Devon Central;Unknown (LAB gain from CON);10;Devon;74926;13671;15785;9929;7060;3703;0;0;294;0.337;0.554;0.089;0.017;0.001;0.000;0.000;0.000
Devon East;Simon Jupp;10;Devon;87168;22003;13567;9964;7869;2436;0;0;438;0.829;0.131;0.032;0.008;0.000;0.000;0.000;0.000
Devon North;Unknown (LIB gain from CON);10;Devon;75859;13023;9225;15150;7046;2650;0;0;425;0.322;0.085;0.569;0.022;0.001;0.000;0.000;0.000
Devon South West;Unknown (LAB gain from CON);10;Devon;72535;15237;15549;5788;6420;3126;0;0;738;0.463;0.516;0.008;0.012;0.000;0.000;0.000;0.000
Devon West and Torridge;Geoffrey Cox;10;Devon;80403;15516;13826;9000;7812;3295;0;0;737;0.537;0.362;0.063;0.037;0.001;0.000;0.000;0.000
Dewsbury;Unknown (LAB gain from CON);5;West Yorkshire;81253;10033;23941;1362;5716;2118;0;0;598;0.017;0.983;0.000;0.000;0.000;0.000;0.000;0.000
Don Valley;Unknown (LAB gain from CON);5;South Yorkshire;75356;8313;20034;1376;6682;2007;0;0;920;0.024;0.972;0.000;0.004;0.000;0.000;0.000;0.000
Doncaster Central;Rosie Winterton;5;South Yorkshire;71389;5943;19433;1018;5885;1935;0;0;1008;0.007;0.990;0.000;0.003;0.000;0.000;0.000;0.000
Doncaster North;Ed Miliband;5;South Yorkshire;72362;5394;19679;1180;6775;1674;0;0;1222;0.005;0.990;0.000;0.005;0.000;0.000;0.000;0.000
Dorset Mid and Poole North;Michael Tomlinson;10;Dorset;65427;14642;8543;13138;5898;2295;0;0;392;0.552;0.069;0.367;0.011;0.001;0.000;0.000;0.000
Dorset North;Simon Hoare;10;Dorset;76765;19149;12005;9688;6360;2499;0;0;336;0.812;0.134;0.046;0.008;0.000;0.000;0.000;0.000
Dorset South;Unknown (LAB gain from CON);10;Dorset;73809;12886;15939;5200;6731;3289;0;0;800;0.310;0.661;0.011;0.016;0.001;0.000;0.000;0.000
Dorset West;Unknown (LIB gain from CON);10;Dorset;81897;16420;11005;16656;7359;3170;0;0;401;0.441;0.093;0.452;0.013;0.000;0.000;0.000;0.000
Dover;Unknown (LAB gain from CON);12;Kent;76355;13952;20268;2289;5563;2514;0;0;518;0.169;0.829;0.000;0.001;0.000;0.000;0.000;0.000
Dudley North;Unknown (LAB gain from CON);7;Black Country;61936;9153;13690;1018;3726;1332;0;0;450;0.162;0.836;0.000;0.002;0.000;0.000;0.000;0.000
Dudley South;Unknown (LAB gain from CON);7;Black Country;60731;11235;12074;1537;4199;1473;0;0;494;0.432;0.566;0.000;0.002;0.000;0.000;0.000;0.000
Dulwich and West Norwood;Helen Hayes;11;Lambeth;80331;3360;35023;1440;4298;7081;0;0;508;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
