Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;UKIP chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Unknown (LAB gain from CON);12;Hampshire;72617;13720;15422;4313;5126;2371;0;0;549;0.382;0.611;0.002;0.004;0.000;0.000;0.000;0.000
Aldridge-Brownhills;Wendy Morton;7;Black Country;60138;14130;11290;1862;4600;1365;0;0;549;0.718;0.280;0.000;0.001;0.000;0.000;0.000;0.000
Altrincham and Sale West;Unknown (LAB gain from CON);4;Central Manchester;73107;12547;21048;3206;6954;4124;0;0;993;0.109;0.884;0.000;0.006;0.001;0.000;0.000;0.000
Amber Valley;Unknown (LAB gain from CON);8;Derbyshire;69976;11624;17176;1371;5490;2637;0;0;603;0.174;0.824;0.000;0.002;0.000;0.000;0.000;0.000
Arundel and South Downs;Andrew Griffith;12;West Sussex;81726;17538;13373;10858;8024;5168;0;0;439;0.616;0.261;0.092;0.029;0.002;0.000;0.000;0.000
Ashfield;Unknown (LAB gain from CON);8;Nottinghamshire;78204;4347;11996;1276;6832;1607;0;11232;3467;0.049;0.489;0.001;0.295;0.005;0.000;0.153;0.006
Ashford;Unknown (LAB gain from CON);12;Kent;89553;16901;16956;4313;7254;4053;0;0;889;0.487;0.501;0.001;0.010;0.000;0.000;0.000;0.000
Ashton under Lyne;Angela Rayner;4;Eastern Manchester;67978;4919;19873;757;4452;1857;0;0;704;0.001;0.999;0.000;0.000;0.000;0.000;0.000;0.000
Aylesbury;Unknown (LAB gain from CON);12;Buckinghamshire;86665;15999;18771;8010;6571;3023;0;0;563;0.366;0.614;0.014;0.006;0.000;0.000;0.000;0.000
Banbury;Unknown (LAB gain from CON);12;Oxfordshire;90116;15645;22066;6216;6955;3747;0;0;641;0.218;0.774;0.004;0.004;0.000;0.000;0.000;0.000
Barking;Margaret Hodge;11;Barking and Dagenham;77953;2985;23783;605;3636;1719;0;0;548;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Barnsley Central;Dan Jarvis;5;South Yorkshire;65277;3664;18781;985;6584;1951;0;0;1162;0.000;0.993;0.000;0.007;0.000;0.000;0.000;0.000
Barnsley East;Stephanie Peacock;5;South Yorkshire;69504;4198;18406;1002;6869;1935;0;0;1059;0.002;0.991;0.000;0.007;0.000;0.000;0.000;0.000
Barrow and Furness;Unknown (LAB gain from CON);4;Cumbria;70158;9277;20706;1425;5507;2105;0;0;622;0.029;0.970;0.000;0.001;0.000;0.000;0.000;0.000
Basildon and Billericay;John Baron;9;Essex;69906;14993;14065;2179;4842;2201;0;0;540;0.563;0.433;0.000;0.003;0.000;0.000;0.000;0.000
Basildon South and East Thurrock;Unknown (LAB gain from CON);9;Essex;74441;12758;14892;2065;5724;1733;0;0;1088;0.362;0.626;0.000;0.011;0.000;0.000;0.000;0.000
Basingstoke;Unknown (LAB gain from CON);12;Hampshire;82928;13427;20035;4437;6099;3193;0;0;812;0.179;0.815;0.003;0.002;0.000;0.000;0.000;0.000
Bassetlaw;Unknown (LAB gain from CON);8;Nottinghamshire;80024;11205;20444;1545;7307;2053;0;0;796;0.075;0.916;0.000;0.009;0.000;0.000;0.000;0.000
Bath;Wera Hobhouse;10;Bristol area;67805;7169;10293;23331;5256;2821;0;0;478;0.006;0.026;0.964;0.003;0.000;0.000;0.000;0.000
Batley and Spen;Tracy Brabin;5;West Yorkshire;79558;10343;18121;1080;3869;894;0;4420;1591;0.094;0.898;0.000;0.008;0.000;0.000;0.000;0.000
Battersea;Marsha De Cordova;11;Wandsworth;79350;8867;30311;3071;5996;4203;0;0;611;0.004;0.995;0.000;0.001;0.000;0.000;0.000;0.000
Beaconsfield;Joy Morrissey;12;Buckinghamshire;77720;17978;10052;11343;6980;3164;0;0;815;0.748;0.099;0.138;0.015;0.000;0.000;0.000;0.000
Beckenham;Unknown (LAB gain from CON);11;Bromley;68662;14738;17439;4271;5927;3164;0;0;575;0.339;0.657;0.001;0.002;0.000;0.000;0.000;0.000
Bedford;Mohammad Yasin;9;Bedfordshire;71581;7534;20428;2431;5006;2572;0;0;640;0.017;0.982;0.000;0.001;0.000;0.000;0.000;0.000
Bedfordshire Mid;Unknown (LAB gain from CON);9;Bedfordshire;87795;16559;18349;8573;6814;2314;0;1252;829;0.394;0.570;0.022;0.014;0.000;0.000;0.000;0.000
Bedfordshire North East;Unknown (LAB gain from CON);9;Bedfordshire;90678;16743;20166;6553;7760;3355;0;0;899;0.333;0.651;0.004;0.012;0.000;0.000;0.000;0.000
Bedfordshire South West;Unknown (LAB gain from CON);9;Bedfordshire;79926;13460;18618;4508;6541;3164;0;0;869;0.213;0.778;0.001;0.006;0.000;0.000;0.000;0.000
Bermondsey and Old Southwark;Neil Coyle;11;Southwark;93248;3306;30128;8111;5690;3657;0;0;580;0.000;0.998;0.002;0.000;0.000;0.000;0.000;0.000
Berwick-upon-Tweed;Unknown (LAB gain from CON);3;Northumberland;59939;10553;11408;5578;5374;1921;0;0;234;0.403;0.555;0.018;0.023;0.000;0.000;0.000;0.000
