PARTY,INT SEATS,INT VOTES
CON, 38, 126138
LAB, 8, 164682
LIB, 0, 203989
BRX, 0, 452321
GRN, 0, 124630
UKP, 0, 58198
CHUK, 0, 41117
IDW, 0, 7641
Rood, 0, 4511
