PARTY,INT SEATS,INT VOTES
CON, 73, 260277
LAB, 8, 184678
LIB, 2, 653743
BRX, 0, 915686
GRN, 1, 343249
UKP, 0, 56487
CHK, 0, 105832
UKEU, 0, 7645
McMahon, 0, 3650
SOC, 0, 3505
Round, 0, 2606
Turberville, 0, 1587
