PARTY,INT SEATS,INT VOTES
CON, 48, 144674 
LAB, 6, 108100
LIB, 1, 385095
BRX, 0, 611742
GRN, 0, 302364
UKIP, 0, 53739
CHUK, 0, 46612
ED, 0, 8393
Seed, 0, 3383
Maxey, 0, 1722
Rahman, 0, 755
