PARTY,INT SEATS,INT VOTES
CON, 31, 131002
LAB, 43, 380193
LIB, 1, 297507
BRX, 0, 541843
GRN, 0, 216581
UKP, 0, 62464
CHUK, 0, 47237
Robinson, 0, 38908 
ED, 0, 10045
UKEU, 0, 7125
Aslam, 0, 2002
