PARTY,INT SEATS,INT VOTES
CON, 52, 163830
LAB, 5, 139490
LIB, 1, 361563
BRX, 0, 604715
GRN, 0, 202460
CHUK, 0, 58274
UKIP, 0, 54676
ED, 0, 10217
