PARTY,INT SEATS,INT VOTES
CON, 21, 177964
LAB, 49, 536810
LIB, 3, 608725
BRX, 0, 400257
GRN, 0, 278957
UKP, 0, 46497
CHUK, 0, 117635
ANW, 0, 25232
WEQ, 0, 23766
UKEU, 0, 18806
Mcdowell, 0, 1036
Aghaji, 0, 1018
Hallam, 0, 924
Klu, 0, 869
Venzon, 0, 731
Shad, 0, 707
Lafferty, 0, 436
Medhurst, 0, 430
Kirkby, 0, 401
Sowden, 0, 254
Muss, 0, 226 
