PARTY,INT SEATS,INT VOTES
CON, 25, 92863 
LAB, 29, 210516
LIB, 0 , 200180
BRX, 0, 470351
GRN, 0, 166980
UKP, 0, 56100
YRK, 0, 50842
CHUK, 0, 30162
ED, 0, 11283
