Country;Constituency;Area;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
England;Blackley and Middleton South;North West;North West;Central Manchester;71735;1600;6300;300;900;700;0;0;0
England;Blackpool North and Fleetwood;North West;North West;Lancashire;75396;3000;5100;300;1200;300;0;0;000
England;Blackpool South;North West;North West;Lancashire;76071;2400;4900;300;1900;400;0;0;100
Wales;Blaenau Gwent and Rhymney;Wales;Wales;Gwent;71079;1600;6100;300;0;400;1300;0;100
England;Blaydon and Consett;North East;North East;Durham;70163;1700;5300;400;2000;500;0;0;000
England;Blyth and Ashington;North East;North East;Northumberland;75452;1600;5800;300;1900;400;0;0;0
England;Bognor Regis and Littlehampton;South East;South East;West Sussex;76985;3300;3600;800;1700;400;0;0;000
England;Bolsover;East Midlands;East Midlands;Derbyshire;74680;2800;4700;300;1700;400;0;0;0
England;Bolton North East;North West;North West;Western Manchester;77020;2500;5200;300;1300;400;0;0;100
England;Bolton South and Walkden;North West;North West;Western Manchester;75716;1600;6500;300;900;500;0;0;100
England;Bolton West;North West;North West;Western Manchester;72125;3000;4500;500;1300;500;0;0;100
England;Bootle;North West;North West;Merseyside;75194;600;7200;300;700;1100;0;0;100
England;Boston and Skegness;East Midlands;East Midlands;Lincolnshire;75806;3400;2300;500;3100;400;0;0;100
England;Bournemouth East;South West;South West;Dorset;73173;2600;4200;1300;1100;600;0;0;100
England;Bournemouth West;South West;South West;Dorset;72094;2700;4300;900;1200;800;0;0;100
England;Bracknell;South East;South East;Berkshire;70247;3200;4400;700;1100;500;0;0;100
England;Bradford East;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;72150;1400;5600;800;800;1000;0;0;300
England;Bradford South;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;70890;2200;5100;400;1400;600;0;0;100
England;Bradford West;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;71258;1100;6400;400;500;1100;0;0;400
England;Braintree;Eastern;East of England;Essex;75662;3600;3000;1000;1900;300;0;0;000
Wales;Brecon, Radnor and Cwm Tawe;Wales;Wales;Powys;72113;2700;2400;2300;1100;300;1100;0;000
England;Brent East;London;London;Brent;75880;1400;6200;500;700;900;0;0;300
