Seat Name;County;Electorate;Area;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner
Cambridgeshire North West;Cambridgeshire North;75916;9;2657;1559;704;3147;1208;0;0;726;Reform
Cambridgeshire South;Cambridgeshire South;77327;9;2211;785;3699;1523;1356;0;0;425;LIB
Cannock Chase;Staffordshire South;76973;7;1867;1595;634;3902;1273;0;0;730;Reform
Canterbury;Kent East;71170;12;1840;2176;880;2130;2267;0;0;707;Green
Carlisle;Cumbria;78328;4;1990;1897;951;3126;1522;0;0;514;Reform
Carshalton and Wallington;Wimbledon and Sutton;74364;11;2198;1005;2959;1672;1352;0;474;340;LIB
Castle Point;Essex South East;70093;9;2444;887;519;5087;631;0;0;432;Reform
Chatham and Aylesford;Medway and Maidstone;78274;12;2100;1565;855;3189;1468;0;351;472;Reform
Cheadle;Manchester East;73825;4;2003;1289;3346;1348;1499;0;456;59;LIB
Chelmsford;Essex South East;76974;9;2493;699;3114;1953;1235;0;90;415;LIB
Chelsea and Fulham;West London;78467;11;2831;2244;905;1676;1741;0;538;65;CON
Cheltenham;Gloucestershire;75995;10;2687;551;3508;1524;1274;0;0;456;LIB
Chesham and Amersham;Buckinghamshire South;74500;12;2864;667;3116;1893;874;0;473;113;LIB
Cheshire Mid;Cheshire;70385;4;1813;2570;764;2571;1548;0;0;735;Reform
Chester North and Neston;Wirral and Chester North;70215;4;1829;2897;674;2064;2040;0;0;497;LAB
Chester South and Eddisbury;Cheshire;74286;4;2858;2096;1157;2190;1092;0;0;606;CON
Chesterfield;Derbyshire North;71075;8;1659;2527;710;2725;1723;0;267;390;Reform
Chichester;Sussex West;78273;12;2164;603;3323;2126;1046;0;0;738;LIB
Chingford and Woodford Green;Lea Valley;75240;11;2763;1584;562;1974;1249;0;0;1867;CON
Chippenham;Swindon and Chippenham;74002;10;2212;605;3531;2047;1124;0;0;482;LIB
Chipping Barnet;Brent Harrow Barnet;78038;11;2815;2336;737;2052;1487;0;0;573;CON
Chorley;Lancashire South;74573;4;528;3649;362;2083;2327;0;0;1052;LAB
Christchurch;Bournemouth;71065;10;2618;939;1586;3442;670;0;0;745;Reform
Cities of London and Westminster;Central London;73369;11;2603;2277;933;1317;1992;0;460;419;CON
Clacton;Essex North;78704;9;1944;776;731;5114;713;0;0;722;Reform
Clapham and Brixton Hill;Lambeth and Wandsworth;73505;11;898;2989;816;1143;3610;0;0;543;Green
Colchester;Essex North;78873;9;1869;2163;1199;2098;1874;0;0;796;LAB
Colne Valley;Huddersfield and Halifax;73032;5;2204;2171;856;2387;1964;0;0;417;Reform
Congleton;Cheshire;74241;4;2616;2347;701;2424;1119;0;0;794;CON
Corby and East Northamptonshire;Northamptonshire;78331;8;2030;2218;902;2796;1648;0;0;405;Reform
Cornwall North;Cornwall;76831;10;1952;471;3628;2657;838;0;0;452;LIB
Cornwall South East;Cornwall;72729;10;1908;1669;1742;3110;1114;0;0;458;Reform
Cotswolds North;Gloucestershire;72483;10;2758;1108;1868;2365;1161;0;0;741;CON
Cotswolds South;Swindon and Chippenham;72029;10;3060;663;2874;1919;821;0;0;663;CON
Coventry East;Coventry and Meriden;75818;7;1326;2367;466;2799;1773;0;714;554;Reform
Coventry North West;Coventry and Meriden;75066;7;1620;2484;670;2314;1890;0;0;1022;LAB
Coventry South;Coventry and Meriden;76236;7;1969;2569;738;1754;1985;0;476;508;LAB
Cramlington and Killingworth;Northumberland;76008;3;1399;2807;572;2772;1636;0;0;814;LAB
Crawley;Sussex West;75568;12;2019;1856;798;2684;1709;0;833;101;Reform
Crewe and Nantwich;Cheshire;78424;4;1895;2522;682;2598;1498;0;248;557;Reform
Croydon East;Croydon;76713;11;2098;2200;1002;1952;2180;0;0;568;LAB
Croydon South;Croydon;74969;11;3175;2152;1049;1589;1350;0;534;151;CON
Croydon West;Croydon;77889;11;1365;2699;609;1602;2868;0;416;441;Green
Dagenham and Rainham;Dagenham and Redbridge;75829;11;1480;1854;413;3329;1892;0;0;1033;Reform
Darlington;Teesside;70762;3;2479;2085;495;2957;1421;0;0;563;Reform
Dartford;Kent West;75426;12;2759;1760;564;2710;1311;0;0;896;CON
Daventry;Northamptonshire;79814;8;2832;1701;1063;2727;1127;0;0;550;CON
Derby North;Derbyshire South;73384;8;1914;2559;674;2099;2075;0;0;679;LAB
Derby South;Derbyshire South;71511;8;1218;2003;533;2899;1982;0;1292;72;Reform
Derbyshire Dales;Derbyshire North;72887;8;2850;2030;908;2408;1229;0;0;575;CON
Derbyshire Mid;Derbyshire South;69561;8;2617;2230;649;2471;1397;0;205;431;CON
Derbyshire North East;Derbyshire North;73716;8;2679;2080;551;3026;1117;0;0;548;Reform
Derbyshire South;Derbyshire South;73714;8;2144;2062;819;2900;1486;0;0;588;Reform
Devon Central;Devon Central and East;75630;10;2663;1692;1280;2496;1179;0;0;689;CON
Devon North;Somerset West and Barnstaple;79081;10;2019;539;3225;2609;1060;0;0;548;LIB
Devon South;Devon South;70753;10;2533;678;2817;2329;876;0;0;767;LIB
Devon South West;Devon South;77600;10;2814;1548;946;2979;1013;0;0;700;Reform
Dewsbury and Batley;Wakefield and Dewsbury;71708;5;1103;1485;564;2082;2360;0;2407;0;MIN
Didcot and Wantage;Oxfordshire;80690;12;2154;849;3074;2039;1419;0;0;464;LIB
Doncaster Central;Doncaster and Rotherham;74678;5;1605;2510;562;2928;1591;0;406;397;Reform
Doncaster East and the Isle of Axholme;Doncaster and Rotherham;70154;5;2539;2063;477;3315;996;0;0;610;Reform
Doncaster North;Doncaster and Rotherham;69758;5;1594;2826;644;2090;1795;0;0;1050;LAB
Dorking and Horley;Surrey East;71883;12;2784;660;2647;2224;1025;0;0;659;CON
Dorset Mid and North Poole;Dorset;75175;10;3068;623;3043;1938;837;0;0;491;CON
Dorset North;Dorset;72690;10;2676;730;2432;2675;754;0;0;733;CON
Dorset South;Dorset;76044;10;2128;1476;1664;2842;1296;0;0;595;Reform
Dorset West;Dorset;75997;10;2689;565;3567;1830;849;0;0;501;LIB
Dover and Deal;Kent East;76405;12;1789;2118;762;2913;1314;0;77;1028;Reform
Droitwich and Evesham;Worcestershire;76802;7;2727;1228;1058;3164;1042;0;0;780;Reform
Dudley;Black Country;70137;7;2010;1436;659;3798;1209;0;342;547;Reform
Dulwich and West Norwood;Lambeth and Wandsworth;74868;11;809;3216;595;1158;3715;0;0;507;Green
Dunstable and Leighton Buzzard;Bedfordshire;76743;9;2725;1523;1061;2928;1088;0;0;676;Reform
Durham North;County Durham;72339;3;1154;2287;872;3426;1541;0;536;185;Reform
Durham, City of;County Durham;71080;3;1100;2449;1111;2409;2322;0;0;608;LAB
Ealing Central and Acton;West London;78436;11;1455;2517;978;1275;2870;0;645;260;Green
Ealing North;Southall;74819;11;1491;2526;550;1852;2335;0;1008;237;LAB
Ealing Southall;Southall;78669;11;1391;2657;595;1282;2524;0;961;589;LAB
Earley and Woodley;Berkshire;74577;12;2962;2015;1328;1553;1603;0;0;539;CON
Easington;County Durham;69268;3;874;2589;468;3813;1432;0;0;824;Reform
East Grinstead and Uckfield;Sussex East;75298;12;2490;1295;1680;2076;1519;0;0;940;CON
East Ham;Lea Valley;79090;11;957;2453;410;1091;3346;0;0;1742;Green
Eastbourne;Sussex East;72592;12;2006;677;3569;1851;1092;0;0;805;LIB
Eastleigh;Southampton;69966;12;2823;905;2269;2315;1070;0;0;618;CON
Edmonton and Winchmore Hill;Enfield and Haringey;75793;11;1461;2624;634;1788;2374;0;274;846;LAB
Ellesmere Port and Bromborough;Wirral and Chester North;70798;4;973;2904;584;2754;2094;0;0;690;LAB
Eltham and Chislehurst;Bexley and Bromley;73843;11;2101;2402;716;2134;1778;0;334;535;LAB
Ely and East Cambridgeshire;Cambridgeshire South;79113;9;2789;1132;2173;2102;1055;0;0;749;CON
Enfield North;Enfield and Haringey;78769;11;1644;2640;675;1762;2263;0;321;695;LAB
Epping Forest;Essex South West;72966;9;3066;1446;1187;2272;1126;0;0;903;CON
Epsom and Ewell;Surrey East;77529;12;2763;1000;2418;2258;991;0;0;569;CON
Erewash;Derbyshire South;71497;8;1961;2315;696;2699;1567;0;0;760;Reform
Erith and Thamesmead;Bexley and Bromley;79110;11;1243;2677;451;2379;2332;0;773;144;LAB
Esher and Walton;Runnymede;74044;12;2315;543;4061;1649;1051;0;0;380;LIB
Essex North West;Essex North;79826;9;2666;1661;1199;2794;1037;0;0;644;Reform
Exeter;Devon Central and East;67840;10;1108;2194;759;2246;2852;0;0;841;Green
Exmouth and Exeter East;Devon Central and East;79984;10;2142;1487;1949;2479;1341;0;0;601;Reform
Fareham and Waterlooville;Portsmouth;77796;12;2660;1296;1597;2833;896;0;0;718;Reform
Farnham and Bordon;Surrey West and Aldershot;75857;12;2666;932;2475;2528;926;0;0;473;CON
Faversham and Mid Kent;Medway and Maidstone;74683;12;2522;1403;756;3322;1233;0;0;763;Reform
Feltham and Heston;South West London;76985;11;1937;2114;558;1850;1952;0;691;897;LAB
Filton and Bradley Stoke;Avon North;77584;10;2074;2546;923;1737;1918;0;0;802;LAB
Finchley and Golders Green;Brent Harrow Barnet;77500;11;2597;2489;877;1659;1718;0;0;660;CON
