Country;Constituency;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Wales;Aberafan Maesteg;Wales;West Glamorgan;69817;1200;5600;600;1000;400;1000;000;200
Scotland;Aberdeen North;Scotland;Grampian;76895;1800;2500;800;000;000;4500;000;500
Scotland;Aberdeen South;Scotland;Grampian;76560;3300;1500;700;000;000;4100;000;400
Scotland;Aberdeenshire North and Moray East;Scotland;Grampian;71485;4000;1400;300;000;000;3700;000;600
Scotland;Airdrie and Shotts;Scotland;Glasgow area;70420;900;4900;200;000;000;3600;000;400
England;Aldershot;South East;Hampshire;76765;3300;3500;900;1300;500;000;000;500
England;Aldridge-Brownhills;West Midlands;Black Country;73122;3100;3000;500;2000;700;000;000;700
Scotland;Alloa and Grangemouth;Scotland;Central;72265;1800;2700;500;000;000;4400;000;600
England;Altrincham and Sale West;North West;Central Manchester;73934;2700;4800;600;900;400;000;000;600
Wales;Alyn and Deeside;Wales;Clwyd;75695;2700;4900;400;1100;300;500;000;100
England;Amber Valley;East Midlands;Derbyshire;70625;2900;3500;500;1800;700;000;000;600
Scotland;Angus and Perthshire Glens;Scotland;Tayside;77006;3400;1200;300;000;000;4500;000;500
Scotland;Arbroath and Broughty Ferry;Scotland;Tayside;76810;2200;2200;800;000;000;4300;000;500
Scotland;Argyll, Bute and South Lochaber;Scotland;Argyll and Bute;71707;3400;1300;900;000;000;3900;000;400
England;Arundel and South Downs;South East;West Sussex;76974;2700;2400;1500;1700;1000;000;000;600
England;Ashfield;East Midlands;Nottinghamshire;69819;2100;3000;700;1500;200;000;000;2500
England;Ashford;South East;Kent;73546;2600;3100;800;1900;900;000;000;700
England;Ashton-under-Lyne;North West;Eastern Manchester;72278;1700;5400;600;1400;600;000;000;300
England;Aylesbury;South East;Buckinghamshire;75636;2500;2200;2700;1600;500;000;000;400
Scotland;Ayr, Carrick and Cumnock;Scotland;Ayrshire and Lanark;72057;3400;2000;300;000;000;3800;000;500
England;Banbury;South East;Oxfordshire;69943;3100;3700;1000;1200;500;000;000;500
