Country;Constituency;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
England;Clapham and Brixton Hill;London;Lambeth;75460;860;5730;1920;610;730;0;0;150
England;Colchester;East of England;Essex;76843;3520;4170;1130;700;480;0;0;0
England;Colne Valley;Yorkshire and The Humber;West Yorkshire;71518;2210;4070;1060;1610;500;0;0;540
England;Congleton;North West;Cheshire;69836;2600;2970;1220;1960;680;0;0;570
England;Corby and East Northamptonshire;East Midlands;Northamptonshire;76748;2830;4560;480;1360;370;0;0;400
England;Coventry East;West Midlands;Coventry and Solihull;73389;1570;5630;680;1370;480;0;0;270
England;Coventry North West;West Midlands;Coventry and Solihull;73431;2420;5160;460;1200;440;0;0;330
England;Coventry South;West Midlands;Coventry and Solihull;70998;2380;5270;470;1090;370;0;0;420
England;Cramlington and Killingworth;North East;Newcastle area;73295;2710;5420;510;1140;230;0;0;0
England;Crawley;South East;West Sussex;74446;2850;4520;430;1370;410;0;0;400
England;Crewe and Nantwich;North West;Cheshire;76236;2740;4700;400;1330;420;0;0;410
England;Croydon East;London;Croydon;75436;2330;5730;490;1060;380;0;0;0
England;Croydon South;London;Croydon;71541;3000;3790;920;1360;430;0;0;500
England;Croydon West;London;Croydon;70812;960;6930;680;700;490;0;0;240
England;Dagenham and Rainham;London;Barking and Dagenham;73627;2310;4670;360;1990;300;0;0;380
England;Darlington;North East;Durham;70446;3140;4950;480;1010;420;0;0;0
England;Dartford;South East;Kent;72048;3310;3870;520;1920;380;0;0;0
England;Daventry;East Midlands;Northamptonshire;76539;2920;2530;1300;2340;910;0;0;0
England;Derby North;East Midlands;Derbyshire;71876;2650;5040;720;1260;340;0;0;0
England;Derby South;East Midlands;Derbyshire;72067;1630;5470;790;1530;310;0;0;280
England;Derbyshire Dales;East Midlands;Derbyshire;71435;2600;3040;1230;1950;730;0;0;450
England;Dewsbury and Batley;Yorkshire and The Humber;West Yorkshire;70226;1170;5570;480;940;470;0;0;1370
England;Didcot and Wantage;South East;Oxfordshire;74456;3040;1850;3760;820;600;0;0;-080
England;Doncaster Central;Yorkshire and The Humber;South Yorkshire;75007;2640;4760;450;1680;280;0;0;190
England;Doncaster East and the Isle of Axholme;Yorkshire and The Humber;South Yorkshire;70113;3520;4010;370;1670;240;0;0;180
England;Doncaster North;Yorkshire and The Humber;South Yorkshire;71739;2580;6130;420;0;310;0;0;550
England;Dorking and Horley;South East;Surrey;70317;3220;1440;3860;850;630;0;0;0
England;Dover and Deal;South East;Kent;75855;2920;3950;450;1570;500;0;0;600
England;Droitwich and Evesham;West Midlands;Hereford and Worcestershire;74345;2830;2350;1140;2340;750;0;0;600
England;Dudley;West Midlands;Black Country;71083;3770;3920;260;1820;230;0;0;0
England;Dulwich and West Norwood;London;Lambeth;74314;700;6260;750;500;1620;0;0;180
England;Dunstable and Leighton Buzzard;East of England;Bedfordshire;74069;3180;3660;750;1520;460;0;0;440
England;Ealing Central and Acton;London;Ealing;75399;1140;5520;1690;820;630;0;0;200
England;Ealing North;London;Ealing;72985;1400;5920;850;1010;580;0;0;240
England;Ealing Southall;London;Ealing;75085;1080;6330;970;770;580;0;0;280
England;Earley and Woodley;South East;Berkshire;70083;3010;4360;1630;0;570;0;0;430
England;Easington;North East;Durham;70043;1270;5250;670;1790;420;0;0;600
England;East Grinstead and Uckfield;South East;West Sussex;72356;3310;1960;3390;0;790;0;0;550
England;East Ham;London;Newham;70902;640;7820;480;470;440;0;0;160
England;East Hampshire;South East;Hampshire;69959;2820;1490;2730;1680;680;0;0;600
England;East Surrey;South East;Surrey;73145;3690;1760;2720;1300;640;0;0;-110
England;East Thanet;South East;Kent;73790;2640;3880;440;2220;480;0;0;330
England;East Wiltshire;South West;Wiltshire;71109;2900;2290;1400;2190;730;0;0;500
England;East Worthing and Shoreham;South East;West Sussex;75466;2710;4390;660;1410;420;0;0;420
England;Eastbourne;South East;East Sussex;73322;2250;970;4610;1390;390;0;0;400
England;Eastleigh;South East;Hampshire;69982;2440;1360;3850;1510;460;0;0;390
England;Edmonton and Winchmore Hill;London;Enfield;75204;1390;6180;660;1000;520;0;0;250
England;Ellesmere Port and Bromborough;North West;Cheshire;71027;1220;6300;750;960;560;0;0;210
