Country;Constituency;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
England;Aldershot;South East;Hampshire;76765;3210;3230;980;1510;440;0;0;640
England;Aldridge-Brownhills;West Midlands;Black Country;73122;3220;3040;640;2480;620;0;0;0
England;Altrincham and Sale West;North West;Central Manchester;73934;2620;4590;670;1080;360;0;0;680
England;Amber Valley;East Midlands;Derbyshire;70625;2980;3560;630;2150;670;0;0;0
England;Arundel and South Downs;South East;West Sussex;76974;2580;2140;1680;1970;860;0;0;770
England;Ashfield;East Midlands;Nottinghamshire;69819;2080;2910;810;1580;190;0;0;2430
England;Ashford;South East;Kent;73546;2460;2840;920;2260;720;0;0;810
England;Ashton-under-Lyne;North West;Eastern Manchester;72278;1560;5060;620;1820;530;0;0;410
England;Aylesbury;South East;Buckinghamshire;75636;2310;1980;2710;2010;440;0;0;550
England;Banbury;South East;Oxfordshire;69943;3040;3530;1130;1280;420;0;0;600
England;Barking;London;Barking and Dagenham;71822;1130;6140;370;1710;360;0;0;300
England;Barnsley North;Yorkshire and The Humber;South Yorkshire;76794;1890;4610;460;2170;360;0;0;500
England;Barnsley South;Yorkshire and The Humber;South Yorkshire;75896;1080;4820;690;2580;460;0;0;370
England;Barrow and Furness;North West;Cumbria;76603;3580;5020;240;980;180;0;0;000
England;Basildon and Billericay;East of England;Essex;76993;2740;2700;730;2400;600;0;0;830
England;Basingstoke;South East;Hampshire;77050;2930;3750;750;1380;450;0;0;740
England;Bassetlaw;East Midlands;Nottinghamshire;75773;3940;4180;370;1390;130;0;0;0
England;Bath;South West;Bristol area;73241;1560;1220;5480;850;460;0;0;440
England;Battersea;London;Wandsworth;71949;2110;5450;850;810;370;0;0;410
England;Beaconsfield;South East;Buckinghamshire;72315;2540;1700;2170;1930;660;0;0;1000
England;Beckenham and Penge;London;Bromley;76625;2460;5170;950;980;440;0;0;0
England;Bedford;East of England;Bedfordshire;70068;2360;5260;590;1010;290;0;0;490
England;Bermondsey and Old Southwark;London;Southwark;70602;520;5340;3190;480;270;0;0;200
England;Bethnal Green and Stepney;London;Tower Hamlets;77000;460;7640;860;320;510;0;0;210
England;Beverley and Holderness;Yorkshire and The Humber;Humber area;71102;2610;3030;850;1910;650;0;0;940
England;Bexhill and Battle;South East;East Sussex;70869;2630;2650;1180;2110;740;0;0;690
England;Bexleyheath and Crayford;London;Bexley;69948;3390;3920;410;1910;380;0;0;0
England;Bicester and Woodstock;South East;Oxfordshire;70389;3350;1920;3260;850;610;0;0;0
England;Birkenhead;North West;Merseyside;76271;720;6570;600;530;910;0;0;670
