Seat Name;County;Area;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner
Bournemouth West;Dorset;10;1980;1620;1260;2629;1871;000;000;640;Reform
Bracknell;Berkshire;12;2750;1645;881;2760;1165;000;000;799;Reform
Bradford East;West Yorkshire;5;1003;2034;620;1789;2672;000;000;1883;Green
Bradford South;West Yorkshire;5;1062;1852;417;2980;2202;000;166;1321;Reform
Bradford West;West Yorkshire;5;848;1869;409;1203;3295;000;000;2377;Green
Braintree;Essex;9;2538;1382;761;3681;926;000;000;713;Reform
Brent East;Brent;11;1222;2672;548;1607;2784;000;330;837;Green
Brent West;Brent;11;3069;2073;614;1421;1857;000;967;000;CON
Brentford and Isleworth;Hounslow;11;2009;2335;844;1523;2250;000;882;156;LAB
Brentwood and Ongar;Essex;9;2897;1204;1167;3214;814;000;000;705;Reform
Bridgwater;Somerset;10;2384;1439;1127;3129;910;000;338;673;Reform
Bridlington and the Wolds;Humber area;5;2795;1459;720;3507;822;000;000;698;Reform
Brigg and Immingham;Humber area;5;2683;1709;666;3331;921;000;000;690;Reform
Brighton Kemptown and Peacehaven;East Sussex;12;1528;2301;825;1540;2940;000;000;865;Green
Brighton Pavilion;East Sussex;12;590;1538;348;1004;5931;000;000;589;Green
Bristol Central;Bristol area;10;264;1349;252;622;7127;000;000;387;Green
Bristol East;Bristol area;10;792;2030;512;1313;4485;000;000;868;Green
Bristol North East;Bristol area;10;1006;2206;489;2338;2965;000;000;995;Green
Bristol North West;Bristol area;10;1141;2634;852;1706;2879;000;000;788;Green
Bristol South;Bristol area;10;837;1955;559;2294;3475;000;000;879;Green
Broadland and Fakenham;Norfolk;9;2698;1612;989;2872;1117;000;000;712;Reform
Bromley and Biggin Hill;Bromley;11;3041;1848;875;2355;1181;000;000;699;CON
Bromsgrove;Hereford and Worcestershire;7;2853;1434;1119;2866;871;000;072;784;Reform
Broxbourne;Hertfordshire;9;2638;1536;788;3172;1034;000;000;831;Reform
Broxtowe;Nottinghamshire;8;1948;2338;955;2332;1811;000;168;448;LAB
Buckingham and Bletchley;Buckinghamshire;12;2741;1938;808;2503;1241;000;000;768;CON
Buckinghamshire Mid;Buckinghamshire;12;2830;1142;2047;2260;1032;000;000;688;CON
Burnley;Lancashire;4;1553;1875;1520;2547;1745;000;000;759;Reform
Burton and Uttoxeter;Staffordshire;7;2470;1697;478;3262;1015;000;1079;000;Reform
Bury North;Western Manchester;4;2034;2306;742;2523;1732;000;460;203;Reform
Bury South;Western Manchester;4;1802;2537;660;2316;1880;000;483;322;LAB
Bury St Edmunds and Stowmarket;Suffolk;9;1932;1659;943;2755;1970;000;000;741;Reform
Calder Valley;West Yorkshire;5;2000;2749;759;2026;1793;000;000;672;LAB
Camborne and Redruth;Cornwall;10;1757;2258;1034;2816;1401;000;000;735;Reform
Cambridge;Cambridgeshire;9;931;2567;1199;951;3622;000;341;389;Green
Cambridgeshire North East;Cambridgeshire;9;2736;1031;790;3708;745;000;164;825;Reform
Cambridgeshire North West;Cambridgeshire;9;2657;1559;704;3147;1208;000;000;726;Reform
Cambridgeshire South;Cambridgeshire;9;2211;785;3699;1523;1356;000;000;425;LIB
Cannock Chase;Staffordshire;7;1867;1595;634;3902;1273;000;000;730;Reform
Canterbury;Kent;12;1840;2176;880;2130;2267;000;000;707;Green
Carlisle;Cumbria;4;1990;1897;951;3126;1522;000;000;514;Reform
Carshalton and Wallington;Sutton;11;2198;1005;2959;1672;1352;000;474;340;LIB
Castle Point;Essex;9;2444;887;519;5087;631;000;000;432;Reform
