PARTY,INT SEATS,INT VOTES
CON,58,504941
LAB,19,466584
LIB,6,288790
UKP, ,232633
GRN, ,158986
RES,,91175
BNP,,76152
CPA,,45038
ED,,15945
PPBG,,5205
