PARTY,INT SEATS,INT VOTES
CON,9,387369
LAB,44,413213
LIB,3,244607
UKP,0,228666
GRN,0,90337
BNP,0,126538
RES,0,29865
ED,0,24068
Robert Ellis,0,14762
AGS,0,13776
