PARTY,INT SEATS,INT VOTES
CON,9,509446
LAB,61,576388
LIB,6,335063
UKP,0,257158
GRN,0,117393
BNP,0,134959
LB9,0,96325
ED,0,34110
RES,0,24636
COU,0,11283
PRL,0,10084
Ronald,0,8318
