PARTY,INT SEATS,INT VOTES
CON,21,776370
LAB,44,301398
LIB,8,338342
UKP,0,431111
GRN,0,173351
RES,1,13426
BNP,0,64877
SC,0,42861
ED,0,29126
PAX,0,12572
CPA,0,11733
PRL,0,6579
Philip,0,5671
