PARTY,INT SEATS,INT VOTES
CON,40,465526
LAB,13,244929
LIB,3,211378
UKP,0,296160
GRN,0,84068
Martin Bell,0,93028
BNP,0,65557
ED,0,26807
RES,0,13904
Jim Naisbitt,0,5137
PRL,0,3730
