PARTY,INT SEATS,INT VOTES
CON,18,371362
LAB,25,294918
LIB,1,181964
UKP,0,366498
GRN,0,76633
BNP,0,91860
RES,0,20009
Russell,0,2615
Shadmyraine,0,847
