PARTY,INT SEATS,INT VOTES
CON,16,392937
LAB,39,336613
LIB,3,197479
UKP,0,251366
GRN,0,73991
HC,1,0
BNP,0,107794
RES,0,34704
PEN,0,33501
CG,0,8650
