PARTY,INT SEATS,INT VOTES
CON, 22, 434645
LAB, 14, 188362
LIB, 15, 171498
UKP, 0, 111012
GRN, 0, 86630
LB9, 0, 21645
PEC, 0, 11134
BNP, 0, 9752
SOL, 0, 5741
NLW, 0, 1968
