PARTY,INT SEATS,INT VOTES
CON, 33, 425091
LAB, 22, 250132
LIB, 1, 118822
UKP, 0, 88452
GRN, 0, 61334
LB9, 0, 16861
PEC, 0, 16340
BNP, 0, 9356
SOL, 0, 6143
NLW, 0, 1907
