PARTY,INT SEATS,INT VOTES
CON, 7, 272653
LAB, 47, 233024
LIB, 2, 107168
UKP, 0, 52824
GRN, 0, 42604
LLA, 0, 9554
BNP, 0, 8911
PEC, 0, 8075
SOL, 0, 7650
NLW, 0, 1604
