PARTY,INT SEATS,INT VOTES
CON, 9, 360027
LAB, 64, 350511
LIB, 2, 119376
UKP, 0, 66779
GRN, 0, 56828
Martin Bell, 1, 0
LB9, 0, 22640
BNP, 0, 13587
SOL, 0, 11338
PEC, 0, 9816
APFCA, 0, 2251
NLW, 0, 2114
EIHP, 0, 1049
WW, 0, 878 
