PARTY,INT SEATS,INT VOTES
CON, 54, 661932
LAB, 22, 292146
LIB, 7, 228136
UKP, 0, 144514
GRN, 0, 110571
PEC, 0, 27305
BNP, 0, 12161
SOL, 0, 7281
NLW, 0, 2767
ODFC, 0, 1857
MPIE, 0, 1400
