PARTY,INT SEATS,INT VOTES
CON, 1, 105573
LAB, 28, 162573
LIB, 1, 52070
UKP, 0, 34063
GRN, 0, 18184
SOL, 0, 4511
BNP, 0, 2505
PEC, 0, 2926
SOC, 0, 1510
NLW, 0, 826
