PARTY,INT SEATS,INT VOTES
CON, 14, 285662
LAB, 30, 206756
LIB, 0, 92398
UKP, 0, 54800
GRN, 0, 38954
LLA, 0, 17409
PEC, 0, 11359
BNP, 0, 9342
SOL, 0, 5528
NLW, 0, 1525
