PARTY,INT SEATS,INT VOTES
CON, 11, 372989
LAB, 57, 399466
LIB, 6, 133058
UKP, 0, 61741
GRN, 0, 87545
SOL, 0, 19632
BNP, 0, 17960
LB9, 0, 16951
PEC, 0, 16383
AHRPE, 0, 4851
AVAT, 0, 2596
HUM, 0, 2586
THC, 0, 2358
NLW, 0, 2263
WW, 0, 846
